,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0157097216320821,0,0.0292387416819983,0.00814811930884493,0,0,0.0872554806538303,0.118813619468582,0.0123967485890221,0,0,0,0.151123122053138,0.0533211281285709,0,0,0,0,0
ETH,0,0,0,0.0727754751531012,0.0951981853342035,0,0.0346687061961165,0,0.136839630495684,0,0,0,0,0.34077284606221,0,0,0,0,0,0
XRP,0,0.378944942313266,0,0,0,0,0.147903836625164,0.089966765904059,0,0,0.125463119228148,0.0203407145003558,0.166983034970809,0.00334551398492162,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.205254016684424,0,0.190871750925509,0,0,0,0,0.25075421897065,0,0,0,0,0,0
EOS,0,-0.448362910058691,0,0.227220909139148,0,0,0.0795453084857168,0,-0.0291179021001595,0.00582461323263826,0.57336324000856,0,0.0768540743758265,-0.121767581799254,0.446706737348157,0,0,0,0,0
LTC,0,0,0.0800152434587955,0.0733159601353869,0,0,0.080417196826524,0,0.0545099304623435,0.0123716039882206,0.129021829422915,0.00954797475785816,0.0868467543684328,0.120807827809384,0,0,0,0,0,0
ADA,0,0,0,0.119037466454018,0.0343825108781213,0,0,0.238875705999991,0.122777224541813,0,0.18074127475839,0,0.141736340494831,0,0,0,0,0,0,0.127945547089241
XLM,0,0.0148638044357591,0.295646929380254,0,0.0206257832630653,0,0.230924099177474,0,0.0384894866669511,0.0030809504374694,-0.00000000000000000346944695195361,0.176905243022731,0,0,0.163728017424312,0,0,0,0,-0.0309065576989563
MIOTA,0,0,0.401523385183413,0.026989891667834,0,0,0.0396066886819227,0.197201153876866,0,0,0.187549810118006,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.414180894966789,-0.0163275946027193,-0.205179546938144,0,0.458887628836048,0,0,0,0.14781499410524,0.0855306235562002,0,-0.123313498994105,0,0,0,0,0
NEO,0,0,0,0,0.0130516711234481,0,0.0167469321657666,0.292686077487425,0.213379648716592,0.0262482912803596,0,0.126440873873247,0.0936926376112661,0,0.0230106158636969,0,0,0,0,0.0387947209187852
DASH,0,0,0,0.0178699422924707,0,0.122476562314152,0,0.173485554059003,0.139850899755726,0.0290347328883255,0.090122167209133,0,0.0443003489276396,0.166739348345166,0,0,0,0,0,0
XMR,0,0,0.356299086061716,0,0,0,0.133366249369754,0,-0.00000000000000000693889390390723,0.0203834143075502,0,0.23145198409538,0,0,0.0398933071058762,0,0,0,0,0
XEM,0,0.0840369322144138,0.0941514240848627,0.120591476830542,0,0,0,0.367254089303234,0,0.117967498164692,0.0463950942309778,0,0,0,0,0,0,0,0,0
BNB,0,0.251006753871225,0.0883970523898726,0,0.0740865834306603,0.214426215580963,0,0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0.065165890577233,0,0,0,-0.0329292804492362,0.0806256006654997,0,-0.0472240278169948,0,-0.0118624748618605,0,0,0.0333248325890817,0,0,0,0,0,0,-0.23730107876567
CVIX.INDEX,0.153567729747669,0,0,0.028284448301677,0,0.0860357466359662,-0.105014302523405,-0.019769645395223,0.0735513529603406,0,0.141645388389443,-0.50055885372953,0.0944721480156773,0.0368486007135281,0.0348754161829585,0.343801238939126,0,0.179660469366053,0,0.0447423332781805
DXY.INDEX,0,-0.00851480372705993,0.0342621779108362,0,-0.0042050868847047,0,0.00599926521455888,-0.0240067940808553,-0.0150466391581846,0.00942056919728684,0.00953524349791778,0,0,0.00384424255407695,0,-0.0527763382402751,0.0754481467718098,0,0,-0.000991649783707463
SPX.INDEX,0,0,0,0,0,0,-0.0132355840000862,0,-0.000560838719939325,0,0,0,0,0,0,0,0,0,0,-0.12160774094697
VIX.INDEX,0,0,0.22173916036245,-0.192554385349645,-0.257618388514373,0.5660929401807,0,-0.117461695223435,0,0.0919072325597047,0,0,0,0,-0.0754281383424774,-1.02455680583739,0,0,0,0
