,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,ETC,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.439592676406285,-0.0937262662504987,0,-0.204435042229446,-0.00663916415318419,0.120289933561192,0,-0.0333816184233123,0,0.00106512909593514,0.175620917679481,0.016211888837125,0.120176218156574,-0.0237649698385169,0,0,0,0,-0.316283510880373
ETH,-0.188404815712434,0,-0.0680141848736109,0.0434109562418529,0.186289346074405,-0.0317698421065635,0,0,0.00266918639348385,0.111212837035585,0.0499209041164811,0.0557843491712243,-0.0125740227128163,0.0773537188381823,0.109425426388314,0,0,0,0,0
BCH,0,0,0,0.197436979708667,0,-0.041711589079794,0,0,0,0,0.113724138243539,0,0.0776907831673633,0,0.0889002376713936,0,0,0,0,0
XRP,0,0.127030207807731,0.00112592092084874,0,0.102276200606888,0.0298356417986803,0,0,0.000926297615799409,0.0630545079327613,0,0.117733778882136,0.0232828672051351,0.0926498457160479,0.103690595041851,0,0,0,0,0
LTC,0,0.132833724920359,-0.124249503622639,-0.0677171075131091,0,0,0.0194800060694727,0,0,0,0.00000000000000000173472347597681,-0.00738950058508954,0,0.254721002114455,0,0,0,0,0,0
ADA,-0.0628521986246344,0,-0.151285556104618,0.315226863296963,0,0,0.0884493094078219,0.176581457570555,0.0780872348538391,0,0,-0.192251957455156,0.0612729239962393,0.382892090675852,0.176793074468319,0,0,0,0,0
MIOTA,0,-0.110965584639608,-0.0106347025657471,-0.278455230264812,0.0977058967960576,-0.0801981203165075,0,0,0.0892474909449279,0.523505462759326,-0.142893661300938,-0.002745460324548,0.107045792130279,0.285016042999728,0,0,0,0,0,0.252521246359815
DASH,-0.236517734082878,0,0.0336222163981326,0,0.0748716764716549,0.00715566334114201,0.0581443979268459,0,0.0182312726474046,0,0,0,-0.0125336831720587,0,0.0258159288732756,0,0,0,0,0
XEM,-0.170970560406474,0.299887426785165,-0.0117449231849194,0,0,0.112207875740491,0,0.134511801880572,0,0,0.0116983056104599,0.0225363278882027,0.18656639278297,0.0531498649881797,0.12764168182684,0,0,0,0,0
XMR,0.0388425729924094,0,-0.0878697683078693,0.0582398575315219,0,0.12071584383068,0.119659529364089,0,-0.0142929454365087,0,0,0,0.0638503216928784,0.102391042639641,0.0742897932859435,0,0,0,0,0
BTG,0.214425546980316,0,0.744534465919445,0,0.424619365859346,0.092464242274391,0,-0.576450258496958,0,0,0,-0.649804701704593,0,0,0,0,0,0,0,-0.335531550235469
EOS,0,0.199413503755514,0,0.0904694546468455,0.149606800801456,0.0739907301461543,-0.212641969191853,0.09760685499866,0.100151879026873,0,-0.00293160449719175,0,0.0458530185725699,0,0.421011950392528,0,0,0,0,0.267807028694528
XLM,0,0,0,0.0965555447751664,0,0.109372976689784,0.391061096779724,0,-0.000833367287992533,0.232958002210683,-0.090278646122606,0.362345846721864,0,0.119130044452493,0,0,0,0,0,-0.204584151829643
ETC,0,0.0492458974746084,0.0530562561639695,0,0.184110398164107,0.195830061859292,0.0200615513892922,-0.321615679976983,0.0645321189754661,0,-0.00000000000000000173472347597681,0,0,0,0.216111824678106,0,0,0,0,0
NEO,0,0.37139139545229,0.0426786253660723,0,0.170716401968554,-0.018812659466325,-0.117380796985946,0,0.029047578181121,0,-0.10751394167747,0.0391961902288575,0.0677100553882785,0.134758987851179,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.0434166497117714,0,0,0,0,0,0.00750434088354044,0.00310495452409852,0,0.0334111202082795,0,0,0,0,0
CVIX.INDEX,0,0,0,0,-0.00747312224889608,0,0,0.0451657083250559,0.032721150028102,0.00312196801162173,-0.000139787377337877,-0.0192209746776378,0.0201524795185601,0,0,0,0,0,0,0.110204685960783
DXY.INDEX,-0.0220706136417723,0,-0.00598537322623452,-0.00882289518423248,-0.00739083769133933,0.0045899331490699,0,-0.00382193447644512,0,-0.00263503643807764,-0.00438316848197216,0,0.00278484200177906,0,-0.00877022786594255,0,-0.0235177947919825,0,0,-0.0150429246125403
SPX.INDEX,-0.00896173471275224,0.00755270027665293,0,0,0,0.00135682062133101,0,0,0.000869679456281324,0,0.0011697389265655,0,0,0,0.00560550362059352,0,0,0,0,-0.0253700386926034
VIX.INDEX,-0.0775058003298308,0,-0.0544611846352873,0.235799210459727,-0.147748027398961,-0.0544702806288152,0.204713428493876,0,-0.0873336770695549,-0.231098689213278,-0.0247795143887744,0.0666789255201393,0,0.162723124765397,-0.117270551131219,0,0.280493543009704,0,0,0
