,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.194389435592189,0.0514352539890119,0.0790206209205563,0.038563323884224,0.124209995559199,0,0.0442882901742185,0,0,0,0.0510409939890974,0,0,0,0,0
ETH,0,0,0,0.0221668425083212,0.256152071007378,0,0.0966706922483596,0.0381765216148646,0.132486185131524,0.127992571307793,0,0,0.020237950340046,0,0,0,0,0,0,0
XRP,0,0,0,0.0536446554566918,0.0457948242434411,0,0.00433239430612139,0,0.109277850601862,0,0,0,0.221817032806795,0,0,0,0,0,0,0
BCH,0,0,0.441757708190452,0,0,0,0.731554356649503,-0.142917167777102,0,0,0.346203314273816,0.602940434969797,-1.03567321496739,0,0,0,0,0,0,0
LTC,0,0,0.0637283154700739,0,0,0,0,0.0128667885603861,0,0,0.767679723187879,0,0,0,0,0,0,0,0,0
DASH,0.0751550670190671,0,0,0.0794378256892092,0,0,0.0741864812244613,0,0.107761677301703,0,0.0860495805731982,0,0.109293788979871,0,0.122325818737548,0,0,0,0,0
XEM,0,0,0,0.0270375577750631,0.0582938883099505,0.144141753945085,0,0.076130797489182,0.0152140652032379,0,0,0,0.289512257871477,0,-0.000000000000000000433680868994202,0,0,0,0,0
NEO,0,0,0,0,0,0,0.284962478747096,0,0.000557910318161506,0.013508314046688,0,0.13964451678749,0.198648335505211,0.403434496795549,0,0,0,0,0,0
MIOTA,0,0.0935615131511549,0,-0.0924526108728007,0,0.031533246513085,0,0,0,0.0582332976212721,0,0.391909448942243,0,0.312169949536908,0,0,0,0,0,-0.0186275598609547
XMR,0,0,0.0672913075472638,0.114249338430804,0.056607860334439,0.135727175650846,0.033891261732286,0.110953837530549,0,0,0,0.264715648197073,0.192440686829756,0,-0.0530000490560033,0,0,0,0,-0.0288401250734026
ETC,0,0,0,0,0.625398104284681,0.117775914932744,0.128459062136886,0,0.0618482113158089,0,0,0.0139571223008047,0,0,0.000000000000000000867361737988404,0,0,0,0,0
ZEC,0,0.257417037308985,0,0.0168676147390462,0,0.20267008138681,0.114514338799446,-0.0202455369054588,0.171098852893476,0,0,0,0.182191534617559,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.244346089572803,0,0.00309120572398786,0.241044950205592,0.168505573241374,0,0,0,0.112542362104173,0,0,0,0,0
EOS,0,0,0,0.0248134628806158,0.243496852887928,0,0,0.155928709762964,0.143114961773017,0.0765786242897757,0,0.100720877831383,0.2683873573976,0,0.0455769687226953,0,0,0,0,0
BAT,0,0.0313419173730465,0,-0.081269896301314,0,0,0.226479161620299,0.090582912545405,0.0430827541409011,0,0,0.262615889678936,0.175733443165403,0,0,0,0,0,0,-0.093480985649204
BV010082.INDEX,0,0,0.0159089294337822,-0.0069865151034567,0.00313689610301005,-0.0180297075667811,0,-0.00407943409703637,-0.00721154048504796,0,0,0.0748442322725228,0,-0.0222256797125482,0.0217887482418756,0,0,0,0,-0.083231563904534
CVIX.INDEX,0,0,0.0543685297648814,0,0.0519388557302186,0,0.0157531069488882,0.0117687012492237,0.0540740467876921,0.0143438690159393,0,-0.130923237499861,0.0104524411623794,-0.0984430269677116,0.0308751293713048,0,0,0,0,0.0580038723082716
DXY.INDEX,0.00701067021098749,-0.00940302109823484,0,0.00199543426605201,0.00742125567268523,-0.0138296035108944,-0.00713792620345054,0.00710636775498135,0.00176272853828267,0,-0.000000000000000000216840434497101,0,0.00149641914383578,0,0,0.0460317819111556,-0.0351437763861417,0,0,0
SPX.INDEX,0,0,0,-0.0000123969341559386,0,-0.00971151282916213,0,-0.000343536126511707,0,-0.00365922153897645,0,0,0,0,0.00792116689825775,0,0,0,0,-0.0467935423640884
VIX.INDEX,0,0.100716770850106,-0.0659644046909979,0,0,-0.396614010825415,0.158402340732318,0,0.053653446920022,0,-0.0702412564505398,0.297193176452859,0.101355220356877,-0.272133382503442,0,0,0.633183041520292,0,0,0
