,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.083433628160156,0.146075675767504,0.0363303882474409,0,0,0.0331012013644015,0.163759398515692,0,0,0,0,0
XRP,-0.213797278255183,0,-0.028876828215553,0,0.179276162973529,0.455074615047709,-0.1101920821612,0.127768145899504,-0.0453373955839494,0,0,0,0,-0.0268644142362382
LTC,1.81432156379945,0,0,-1.99897723381354,0.521012391958386,-0.174090165000292,0.649691378264677,-0.156639776176636,0.121342293546539,-0.931362200224833,0.466994163046235,-3.92149940414361,0,0.487417100872178
DASH,0,0.0631796615974174,0.11476538227386,0,0.193292896345718,-0.12696819406965,0.152203399863219,-0.0436388330872024,0.236376326446266,0,0,0,0,0
DOGE,0.429550543114615,-0.166815925045419,0.0931000117592398,0,0,0.593429841342828,-0.0246789432765898,0,0.143996247707936,0,-0.341909526531339,0,0,-0.129685932877489
XLM,0.373344616761623,0.231529731403534,0.0512427403558482,0.244812431568305,0.300996208081025,0,0.0196444930076801,-0.115560049641153,0.0697661040954204,0,0,0,0,-0.114707378831644
XMR,0,-0.136464936995603,0.0398229670933692,0.34176377897036,-0.0810463306528296,0,0,0.20956489761313,0,0,-0.161310031097275,0,0,-0.0298892006359029
XEM,0,0,-0.135713299225544,0.073158382215407,0,0,0.460717091231437,0,0,0,0,0,0,0
DGB,0,0.251768801427989,0,-0.0949700894222079,0.142706382544753,0,0.661324207527805,0.225008663067938,0,0,0.0785529824774388,0,0,0.111860743903941
BV010082.INDEX,0,-0.0107244394289758,0,0,0,0,0,0,0,0,0,0,0,-0.0834848631797742
CVIX.INDEX,0,0,0.0500108243845195,-0.0925776406638262,0.0590566420432277,0.0231302468169134,0.0137513080883005,-0.0885594026057925,0.0402149089286119,0.84108914963379,0,0.408040438705731,0,0.0838565649036243
DXY.INDEX,0,0,0,0.0348715060582972,0,0,0.0190268137563922,0,-0.00843687869078905,0,0,0,0,-0.00618472663317949
SPX.INDEX,0,-0.00221752297600627,0.00944363174807021,0,-0.026926237318919,0.0288386233019353,0,-0.00348688945293392,0,0,0,0,0,-0.0693021030921137
VIX.INDEX,0,0,0.0237589683536394,0,0,0,-0.233110690819773,0,0.44401202441392,-1.00771582981359,0.0974517676834188,0,-4.55999754620408,0
