,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,XLM,ADA,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0657758752484021,0.0234297510464282,0.16527063803504,0,0.00564445462612084,0.104299437216674,0.1646899309587,0,0,0,0.0275240411724901,0,0,0,0,0
ETH,0,0,0.0533242335639333,0,0.25885252164471,0,0.142838396501695,0.0316691166232431,0.0723101515111503,0.191329054290986,0,0.00112425583898206,0,0,0,0,0,0,0,0.0374628676423207
XRP,-0.175079433697896,0.548045066821895,0,0.0600032601682428,0,-0.0470847025350916,0,0,0.09529539088592,0,0,0.021855686997122,0,0,0.0767781659239821,0,0,0,0,0
BCH,0.334505633588929,-0.325309562969579,0,0,0.302497094685528,0,0.25211171257313,0.095056102589145,-0.173147429045806,0,0,0.0743775233143329,0,0.231308528417901,0,0,0,0,0,0
LTC,0,0.117512294850434,0.0836382292178873,-0.0329745361560971,0,0,0.00471536232648291,0,0,0,0.763860887064412,0,-0.0502392677894658,0,-0.0261460598505335,0,0,0,0,0
DASH,0.115173903018031,0,0.0901812812561052,0.109261016904537,0,0,0.24951865526948,0,0.0400927341023842,0.0157408179887096,0,0.000277485427005417,0,0.104655153116773,0.000000000000000000216840434497101,0,0,0,0,-0.109871527463375
XEM,0,0,0,0.00970268326780288,0,0.128240830488892,0,0.036109854405564,0,0.157434928451096,0.0999789627584986,0.0562541755775569,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.193375584170109,0.0429239984525226,0.223616585388285,0,0.0437975511287875,0.097072036887842,0,0.163521009401016,0,0,0.196607396254607,0,0,0,0,-0.266774626845603
XMR,0,0,0.256971049129876,0.0678721560277251,0,0.0129804998243462,0.133466428971257,0.0690801368569626,0,0,0.123123618813665,0,0,0.199187642488499,0,0,0,0,0,0
MIOTA,0,0,0,-0.0726400543256011,0,0,0.0238581430099968,-0.18093036756837,0.0613571800872682,0,0,0.0782760597444576,0,0.434420336491099,0.409842767595535,0,0,0,0,0
ETC,0,0,0.020873828521135,0.00982218981348792,0.582149424147816,0.105760938920174,0.114660816395864,0,0,0.0925364533427363,0,0.044286151662157,0,0,0,0,0,0,0,0
XLM,0,0,0.0476559298592672,0,0,0,0.381594166640403,0.0590803109461084,0.184047381602802,0,0.0988004330173303,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.10146976295292,0.0347666822833326,0,0,0,-0.196065245943637,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.055638629388608,0,0.26528621384714,0.195577175491012,-0.0308319382773458,0.0735322208291637,0.174332771813744,0,0.0438533338404426,0,0,0.276514527547737,0,0,0,0,0.138884649215165
EOS,0,0.194603944750685,0,0,0.300983053640649,0,0,0.175598996537574,0.091690268229005,0.172854057058282,0,0.0611596258732983,0,0.093172242711595,0,0,0,0,0,0
BV010082.INDEX,0,0.0216835646132315,0,-0.00982631138557371,-0.0430484257034164,-0.0798970510310211,0,0.0225968948783676,-0.0124919896989872,-0.00349540390999871,0.0314063231465487,0.00514454179752514,0.032726195892736,0,0.0420911256198492,0,0,0,0,-0.0681647381147348
CVIX.INDEX,0,0,0,0.042068171255406,0,0,0.0271307478511641,0,0.00319133708983637,0,0,0.0251099132329787,0.0362297578105729,0,-0.0927545361403201,0,0,0,0,0.0000000000000000000542101086242752
DXY.INDEX,0,0,-0.0000000000000000000542101086242752,0,0,-0.0210220181002799,-0.00278747379017482,0.0107847211206924,0,0.00830544686492514,0,0.00311496523360957,0,0.00273231610890952,0,0,0,0,0,-0.00578364674338398
SPX.INDEX,0.00642017863732946,0,0.00297510246928993,-0.0101962496778205,0,-0.00993540488034896,0,0.000698796257941145,-0.00507814833067686,0.00473740235702609,0.0048468951823633,0.00105408609442715,0,0,0,0,0,0,0,-0.0349073826972307
VIX.INDEX,0,0.309613427849681,-0.0729531886898046,0,0,-0.276580523468676,0,0,-0.0162373897232399,0.0529345922242405,-0.0555585020142906,0,0.103399656465734,0.0994661832569492,-0.184977631703994,0,0,0,0,0
