,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,ADA,TRX,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.129095942226661,0,0.0199293584991121,0.196301003636833,0,0.0849971075211653,0,0.186113643250233,0,0.013042695530101,0,0,-0.0684027216879491,0,0,0,0
ETH,0,0,0,0.079501412838261,0.271304958671559,0.0888451451841328,0.203847274509355,0,0.115353136639675,0.0775269778879686,0.00848740232056391,0.0700837408721778,0,0,0.0130210084668563,0,0,0,0,0
XRP,-0.275932068909847,0,0,0.455847583993078,0,0,0,0,0,0.176853476169705,0.506619387429771,0,0.0725106540474894,-0.131624758221475,-0.12568257246727,0,0.140743224610084,0,0,0.164948059896916
BCH,0,0,0.257675840766643,0,0,0.127055294420467,0.228041384597881,0.00458389729248467,0,0,0,0.236198960718274,-0.0101965227571389,0,0.0924088607543556,0,0,0,0,0
LTC,0,0.200401316633627,0.0793943602007496,0,0,0.516642476197441,0,0,0,0,0.0238411344126836,0.046217562267091,0,0,0.0660548354968291,0,0,0,0,-0.00861208145030658
EOS,0,0.180522368884474,0,0,0.604711540303003,0,0.0306646032785477,0.110361826779314,0,0.0335320263971265,0,0.037440682044445,0,0,0,0,0,0,0,0
BNB,0,0,0.141558709473853,0.21134245629977,0,0.360812908744081,0,0,0,0,0,0.0849941750903827,0.0174705306039221,0,0.0065918036133732,0,0,0,0,-0.0249727650540388
BSV,0,0,0.10820523728022,0.5801583655761,0,0.149842309487523,0,0,0,0,0,0,0,0,0.0503763129110882,0,0,0,0,-0.0830265549459898
XMR,0,0.273447336730653,0,0.159651191538212,0.197884528634743,0,0.238770206989124,0,0,-0.0543373813708284,-0.0415925881934205,0,0.0631550847513163,0,-0.00000000000000000173472347597681,0,0.0344608712619008,0,0,-0.0433346361356423
XLM,0,0,0.255779281559097,0,0,0,0,0.0795936713512626,0,0,0,0.191077114055007,0,0,0.149758705153401,0,0,0,0,0
ADA,0.0650076857469246,0.217476508611671,0.176598428319139,0,0.0636239763168688,0.00000000000000000693889390390723,0,0.0536652411279222,0,0.0720304590539874,0,0.157713140022981,0.0325256981258201,0,0.12166008211946,0,0,0,0,0
TRX,0,0,0.301030131073907,0.157331603061177,0,0,0.261733807893328,0,0,0.13246682701268,0.147528670362944,0,-0.102904317651414,0.149763523207397,0.104367158873622,0,0,0,0,-0.0337708844442876
XTZ,0,0,0.591623787657058,0,0,0,1.06852411312225,0,-0.312330520412998,0.00000000000000000346944695195361,0,-0.579969501502026,0,0.0715837423654242,0.05740984328033,0.276285303914485,0,0,0,-0.165301815148521
LEO,0.424235515478702,0.0341538612461436,0,-0.000000000000000000867361737988404,0,-0.291344201820887,0,-0.0377276318396996,-0.295327950379799,0.100770784002114,0.0753473149157299,0.337558093638316,0.0631562144808478,0,-0.100768930789779,0,0,0,0,0.0462758832714704
ATOM,0,0,0,0,0.179225280360495,0.498165375857913,0,0.0497643404863878,0,0,0,0,0.249927883527311,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0261271760541803,-0.294646803667789,0.253042507757281,-0.307085085592973,-0.0186776251351045,0,0.0949924346017098,-0.0636212933239531,0.366970586617865,0.075038928428959,-0.0325713430973248,-0.0591320241246641,0,0.114765534180502,0,0,-0.0116704432253539
CVIX.INDEX,0.153070358422709,-0.211278964773057,-0.119590019148068,0,0,0.286711242043258,0,-0.0299990764106024,0.377111097379671,0.104796599976358,-0.326209781707032,-0.110557930673545,0.143706822575165,0,-0.139006623951181,0.696023733354105,0,0,0,0.0335501888642467
DXY.INDEX,0,0,0,0,-0.0381746192499694,0,0,0.0258374835486022,-0.000000000000000000867361737988404,0.0243798558451449,0,0,-0.00202743678661245,0,-0.0105808424399101,0.0214856250941483,0,0,0,-0.00695036052069097
SPX.INDEX,0,0,-0.0149187894401358,0,0,0.0330125948778875,0,-0.00228961279657203,0,0.00743751182919232,0,0.00145146635803493,-0.00356963242068056,0,-0.00977066407810958,0.0828638900573934,0,0,0,-0.0415068010135302
VIX.INDEX,0,0.155542809479698,-0.210319066218425,-0.185503328894128,0,0,0,0,0,0.317947318010268,0,0,0,0,-0.249918574584927,0,0.0000000000000000277555756156289,0,-5.84389279040882,0
