,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.166360906976398,0.125540653675618,0.139809841275139,0,0.0696150216339417,0,0.0769630387386126,0,0,0.047396524039471,0,-0.10547008069353,0,0,0,0,0.00182883019561977
ETH,0,0,0,0.0604911904663067,0,0,0,0.0705706515935181,0.144055063451129,0,0.10059951520911,0,0.0402276517539782,0.216311034405213,0,0,0,0,0,0
BCH,0,0,0,0.194871458446843,0,0,1.17580950180226,-0.599843967237047,0.26002453035922,-0.0141701840770118,0,0.405402113039388,0.0290793846234007,0,-0.954664417090268,0,0,0,0,-0.331048032482292
XRP,0.259006113895848,0.212534306258667,0.0128806157326324,0,0,0,0.0984795980741211,0,0.0512061264604769,0,0.0610378732935153,-0.00234708633446057,0.0212279464814218,0,0.229774914396705,0,0,0,0,0
LTC,0,0,0,0.126533229902926,0,0,0,0.0722704386280934,0,0.00753353462637866,0.0548820031924712,0,0.107247931036698,0.0269342671157715,0,0,0,0,0,0
DASH,0.0147655245080064,0.0400260155535524,0,0,0,0,0.139386089861876,0,0.00035978621039749,0.0977795065420589,0.0718662594641244,0.236552597809298,0.0561335702760052,0.00387348573991438,0,0,0,0,0,0
XEM,0.142343832062628,0.0658799108837539,0,0,0,0.180793401305412,0,0.0226474448629818,0,0.0156723017882893,0,0,0.1260057999174,0.108802390401648,0.223712341857791,0,0,0,0,0
MIOTA,0.0298539949780063,0,-0.0513794733561549,0,0,0,0.230382499379225,0,0,0.145370092951354,0,0.58167643338363,0.0137536589409512,0,0,0,0,0,0,-0.0903078644054504
XMR,0,0,0.0775018804122406,0.246573240749252,0,0.230983350424456,0,0.102398847511778,0,0.0580035279630375,0,0,0.0524740489987669,-0.0574824038639459,0.180920978449608,0,0,0,0,0.00951257825074321
NEO,0,0,-0.0268019311977968,0,0,-0.0904898213908545,0.364597587801329,0.153514237408831,0.0187031788488388,0,0,0.142661885884624,0.0527549713659658,0,0.0840772889764278,0,0,0,0,-0.0656766662415041
ETC,0,0.314580171144609,0,0,0.214344722779249,0.083413799124293,0,0.0263452685754417,0,0,0,0,0,0.0146179234166041,0,0,0,0,0,0
ZEC,0,0.175654314953909,0.0201159573803135,0,0,0.113529041057245,0,0.177300636870309,0.0139156518336179,-0.00483535135287565,0,0,0.0298808309134773,0,0.175830786716164,0,0,0,0,0.0861266525175138
EOS,0,0.293160819621401,0,0,-0.16227017302971,0,0,0.0237636742862464,0,0,0.495132386217619,0.278851370820234,0,0,0.158586996383595,0,0,0,0,0.0955172373475784
BAT,0,0.120918352662493,0,0,0,0.0619151884172996,0.150998542719475,0.06534567580646,0,0.142886723924126,0,0.209695641725814,-0.0292440774535534,0,0.334729932987934,0,0,0,0,0
XLM,0,0.25563428996819,0,0,0,0,0.160107503595479,0.107763474203643,0.293748692606139,0,0,0,0.102286833799223,0.15309302671239,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0193730951721091,0,0.043054376158907,0,0.0454920057008145,-0.0103005377108561,0.0163069877359051,-0.00998150284075239,0,0.0482717208977242,-0.00329968572866502,0,-0.0566868884812983,0,-0.0924442901224981,0,0,-0.002282081335965
CVIX.INDEX,0,0,0.00654452236654921,0.0277969602089089,0.000000000000000000433680868994202,0,0.0124338312767539,0.025668856749082,0.0835985277253865,0.0147102903909734,0,-0.0512441649698967,0.0227607503889165,0.0295592863392692,-0.136983942581205,-0.0615767482620745,0,0,0,0.0613855705450664
DXY.INDEX,0.00255702943416554,0,0,0,0,0,0,0.0111066911482052,0.00863925719291996,-0.00412126607280024,0.00204534242210782,-0.0173244046728272,0.00447795156882452,0,-0.000882078752636276,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.0139094038209581,0,0.00104108586359246,-0.00312180958814856,0,0,0,0.00228133677515901,0,0,0,0,0,0,-0.0510669909889259
VIX.INDEX,0,0.223543846765285,-0.0325490688240947,0,0,-0.173610980686279,0,0,0,-0.137094925476105,0,0,0,0.157355600175957,0,0,0,0,0,0
