,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.242644827661029,0,-0.0441793228565407,0.055835782477435,0,0.0982910345880616,0.046482492566298,0,0,0.0242768194617854,0.00000000000000000010842021724855,0.0516472491047096,0,0,0,0,0.132780057882491
ETH,0,0,0,0,0.191330010512873,0,0.155612954504019,0,0,0,0.0710550606465274,0.00000000000000000010842021724855,0.0908425710294521,0,0.0335335590666541,0,0,0,0,0.0303687778120827
XRP,0,-0.251028770461754,0,-0.110056347955417,-0.221593602141051,-0.00000000000000000173472347597681,0.488783810238487,0,0.208340381831373,0,0,-0.0128965401447631,-0.0323728873451417,0.281625473884883,-0.0621984679491627,0,0,0,0,0
LTC,0.538023991294236,-0.056373883380341,-0.108835794277358,0,0,0.0406664611227895,0,0,0.11896797717518,0.114718749584756,-0.0903051460855585,0.16805758833554,0.0883008293327961,-0.0670193831313873,0.0238033070571989,0,0,0,0,0.0789848097784879
ETC,0,0.234133716248869,-0.0947694212593942,0.150538321691364,0,0.0226896513652102,0.0581889765711952,0,0.14104397561641,0,0.0463013743976492,0.0423427688232457,0,0.0262362714898084,-0.0489878516470601,0,0,0,0,0
XEM,0,0,0.269808371487545,0.166569187575796,0.0852429537070629,0,0,0,0.0529461400313515,0.148393659361997,0,0.0437229399644548,0.187691038128627,0,-0.0510437444973539,0,0,0,0,0
DASH,0,0.048853926105785,0.0173922402270801,0,0,0,0,0,0.371850403626229,0,0,0.11651795869844,0.0167940415400703,0.0693704498347795,0.00315178001288768,0,0,0,0,0
MIOTA,0,0.0855894448966359,0,0,0,0.0794824282044814,0.161029608995168,0,0,0,0,0,0,0.0390252299501994,0.0590958840021616,0,0,0,0,0
XMR,0,0,0,0.305008038252762,-0.112500709794983,0.0233047511679043,0.604908313535863,0,0,0.0200122441167879,0.0857415112329954,-0.169903766886557,-0.0670347808878491,0.0676985805144653,0.0389311911635234,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.122544763067577,0,0,0,0,0,0,0,0,0,0.0567856525482928,0.207865921275499,0,0.0121454852134409,0,0,0,0,0
NEO,0,0.441509562050967,0.0523213375035618,0.87681368326273,0.127333808641743,0,0.214834009056488,-0.459947487415886,0,0.0525057251955605,0.351541740918218,0,0,0,0.0559424681208317,0,0,0,0,0.00998962045387494
DOGE,0.290087177383525,0,0,0.0560307445835228,0.149389541754983,0.328929723876806,0,0,-0.0429796996139197,-0.0484604836670454,0.318213469446838,0.0220585388196394,0,0.150857319303693,0.0374613688817722,0,0,0,0,0
XLM,-0.0224509747495118,0,0.545534332338957,-0.498900032821926,0.0576182340072549,0,0.304248539223863,0,0.621716570822827,0.138409126178688,-0.310153061066467,-0.00000000000000000010842021724855,0.17792169022709,0,0.0745993251713258,0,0,0,0,0.0697661071562101
DGB,0,0,0,0,-0.0726115529253827,-0.315497094682265,0,0.170837182261179,0.506570414380966,0.213351779197276,-0.268970989107308,0.122782051554738,0.604125513745945,-0.0427633136931301,0,0,0,0,0,0
BV010082.INDEX,0,0,0.00927015156773202,-0.028505063639058,0,-0.0288223411592478,0,0,0,0,0.0234361754576263,0.00615164554010011,0.00618707899857383,0.0183639082792722,0.00562703868445801,0,0,0,0,-0.00797823517465664
CVIX.INDEX,0,-0.123853826357161,0,-0.0593985906554029,0.0281740520042041,0.0361790829527499,0,0,0.0474643993042441,0.0301122631778977,0,0.0332894479767344,0.0915215943500456,-0.010087395012977,-0.0219956923808511,0,0,0,0,0.0573573521101885
DXY.INDEX,0,0.008178438522042,0,0,0.00713719982847971,0,0,0,0,0,0,-0.00279161817639863,-0.0163008722922852,0.00422555691546137,-0.00103870024179902,0,0,0,0,-0.00337142437862975
SPX.INDEX,0,0,0,-0.00161542262047484,0.00334847986478849,0,0,0,-0.00295871576539872,0.00168812230126044,0.00444629999030671,-0.00137809152782926,0,0.00327713204358713,0,0,0,0,0,-0.0443989699272766
VIX.INDEX,0,0,0.135868343124691,0,0.018142256683388,0,0.276826512952782,-0.0351863136979306,-0.183721261661677,0.0406822546653129,0,-0.0647745971695813,0,0,-0.00927185214709884,0,0,0,0,0
