,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,XMR,LEO,XTZ,LINK,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0137889919266873,0.159422947609177,0.136510382408614,-0.0000000000000000138777878078145,0.188324866618989,0.0226007721907368,0,0,0,0.19075810669779,0,0.0120095044487595,0,0,0,0,0,0
ETH,0,0,0,0.11027293166098,0,0.392498642930618,0.255894357889134,0,0.0554786697090342,0,0,0,0,0,0.00938295548377785,0,0,0,0,0
XRP,0,0,0,0.264825693953453,0,0,0.135634333980384,0.0221352890805989,0.0534681313161005,0.0558610362882337,0.0639029849251947,0,0,0,0,0,0,0,0,0
BCH,0,0.145641618099694,0,0,0,0.148211184748011,0.186104172274259,0.0866315431721118,0,0.268154718711661,0,0.0102153213610088,0,0,0.0351598520300209,0,0,0,0,0
LTC,0,0.174633723251896,0,0,0,0.535907615891702,0,0.0788214653263406,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0.117256685366868,0,0,0,0.347451790109168,0,0,-0.0158203406050533,0.048902482382642,0.146553502320171,0.243226180408479,0.0853248337998036,0,0,0.114731483094767,0,0,0,0,0
BNB,0,0.492814871321482,0.0562315014004381,0.0877363093954645,0.0198035762638079,0,0,0.0364358469324646,0,0.128861600557828,0,0.0509806721304226,0,0.0522693901308212,0,0,0,0,0,0
BSV,0,0,0,0.35973389891096,0,0,0.0584361689388518,0,0.245687911934779,0.0611814312398083,0.127408345720935,0,0,0.080644586258813,0,0,0,0,0,0
XLM,0,0,0,0,0,0.0510760432971938,0,0.176207455859346,0,0.229953242894371,0,0,0,-0.0772635131283759,0,0,0,0,0,0
TRX,0,0,0,0.246954535402705,0,0.562134240665265,0,0,0,0,0,0.0360442251400359,0,-0.118776978301995,0.0401550138797118,0,0,0,0,0
ADA,0,0,0.136481829003395,0,0,0.31943660825167,0.145858820146055,0,0,0.202096710224876,0,0,0,0.0479098760586566,0.00365117984930157,0,0.0700899430218926,0,0,-0.0327462984450413
XMR,0,0.0890923665189827,0,0.023600941208333,0,-0.00000000000000000693889390390723,0.246468596489319,0.00413463355252258,0,0.198074528529635,0,0,0,0.109113455924451,0.0486304090784971,0,0,0,0,0
LEO,0.210055908085751,0,0,0,0.27299549669082,0,0.00537500447462294,-0.0874518133062274,-0.0587303769759488,0,0,-0.112092731188916,0,0.130560233965618,-0.256008783248136,-0.0990051331050805,-0.0369125639406143,0,0,-0.000000000000000000867361737988404
XTZ,0.214757592962933,0,0,0.191367506471936,0.0419563417553677,0,0,0,0,0,0.0422163521948914,0,0.122870689065838,0,0,0,0,0,0,0
LINK,0,0.558876889528086,0.192212888982522,0,0,0,0,0,0.0283928362534819,-0.057180962285262,0,0,0,0,0,0,0,0,0,0.190324229436455
BV010082.INDEX,0,0.132730940221645,0,0.089252431260583,0,-0.11622694809735,0.136735751446433,0.237073875011396,0,0,0,-0.55419651919234,-0.442928573190303,0.120944685546496,-0.0425542581417127,0,0,0,0,-0.145535969947414
CVIX.INDEX,0,0,0.034615860382096,0.106479495045498,0,0,-0.0653569470093444,0,0.0269598687163225,0,0,0,0,0.0502450279065895,0.0818593154840817,-0.277311745645126,0,0,0,0.0549006921907114
DXY.INDEX,0,0.0812972872482663,-0.00909431477050257,0,0,-0.0292266647304746,-0.0222381394448719,0.00000000000000000010842021724855,0.0141774947439246,-0.0165003775443565,0,0.0172406672591323,0,0.0134134836489702,0,0.0395490990761792,-0.0000479174724904267,0,0,0.0081592721332423
SPX.INDEX,0,0,0,0,0,0.0359477152844149,-0.0162136724649948,-0.0123282697847056,0,0,0,0,0,0,0,0.0241120350787551,0,0,0,-0.0748935370426432
VIX.INDEX,0,0,0,0,0,0,-0.320957281295917,0,0,0.0686244328318814,0,0,-0.0988010910313373,0.116172142405363,0.0486702719278585,-0.0820316818012239,0,0,-2.74900753435659,0
