,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0470331555039389,0,0.288343144959822,0,0.022902645208149,0.0606620435057863,0,0.106865454398874,0.10715415891476,0,0.0292884234521354,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.175539513411088,0,0.170569117346814,0,0.0966726488242177,0.0503348216030823,0.067215539018471,0.0822294166949344,0,0.114180887393715,0.0484170782608549,0,0,0,0,0.0264011391455998
XRP,0,0,0,0,0.157648242067167,0,0.103077070285415,0,0.0140946808509092,0.0904932526462007,0.220944123151093,0.104316273080371,0,0,0.0172538651665645,0,0,0,0,0
BCH,0,0,0,0,0.19575934918979,0,0.0183846622550001,0.0703847713716877,0.200425429308473,0.285054964269697,-0.00000000000000000173472347597681,0.0453821841599484,0,0.043963660262849,0,0,0,0,0,0
EOS,0,0,0,0.268248894978938,0,0.20381832545144,0.412076511688444,0.0291619281910173,0,0.188900377563734,0.053432273668783,0,0,0,0.199333125278668,0,0,0,0,0.0531313330638461
XLM,0,0,0,0,0,0,0,0.261080281255459,0.234576400108033,0.155591848867837,0,0,0.298111202313774,0.160721028010723,0.0301046760740187,0,0,0,0,0
LTC,0,0,0.186207674475133,0.30524160104923,0,0,0,0.0327891049574633,0,0,0.122821609468496,0.127823109971376,0.169287235432494,0,0,0,0,0,0,0
ADA,0,0,0,0.119359465292722,0,0.37112497367424,0,0,0,0.128270395101577,0,0.0025393218724763,0.157011031368521,0.0748305972418234,0,0,0,0,0,0
XMR,0,0,0,0.185798299230401,0.190310235933934,0.00998789348351914,0,0.215911822814457,0,0,0,0.0538961419403479,0,0.176563808297074,0,0,0,0,0,0
TRX,0,0,0,0.00957819325119013,0.468924143271432,0.0843376305610703,0,0.0758858255200005,0,0,0,0,0,0.0944385879864213,0,0,0,0,0,0
MIOTA,0,0,0.108856967077553,0,0,0,0.132540086301989,0,0,0.308106280633083,0,0,0,0.535657096986489,0,0,0,0,0,0
ETC,0,0.584487001560877,0,0,0.0500199023439579,0,0,0,0,0,0.382708007752675,0,-0.119389543833142,0,0.110498488120442,0,0,0,0,-0.0879897697136711
DASH,0,0.0296080793266338,0,0,0,0,0,0.257497418326383,0.118440362494613,0,0.0219922733200983,0.102971617959824,0,0.191828903199314,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.0650878632560599,0.399637489777024,0.381959336176076,0,0.0466001243155362,0,0.000897551442600685,0,0,0,0,0
BNB,0,0.49896727284791,0,0,0,0,0,0.0158201110252036,0,0,0.128814400024724,0.00000000000000000346944695195361,-0.079479860952121,0.0750420806940618,0,0,-0.094188586745926,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.0139032965172656,0.0217499070789194,0,0,0,0,0.0113133601421128,0,0,-0.125257094494791,0,0,-0.0265710396863993
CVIX.INDEX,0,-0.00000000000000000173472347597681,0,0,0,0.0446039205263256,0,0,0.134973744496653,0.0477598621836261,-0.118853604190707,0.0755831093861951,-0.335503968381701,0.179384984094529,0.0749596780170259,-0.517520556787732,0,0,0,0.0850959580902634
DXY.INDEX,0,-0.0135530027498102,-0.0160284484171535,0,0,0.0191576991983609,0,-0.0154446255113502,0.0181230225778382,-0.00516332842664823,-0.0112002375528063,0.0228530086661596,0,0,0,0,0.102689085893199,0,0,-0.0032075590478397
SPX.INDEX,0,0,0,0.0242512436031189,-0.00749633111577606,0,0,0.00717319036150856,0,0,-0.0232055741337813,-0.00417456992590913,0.00931736285180485,0,-0.00608376271992564,0,0.0183412034053255,0,0,-0.0597975360878035
VIX.INDEX,0.364234722269699,0,-0.525747715781104,0,0,-0.0688597611367734,0,0,-0.118167662729482,0,-0.163927345372513,0.234560062814021,0,0.270918113410197,0,0,0.110031868775064,0,-4.88601716059617,0
