,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0845666472073745,0.0237948410861612,0.0965724794397932,0,0.0801456023209911,0.00102470917636808,0.024169888749457,0,0,0.121559253143941,0,0.0516687622764224,0.0192328446090807,0,0,0,0,0,0
ETH,0,0,0.196349084661774,0,0.189996046117727,0,0.0825609203896475,0.0123496803388972,0.0258439047520182,0.0988567399377669,0.058925534174404,0,0.0638423811228127,0.000739980811346961,0,0,0,0,0,0
XRP,0,0.160758101553744,0,0,0.0933034518963803,0,0.0522834535188627,0.100161074492731,0.0349788730330189,0.124811605764496,0.0654148529374338,0,0,0.0474382551081625,0,0,0,0,0,0
BCH,0,0,0,0,0.045120325898814,0.366325428942973,0,0.0438590287239601,0.320317730487454,0.0167839408918422,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.261762079259529,0,0.14348660324045,0.0465708305602699,0.0680345559780525,0,-0.00000000000000000693889390390723,0.318078858324923,0,0,0.127796002597143,0,0,0,0,0,0
LTC,0,0,0,0.212348839604745,0.178776174229045,0,0.14670709015784,-0.0117774708351322,0.119472763949742,0,0.0803694778948681,0,0.259326049954833,0.0776873337959122,0,0,0.0673873655319973,0,0,0
BNB,0,0,0,-0.132114940129514,0.184389692932866,0,0,0,0,0,0.0170895277302961,0.298865493813728,-0.0376308930611214,-0.012751867047169,0,0.245709031109804,-0.0468411802478042,0,0,-0.166200571828319
XLM,0,0,0.408048801315653,0.100047656911188,0.0409497228851987,0,0.00746856373975045,0,0,0,0,0.241352707437685,0,0,0.0917449737820156,0,0,0,0,0
ADA,0,0,0.2518380466143,0.244630653336316,0,0.236630232262159,0,0.0791063555424625,0,0,0,0,0,-0.0127562693431611,0.167285735602608,0,0,0,0,0
TRX,0,0.0965129350157058,0,-0.0587757394135692,0.231566782352172,0,-0.0442027205943089,0.248793556152661,0,0,0.156415369717042,0.202005441340472,0.115611458084393,0.0684107317483765,-0.000000000000000000867361737988404,0,0,0,0,0.0552519106281812
XMR,0,0.479479838568517,0,-0.0625347569008428,0,0,0.0612992581700055,0.230012586157697,0,0,0,0.231452498367487,0,0.0315488587558119,0.0880119793961291,0,-0.189216622254216,0,0,0
DASH,0,0.143170090494313,0,0,0,0.135885577588142,0.0809180493460032,0.148213738023237,0,0,0,0,0.00211899550222897,0,0,0,0,0,0,-0.00528178149103123
BSV,0,0,0,0,0,0.461541635865512,0,0.14381707152783,0.231529041062635,0.0356838157491552,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0.508449466449479,-0.304190150651159,0.520984193159386,0,-0.103675041981658,1.09939335726705,0.0656655532540068,-0.241588037109772,-0.45056741298833,0,0,0,0,0,-0.390654412421252,0,0,0
MIOTA,0,0,0,0,0.0545904345432528,0,0.0808676867679236,0.0491192552577217,0.0554016419524424,0.0887497857876884,0.260054502498425,0.063919208440275,0.0337104773074678,0.00919612793720891,0,0,0,0,0,0
BV010082.INDEX,0.102350436399481,0,0.0695740619596352,0.0215383592436467,0,0.0780665184422825,0.0482720641163265,0,-0.144670410401806,0,0,0,0,-0.0456085865724909,0,0,0.00000000000000000693889390390723,0,0,-0.0655807723931482
CVIX.INDEX,0.175567389942064,0,0.246222625160198,-0.1869763022448,-0.0338418091191191,0.217629400395044,0.112248136481262,0.58072806040913,0.136941873655128,0,-0.530819214464654,0.0162188631351417,-0.181639179345059,-0.35516588852536,0,-0.183800129462659,0,0,0,-0.0377749102489915
DXY.INDEX,0,0,0.000000000000000000867361737988404,0.00614663814209633,-0.00646651399658078,0,0,0,0,0,0.0146054627419129,0.020503447521073,0.0150307327372,0,-0.0673451564120438,0,0.0137569576316797,0,0,0
SPX.INDEX,0,0,0,0.0160403957555955,0,0,-0.00599670761414122,0,-0.0183745813348603,0,0.0448818360287024,-0.0108876804045703,0,0,-0.016613366933098,0,0.00720118440471337,0,0,-0.0867317377889182
VIX.INDEX,0,0,0,0.195361113880522,-0.39374455041932,0,-0.0482337258417128,-0.00904476378418209,-0.182277842233115,0.310205753430097,0.342832089212071,0,0.085822326464172,0.0594912127008335,-0.181690682791478,-0.691649743148733,0.303025092253881,0,-5.43122585906983,0
