,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,XMR,DASH,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.27864496108434,0.0372889306233179,0.053505630906847,0,0,0.0462540414508954,0,0.0950427037557901,0,0,0,0.0479955561897623,0,0,0,0,0
ETH,0,0,0,0,0.0971130041065357,0.0754136981416776,0.152893864377597,0,0.0043694166007219,0,0,0.324147393679843,0,0.13098973185461,0,0,0,0,0,0
XRP,0,-0.242821066629913,0,0.0263012839007508,0.14838799313566,-0.0993530881616748,0.198881363221461,0.0526365053973831,0,0.0715975246207059,0.103956722741946,0,0.254709534355695,0.288313633089791,0.138037613729311,0,0,0,0,0
BCH,0,0,0,0,0.306189935440277,0.187155986981591,0,0,0,0,0.168040263663506,0.133295790765066,0,0.1168273362265,0,0,0,0,0,0
LTC,0,0,0,0.192029206985979,0,0,0,0,0.126053937445912,0.0382284139890998,0,0.0655429902915213,0,0.157797256575159,0,0,0,0,0,0
NEO,0,0.204291459695543,0,0.158618748117603,0,0,0.0402501181189206,0.0908882101963873,0,0,0,0,0.0820518101670505,0.247501726976492,-0.00453049508926449,0,0,0,0,0
ADA,0,0,0,0,0,0.0751399034612158,0,0.0902310972327574,0.055041707147994,0.226470912843351,0,0,0.165609947010679,0,0.0937829071868144,0,0,0,0,0
XLM,0,0,0.152896693781578,0.211584119800139,0,0.130601620599939,0.541645410466526,0,0,0.136644321247885,0,0,0.0587752419367419,0,-0.197833894743647,0,0,0,0,0.0357910752978677
EOS,0,0,0,0.00000000000000000346944695195361,0,0,0.0978094264198431,0,0,0,0.191845485310107,0,0.172784648398785,0.163124274445073,0.120500305469133,0,0,0,0,0
MIOTA,0,0,0.107622153923268,0.0316137765414431,0.0705614590730257,0,0.0635185082872957,0,0.133906675880177,0,0.226868353388025,0,0.032043747059498,0.117568684638385,0.0455879207920554,0,0,0,0,0
XMR,0.0448689621746278,0,0,0.0671234190812825,0,0.0763903626825592,0,0,0,0.246570575933493,0,0.218226719811463,0.0623001534508956,0.0978089929005948,0.0173138050834148,0,0,0,0,0
DASH,0,0,0,0.0854079735262952,0,0,0,0,0.184370509608915,0.0567902253923909,0.120560713022548,0,0,0.200125042775389,0.00659677033769616,0,0,0,0,0
XEM,0,0,0.195711607230787,0,0.0834167534894918,0,0,0.123415675323446,0.0534704417064428,0.237162859573965,0.0360534307189719,0,0,0.0442435220485283,0.000000000000000000433680868994202,0,0,0,0,0
ETC,0,0,0.134481011083158,0.169863135505259,0,0.07134916880928,0,0,0,0,0.214643890613223,0.0926085752896122,0,0,0.041169369059689,0,0,0,0,0
TRX,0.560655326623105,0,0,0,0,-0.542334601232838,0,0,0,0.285213249778102,0,0.524065508984492,0,0.258407739847116,0,0,0,0,0,0.0526515095252898
BV010082.INDEX,0,0,0,0,-0.0182670533547756,0,-0.0514471022121099,0,0,0,0.0379110082962806,0,0,0,0,0,0,0,0,-0.0331288109227395
CVIX.INDEX,0.0359020660824359,0,0,-0.000000000000000000216840434497101,0,0,0.0486615034340511,0,-0.0174005862375468,0,-0.0741881821304205,0,0.0577759638134617,-0.0490045083701147,-0.0376172573104365,0,0,0,0,0.0672282502042756
DXY.INDEX,0,0.0145983031631526,0.00344361300926606,0,-0.00014288880671748,-0.00200126317465452,-0.00773164948911443,0,-0.0107117171254357,0,0,0,0,0,-0.00538348804636733,-0.0825065542416018,-0.0247555277535762,0,0,0
SPX.INDEX,0,0,0,-0.0249060591426212,0,0.0167548986870168,0.00435773941547858,0,0,0,0,0,0,0,-0.00146422811673078,0,0,0,0,-0.0646900486979213
VIX.INDEX,0,0,-0.0756266920846674,0,0.0797934146774551,0.226233369089547,0,0,0.0268900572455795,-0.363685970789459,0,0,0,0.209644873780954,0.0418949311969329,-1.88512328187136,0,0,-4.59911946933606,0
