,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,DASH,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0962942210836792,0.0551664282185705,0.0119397451837173,0,0.0845308521039419,0,0.0382203613402945,0.316803399331227,0,0.125004602234474,0,0,0,0,0,0
XRP,0,0,0,0.138195533359608,0,0.113711662384307,-0.0264226308835952,0,0.0514142372663058,0.0452859913132897,0,0.0209231706416834,0,0,0.0360743000814727,0,0,0,0,0
ETH,0,0.0576363728649741,0,0.0856722391983489,0.0355546961098527,0.0733705335257395,0,0.107110554816999,0,0.0187385736914587,0,0.357904948565336,0.0631010267818652,0.133068097081606,0,0,0,0,0,0.000000000000000000867361737988404
BCH,0,0,0,0,0.167889706344517,0.59100555391212,-0.000000000000000000216840434497101,0,0,0.0974662488668355,0.00633163510030885,-0.00000000000000000693889390390723,0,0.0980641718282617,0,0,0,0,0,0
EOS,0,0,0,0,0,0.382631998833691,0,0,-0.0801202511601422,0,0,0,0.386527996432529,0.00100146550974549,0,0,0,0,0,0
XLM,0,0.055767990156493,0,0.134212388116109,0.0646827083896554,0,0,0,0,0.019617971966394,0.0602236090553804,0.234096091194101,0,0.127972997296258,0.0346752517406463,0,0,0,0,0
BSV,1.29976706283992,-1.52114853114754,0,0.493816130866706,0,-0.24246205453717,0,0,0.323599903279293,0,0.375551996501321,0,0.179958370676736,0.407928455392022,-0.466622868646179,0,0,0,0,0
LTC,0,0,0.240052035771659,0,0.104927201241629,0,0.00409371958509909,0,0.180424832209096,0.00000000000000000346944695195361,0.0260573235233794,0.190291661442219,0.0655211067022253,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0.01471375606996,-0.000000000000000000867361737988404,0,0.321799339931743,0.163973479702397,0.220625183939108,0,0.0781532295057507,0,0,0,0,0,0
ADA,0,0,0.0877186531087121,0.0946570317017765,0.227270619626829,0.0621221651016532,0.00432536679785737,0,0.203308847066279,0,0.133327799890404,0.118253585317506,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0832173271700313,0.128282750298459,0.241445889036836,0.0524502051221891,0,0,0,0,0.00254095789514516,0,0.0930950637233959,0.316077132462255,0,0,0,0,0
XMR,0.237083580792994,0,0.51128147215796,0,0,0,0,0,0.109203889276176,0.0650519058347865,0.00854186594404007,0,0.130930859840084,0,0,0,0,0,0,-0.0156311339345679
DASH,0,0,0,0.0354328088096607,0.189806921231154,0.169021484106642,0.00140043923184521,0.129633744146638,0,0.273096349476906,0,0.121297076639543,0,0,0.231248084362623,0,0,0,0,0
BNB,0,0,0,0,0.114987607333254,0.162520136031329,0.0177475408694054,0.547402890897028,0,0.0557883721028468,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0905776944990513,0,0.353308114311746,0.00592088315042539,0,0.0225802834103159,0,0.0224085528464049,0.144860469393184,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.0537615902351264,0,-0.0308710350082932,0,-0.110011111825616,0.00766092348266229,0.091811909145541,-0.102652430672888,0,0.0388272338502495,0,0.0778516726268738,0.0593889205293368,0.0342698596250421,0,0,0.253302788761729,0.429816234143315,-0.0465421543531575
CVIX.INDEX,0,-0.11841222920216,0,0.0464964199457138,-0.0309974534434066,0.142585118085298,0.0246992491557324,-0.116742642933116,0,0,0.100362699553762,-0.10459721568477,0,-0.0700804849421547,0.078079761438611,0,0,0,0,0.0856022946648412
DXY.INDEX,0,0,0.00470780283994283,0,0,-0.0150047643075962,0.00645938722605516,0,0,0,-0.00259414047236925,0,0.00365691350401371,0,0,0.0523712518824969,0,0,0,0.00734569805538057
SPX.INDEX,0,0,0,-0.00169636870821486,0,0.00673582350314429,0.00720817962433316,0.0262604010608156,0,0,0,0,-0.0675017949455047,0,0.0457478030682122,0.152652096829744,0.0849240008575361,0,0,-0.131673145755704
VIX.INDEX,0,0.189121264390912,0,-0.0261779098763253,0,0,-0.040665194528117,0.358483936760825,0,0,0.00000000000000000693889390390723,-0.425327218640255,-0.0896801507237964,-0.00000000000000000346944695195361,0.221914679066516,0,1.3978049817944,0,-4.75173478583325,0
