,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,DASH,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.000000000000000000433680868994202,0,0.14235398419078,0.00737917054632751,0,0,0,0.0629261421652357,0.340117152014375,0.0430749332174226,0.123521481686661,0,0,0,0,0,0
XRP,0,0,0,0.122412944812677,0,0.0938295192293292,-0.0445333997097164,0.104415640335903,0,0,0.0650010460834129,0.0000000000000000000542101086242752,0.0554993374322777,0,0.0327554378157393,0,0,0,0,0
ETH,0,0,0,0.117841992469391,0,0.0407789572130931,0,0.0232209109165429,0,0.00253740143750163,0,0.470842146965341,0.0359547056627609,0.131757442651491,0,0,0,0,0,0
BCH,0,0,0,0,0.120482176015227,0.590546894930823,0,0,0,0.185213581599557,0,0,0,0.0946354766372706,0,0,0,0,0,0
EOS,0,0,0,0.00000000000000000173472347597681,0,0.164796419001366,0,0,-0.229170170082062,0.673032823114533,0,0,0.151598343761704,0.0879272346610862,0,0,0,0,0,0.0264519033203668
XLM,0,0.0541066150578415,0,0.123434405635966,0.100193575292891,0,0,0,0,0.0315903450937237,0.0612133938166653,0.20520630212659,0,0.129284487748981,0.0677014073821887,0,0,0,0,0
BSV,1.23180011090942,-1.93322117148829,0,0.532344231441254,0.100597367825615,-0.287590005124478,0,-0.091929398220234,0.456669950498116,0,0.401339523877198,0,0.16898429758611,0.452874037117272,-0.382155834163931,0,0,0,0,0
LTC,0,0,0,0.0306848023142909,0.202554356730902,0,0.0169111427196567,0,0.0364115883619932,0,0.0864859445504659,0.209157564667307,0.101251505441906,0.015995919651774,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0.0147550449966744,0,0,0.335441897724901,0.196579881992198,0.162104396356915,0,0.0525486884324732,0.0226087834407536,0,0,0,0,0
ADA,0,0,0,0.0863337494225591,0.279385359263171,0.0777539339943568,0.00662977825627505,0,0.29238651903999,0,0.130016959862992,0.0541758691847158,0.0366352204531363,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0768195419053502,0.0573042758410579,0.232938401724115,0.0561883729567293,0.0697876883089217,0,0,0,0,0.0854936779377268,0.134236118957093,0.233384088722951,0,0,0,0,0
XMR,0.237083580792994,0,0.51128147215796,0,0,0,0,0,0.109203889276177,0.0650519058347875,0.00854186594403968,0,0.130930859840083,0,0,0,0,0,0,-0.0156311339345683
DASH,0,0,0,0,0.028502189493806,0.22877008189199,-0.00886359235643574,0.225386345735629,-0.270387944770763,0,0.119224459898621,0.479260733480547,0,0.190447361330534,0,0,0,0,0,0
BNB,0,0,0,0,0.168072647206951,0,0.00712282749160103,0.391816261536011,0.106948299043677,0.25510628419507,-0.0313146946430982,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.113125956384616,0,0.414194136421871,0.0125429300077721,0.0418098528665292,0.00855630520310733,0,0,0.0815976164023176,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.125077150935805,0,-0.0403227923820543,0,-0.11356756474791,0.0133485328832474,0.0885545441934616,-0.0303541532349785,0,0.0402841811551816,0,0,0.086495069739144,0.0688265448983269,0,0,0,0,-0.0923242671493426
CVIX.INDEX,0,-0.114726648480908,0,0.0467248782935176,-0.0281582177360996,0.12513507853908,0.0232062528088044,-0.0939396093171811,0,0,0.0979338854666062,-0.105175462031685,0,-0.0707544559531203,0.0778431471316911,0,0,0,0,0.0858119701103296
DXY.INDEX,0,0,0,0.00235091252351944,-0.00175151215496652,0,0.00636471207895731,0,-0.0306499605939656,0,0,0,0.00855868715180515,0.0043939954250453,0.00247852864974111,0.045332204044035,0.00744352709011313,0,0,0.00668790624745205
SPX.INDEX,0,0,0,-0.0197480831863031,-0.0241679847016046,0.0302600027267983,0.00927903298140682,0.028901688857506,0,0,0,0,-0.0421247926271266,0,0.0444440864226336,0.150305450566026,0.0671792885195283,0,0,-0.132012292257092
VIX.INDEX,0,0.104400008665224,0,0,0,0,-0.0326907313102752,0.309251883647594,0.296073427422366,0,0,-0.660428500116324,-0.0358548966212632,-0.0665803002533907,0.234050218674268,0,1.14785228860942,0,-4.6250956316471,0
