,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0435495063857072,0.0436143269521584,0.782708174701605,-0.00500061112610042,0.087383543241503,0,0.232197425118683,0,0.0186571377961329,0,0,0,0,0.0372041102069026
XRP,0,0,-0.0335181613793296,0,0.0682901806474742,0,0.568418342357026,-0.341256633996839,0.0610443268243065,-0.137571447222765,0,0,0,0,0.102813760903076
ETH,0,-0.13333574751536,0,0,-0.115297411140734,0,-0.232989682296154,0,0.0297564081876631,0.111215878571676,0,0,0,0,0.153641898051611
LTC,0.69493045967373,0,0,0,0.0590419871723225,0,0,0.00758312456967565,0.0270606020965771,-0.0306588886976016,0,0,0,0,-0.0234498230901164
DOGE,0.654069365816097,0,0.0821351291557945,0,0,0,0.117738923599289,0.0184789688057862,0.0762598240590075,-0.035634280316379,0,0,0,0,0
DASH,0.729275682333664,0.463278548505965,-0.145484289909591,0,-0.28361741160258,0,-0.255557657590478,-0.506994562422305,-0.0388556993608457,0.175258302136661,0,0,0,0,-0.0922773179404494
XLM,0,-0.0817517895553998,-0.0956949540470037,0,0.220765037301146,-0.0837063920485486,0,-0.0408167967214533,0.129638910502207,0.191328446211523,-0.567697205164158,0.916410850029272,0,0,-0.188767860372216
XMR,0.461239787772768,0,-0.138921198373185,0,0,-0.0935423220727807,0.115065488132434,0,-0.0765080780742251,0.126822049457014,0,0,0,0,-0.107821595444022
XEM,0,0,0.133431940230108,0,0,-0.230684764196926,0.384300596518277,0.00457445821784616,0,0.144712385159088,0,-3.33069777055412,0,0,0
DGB,0,0,0,0,0,0.152726545385631,0.385868165629613,0.141972000770855,0.152468366855847,0,0,0,0,0,0.066446813285312
BV010082.INDEX,0,0.0871979546906056,0.055566997973685,0.0562851144752089,0,-0.0174791104386983,0.052752699570927,-0.0504626950189693,0.00845093651299676,0,0,0,0,0,-0.0911439361876146
CVIX.INDEX,0,-0.0925251915783492,-0.0358883492951581,0.0432909974891481,0,-0.0396149959032697,0,0.0116816731031011,-0.0214285803911291,-0.0246653836826381,0,0,0,0,0.127019427267583
DXY.INDEX,0,0.00641299720192699,0.0191775396579459,-0.0316916446176683,0,0.0148002584377549,-0.0652295922974446,0.014265621211762,0.00647547750693924,0.0115933692830334,0,0.111863457832948,0,0,-0.0425202793317457
SPX.INDEX,-0.00440722959649258,0.030803382373218,0,0,-0.00490631420753648,0,-0.0119340138739601,0,0.00203465438887985,0,0.0897010393561083,0,0,0,-0.106623782154066
VIX.INDEX,0,0.095421013432172,0.0482580307305778,-0.0453911309045231,-0.140055850696968,0.0644772251689384,0.314885813032739,-0.0810015054274405,-0.0873125458563368,0.172707457886218,0,0,0,-5.74073625956255,0
