,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.154759805683118,0.0380846597772405,0.0568162050606751,0,0,0.135325386328338,0,0,0.0735994932145008,0,0.103439280636901,0.0317992569241373,0,0,0,0,0
ETH,0,0,0,0.320983353433594,0,0,0,0,0.180368306469405,0.19258289546842,0.0192923584760537,0.00218261620055871,0,0.12532822226148,0,0,0,0,0,0
XRP,0,0.224541544855572,0,0.158635115379115,0,0,0,0,0.0396155179645158,0.116862627602182,0,0,0,0.0191902039202803,0.143611743198596,0,0,0,0,0
BCH,0,0.0364395074236699,0,0,0.455419822410849,0,0,0.178270269950066,0.0336466776486917,0,0,0.0183163337903292,0,0.056890391970208,0,0,0,0,0,0
EOS,0.360775076429707,0,0,0.0800387888950692,0,0.0477698833549609,0.238526232747788,0,0.000000000000000000867361737988404,0.230642245935733,0,0,0,0,0.405533249053934,0,0,0,0,0
XLM,0,0,0,0,0.213323953558963,0,0,0.425490198356554,0.0770037708652103,0.0476241301485542,0,0,0,0,0,0,0,0,0,-0.0206464386174363
LTC,0,0,0,0.452208891695114,0.0198716077621286,0,0,0.0410180200522847,0.106041228692873,0,0,0,0,0.102333190831454,0.0235395946497969,0,0,0,0,0
ADA,0,0,0,0.242168111251653,0.0447411547906604,0.24567943795789,0,0,0.0141427533760565,0,0,0,0,0.0125812985739926,0.257310387447485,0,0,0,0,0
MIOTA,0,0,0,0,0.0651628102040903,0.160308550206442,0.390403826186289,0,0,0.0691104614047132,0.439656926383623,0,0,0.0401528280874223,0,-0.0268567218850741,0.437032229086023,0,0,0.105738879748715
TRX,0,0.144610420760663,0,0.439977872168381,0.210504234957686,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0.0550546425220059,0,0,0,0,0,0
NEO,0,0,0,0,0.0683944427238088,-0.0387861526980362,0,0,0.482879560153678,0,0,0,0.0462064902275987,0,0.405435934324828,0,0,0,0,0.061058983944189
XMR,0.446813385018647,0.259403076267901,0,0,0,0,0,0.0764692567402135,0,0,0.151647807244263,0,0,0,0.140811477304604,0,0,0,0,0
DASH,0,0,0,0.202104015457959,0,0.0740388504066031,0,0,0,0,0.070178657874734,0.00956034725135546,0,0,0.239522304602392,0,0,0,0,-0.065051594091748
ETC,0.226806454783787,0.4794304322831,0,0,0.201212437906756,0,0,0,0.101477265741979,0,0,0,0,0,0.0716134184533615,0,0.198173828092516,0,0,-0.00441421733333209
XEM,0,0,0,0,0,0.27088692359395,0,0,0,0.229823557123418,0.258154132733423,0,0,0.0704580860098898,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00443862117186912,0,-0.129056276428225,0,0,0,0,0,0,0.147898328760697,0,0,0,0,0,0,0,-0.122794948535827
CVIX.INDEX,0,0,0,0,0,0.129956435947939,0,-0.0888780441780732,-0.189891633904547,0,0.258167535321901,0.25398067751231,-0.394095625064982,0.0630628730501771,-0.0127542080039293,0.0416307383088886,0,0,0,0.0766575557805213
DXY.INDEX,0,0,0,0,0,-0.000000000000000000867361737988404,0,0,-0.0294289994103031,0.00907394187722274,-0.00914037562777292,0.0168914766002288,0,0.0234106206437022,0,-0.0103502480582517,0.0880002998880397,0,0,0.00521419723748226
SPX.INDEX,0.0431786263542263,0,0,0.00409747807100675,0.0063657710708157,0.00255390312699837,0,0,-0.034943766324022,0,0.00726032678179486,-0.00330820506327413,-0.00984580726057567,0,0,0,0.00348972692938748,0,0,-0.0577369018304158
VIX.INDEX,0,0,0,0,-0.0306203045188996,-0.0599731654283683,0,0,-0.0676799273645607,0,0,-0.235265334237504,0,0.108850670545147,0.0262409771603932,0,0.20954888848709,0,-8.75935785565903,0
