,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00831104650830251,0.101834900640221,0.263241215345035,0.0811575730454412,0,0,0,0.157247051734828,0.0161376394822507,0.00360505883708331,0,0,-0.0651649376387446,0.100250267081241,0,0,0,0,0.0662728160093565
ETH,0,0,0,0,0,0.0962282545733611,0.253680828057741,0.0315924689936319,0,0.0596255066598837,0,0.0932340772427392,0.170581279925884,0,0.0334242549877332,0,0,0,0,0
XRP,0.130468723998174,0.0950456006865956,0,0,0,0.453110183373472,-0.154197349792903,0.0286502698029967,0,0.0380848653387174,0,0,0,0.393831881444933,0,0,0,0,0,0
LTC,0.068263816900667,-0.0731724295686857,0,0,0.0404200698348337,0,0.252012721222724,0,0.0712954707060293,0,0.086510757592547,0,0.166836880080754,0,0.026340664553529,0,0,0,0,0
XEM,0,0,0.210710795605494,0.222156082323049,0,0,0,-0.0572636969760045,0.274664841538328,0,0,0,0.074320706193727,0.0627502024897111,0.059178314408739,0,0,0,0,0
DASH,0.202850785474804,0.201926887577524,0.00000000000000000173472347597681,0,-0.0227926481730468,0,0.0332914656942258,-0.0693460566010999,0.363877407089844,0.0415233532272992,0.0597442334723987,0,-0.0678486247569986,0,0.118347218356076,0,0,0,0,0
ETC,0,0.213062344895794,0,0.194143130697933,0,0.0567095453158743,0,0,0.192562061243388,0.0295398645642542,0.0164875434061521,0.0311726115893029,0,-0.145597217533067,0,0,0,0,0,0
MIOTA,0,0.0631087340013427,0,0,0.103804433466627,0.13210330164024,0,0,0,0.0577606115075029,0,0.14909336720195,0.321012822065676,0.0635049941155773,0.180494791685969,0,0,0,0,0
XMR,0.140796332912155,0,0.0355600550987639,0,0.0817699123593139,0.382263529394405,0,0,0,0,-0.00243220414518596,0,0,0.20013488072541,0.0309503817767326,0,0,0,0,0
EOS,0,0.40103691288042,0,-0.20937290096902,0.288470480403078,0,0,0,0,0,0.123643499076061,0.114223404274864,0,0.000000000000000000433680868994202,0.171072344671712,0,0,0,0,0
NEO,0,0,-0.307119778219935,0.28574562479978,0,0,0.371328859459374,0,0,0.0493809979102009,0,0.449242111920185,0.0931373165920253,0,0.0750331019247419,0,0,0,0,-0.184030396576752
ZEC,0,0.200701002918861,0,0,0.0460081707730024,0,0,0.0795018178088893,0,0.0210790711931638,0.0679306358170452,0,0.170671920181218,0.116624263073593,0,0,0,0,0,0
DOGE,0,0,0,0.0878142114810486,0.478250870364293,0,0.209345200163073,-0.00000000000000000173472347597681,0,-0.0671499282276211,0.0154357267344252,0.0356101070736094,0,0,0.120029911577026,0,0,0,0,0
XLM,0,0,0.597300051731889,0.139777162128086,0,0,-0.169068771744651,0,0.586860321302042,0.0594454143457218,0.0188681577559903,0,0,0,0.086568388160202,0,0,0,0,-0.190435734742807
DGB,0,0,0,0,0.112706347949432,0,-0.26840722987186,0.135772622420424,0,0.17974445915285,0.17566766519337,-0.733639996345911,0.669540275903172,0.649451515587661,0,0,0,0,0,0
BV010082.INDEX,0,0.026680500150046,0,0.0152683517834635,0,0,-0.0402794506579057,0.0107172536376155,-0.0142449474393799,0,-0.0118490937229214,0.0417203655923737,0,-0.0020951864417183,0,0,0,0,0,0
CVIX.INDEX,-0.199067112712488,0.0212103768419914,0.0018556414044381,0.0385054919285788,0,0.000000000000000000867361737988404,-0.0163589353757666,0,0,0.0298923679406384,0,-0.0848710609467746,0.148374424030914,0,-0.0284776410397383,0,0,0,0,0
DXY.INDEX,0.00371347850754064,0.0000000000000000000542101086242752,0.00203204404132289,0.00837738665272488,0,0,0,0.00585603332230992,0,0,-0.00490989403282444,0.00348074365951848,0,-0.00488905255882055,-0.00205867207804959,0,0,0,0,-0.00262993167312951
SPX.INDEX,0,0.00505640600224953,0,0,-0.00418178098182398,0,-0.00466278235670269,0,0,0.0013126716925507,-0.000187300965946015,0.00116855906932164,0,-0.00100022111768513,0.00135013326164502,0,0,0,0,-0.0626199566682396
VIX.INDEX,0.245897550045032,0.179497467182358,0.0605276129488734,-0.191807291872105,0,0.141025857057047,0.138997891594862,-0.145911720472824,0.0342143639330323,0.029487214309327,-0.0618390342278308,-0.165142132892624,0,0,-0.0354673867461725,0,0,0,-2.25595619991118,0
