,BTC,XRP,ETH,EOS,XLM,BCH,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.132136467216444,0.0203750350067779,0,0,0.00629031238406042,0.113291852937025,0,0.0307421189040503,0.307603894490325,0.125458285350929,0,0,0,0,0,0,0
XRP,0,0,0,0,0.053551698823053,0.107397227176002,0.121121200264404,-0.0444903359593957,0.0228431347506909,0.115571724686429,0,0,0,0,0.0520516371530432,0,0,0,0,0
ETH,0,0.0640208219224862,0,0.0524589986998515,0.0451723478697146,0.103678264507084,0,0,0,0.026954479277413,0,0.442289551970163,0.122022395096421,0.0492050361587141,0,0,0,0,0,0
EOS,0,0.0270747034750192,0,0,0.600214377448487,0.157575782730363,0.169440425752408,0.0181464319209848,-0.399332944038626,0,0,-0.00000000000000000693889390390723,0.0576948135158662,0.236526766291393,0,0,0,0,0,0.0251592961330285
XLM,0,0,0,0,0,0.226990443388114,0,-0.0237008198277194,0,0,0.0555788502980833,0.287727386280727,0.0920497375212981,0,0,0,0,0,0,0
BCH,0,0,0,0.180331732080858,0.607903713510129,0,0,0,0,0,0,0,0.104462848759856,0,0,0,0,0,0,0
LTC,0,0,0,0.292350224748861,0,0.0218873672875805,0,0.0304595299708337,0,0,0.0372250183219446,0.242288833096486,0.0597260792241151,0,0,0,0,0,0,0
BSV,0.789683684287035,-2.06277384015429,0,0.371955321416298,-0.592096222389283,0.673599823008606,-0.929943138826582,0,1.09815626516175,0,0.299056370477049,0,0.489507979757972,0.429076206828178,-0.250648434739939,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.0123955724029345,0,0.302089703627398,0.211655905574961,0.246957047961615,0.0320239724203615,0,0.0226100951332714,0,0,0,0,0
ADA,0,0,0,0.0601598628419149,0.0620171086427399,0.197991435654605,0,0,0.0766666803987683,0,0.0134625159884957,0.339162356464515,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.26580298793429,0.123269119536076,0,0.0587553955522704,0.147706607359067,0,0,0.0132663639396835,0,0,0.243117103343653,0,0,0,0,0
XMR,0.242030715353404,0,0.534207531164856,0,0,0.000000000000000000867361737988404,0,-0.00630673795118005,0.115017495273078,0.00897747467857789,0,0,0,0.164502956593652,0,0,0,0,0,-0.0262481834918405
BNB,0,0,0,0.430635750187852,0,0.154247503777715,0,0,0,0,0,0,0,0.11329052287058,0,0,0,0,0,0
DASH,0,0,0,0.215221767232953,0.230278328641599,0,0.0534077808868439,0.00577065750631015,0,0.231099999679927,0,0.135010849960161,0.0298818891848274,0,0.249378200650629,0,0,0,0,0.0155027446275555
XEM,0,0,0,0,0.288005946099907,0.0522415070594881,0,0,0,0.130445657597526,0.0542257149755727,0.123800611615477,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.0808080815061892,-0.146213333736812,0,0,-0.0931628459450512,-0.0561159083473271,0.124240597820358,0.0128444538120453,-0.0336881707311047,0,0.0424577490901032,0,0.138632682642472,0,0.0748634042186569,0,0,0,0,-0.089322166662318
CVIX.INDEX,0,-0.112608848428478,0,0,0.0734940404241816,0.0287041809185476,-0.0530804753279,0.0252186476409772,0,0,0.103085364644304,-0.121835608129503,-0.0488119985995807,0,0.0845291102629623,0,0,0,0,0.0964905574443887
DXY.INDEX,0,0,0.0108712669379721,0.000395451972822908,-0.0116828452331856,0,0,0.00679896711112896,-0.0105981104806277,0,-0.00183165759496848,0,0,0,0,0.0597592897204961,0,0,0,0.00807832853504585
SPX.INDEX,0,0,0,-0.052511078953283,0.0116737294322134,0,0,0.00803844009324754,0,0,0,0,0,0,0.0343959860691979,0.0937747344604449,0.0672534298345729,0,0,-0.135431766689401
VIX.INDEX,0,0,0,0,-0.0132070972998197,0,0.0989126230224063,-0.00953625135279309,0,0,0,-0.00238174358677241,0.127556830611993,-0.182187292906347,0.274669421296325,0,1.36745358561224,0,-5.4671556795211,0
