,BTC,ETH,XRP,BCH,BSV,EOS,LTC,BNB,ADA,ETC,XLM,TRX,XMR,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.156164691234965,0,0.147013947205695,0.00115241039831986,0,0.0960658529226306,0,0,0,0,0,0.0152205590601792,0,0,0,0,0
ETH,0,0,0.259716388327758,0,0,0.0979823168824074,0.178764381582966,0.099212455312533,0.175272768158664,-0.0286066944802318,0,0,0,0,0.0300379728282084,0,0,0,0,0
XRP,0,0.372163643752284,0,0.0899299306219772,0.0124458998591242,0,0.0442323772125483,0,0,0,0,0.0937158769306013,0,0,0.0220332828699935,0,0,0,0,0
BCH,0,0,0,0,0.245897348347921,0,0.149756777038545,0.024712831431127,0,0,0,0,0.247159438797586,0,0.101308555055037,0,0,0,0,0
BSV,0.641528216148404,0,0.372136141486725,1.496437640676,0,0.530978856712945,0,0,0.158913613391138,-0.39505243219314,-1.73138099577269,0.0263384309595195,-0.532465784279634,0.114423254263961,0,0,0,0,0,0
EOS,0.121346558302355,0.32536182152915,0,0,0.040283521739368,0,0.455695164584922,0,0.0591871719975416,0,-0.097442868165159,0.0240757615673966,0,0.0691875749017228,0.0295028846811688,0,0,0,0,-0.0659487709666123
LTC,0,0.0485910290568968,0.122512270648962,0.0192060191941121,0.0173226620191645,0.552726106480782,0,0,0.0377868841208978,0.00560562345403322,0,0.0299243806025422,0,0,0.0469871836042459,0,0,0,0,0
BNB,0,0,0.161173901502494,0.0254367096441462,-0.000000000000000000216840434497101,0,0.295113357970928,0,0,0,0,0,0.152059067085739,0,0.0939582619002552,0,0,0,0,0
ADA,0,0.413334776641508,0,0,0,0.190140449559723,0,0,0,0,0,0.180110062077744,0.120643866988718,0.0054030093458633,0,0,0,0,0,0
ETC,-0.109417745829297,0,-0.417505022676227,0.286981229280076,0.0298365742673424,0,0,0,0.133339039013281,0,0,0.00789769237147121,0.494404832369936,0.0147186936426626,0.403306941694895,0,0,0,0,0.13649177558749
XLM,0.37442445350453,0,0.298514043793853,0.261774343721539,-0.126404872836005,0,-0.0796937679774586,0,0,0,0,0.117881999756551,-0.10264748378126,0.0472027401113274,0.103523703736486,0,-0.0261223704182426,0,0,0
TRX,0,0.291890721293961,0.312669278048585,0.0201727944233005,-0.00115126677755439,0,0,0,0.244342342002766,0.105794841779342,0,0,0,0,0.0838716290209848,0,0,0,0,0
XMR,0,0.0543170905366728,0,0,-0.0807449405136688,0,0.0631945437537358,0.615015307809929,0,0,0,0,0,0.0364185230643218,0.114479038057755,0,0,0,0,-0.00578096070356764
XTZ,0.491396085054491,0,0,0,0,0,0,0,0,-0.096138794937854,0.402699051576005,0,0,0,0.105776216490456,0,0,0,0,0
DASH,0,0,0,0,0.195014072746548,0.402498682664243,0,0.252030681685919,0,0,0,0,0,0.0319366484956777,0,0,0,0,0,0.157574731725047
BV010082.INDEX,0,0,0,0,0.0163412307165987,0.109314872620099,-0.37105253693223,-0.105096792630112,0.0187447935909699,0.0125000035353062,0.142604767375174,0.296915028848128,-0.0299397389274069,0.0154255914326428,0,0,0.0894939507622381,0,0.251322660803972,-0.0252424807500307
CVIX.INDEX,0,0,0,0,-0.0334215858749202,0.39516304910643,0,0.285231230766603,-0.325378296998862,-0.0409196128571576,0,-0.135003884826904,0.239260778380811,0.083437514435596,-0.0600346879670883,0.683148093260226,0,0,0,0.120683705148391
DXY.INDEX,0.0146226205154286,0,0.00130006023817448,0,-0.000492579304568657,0,-0.00845013754393994,0,-0.0273597316119817,0.024415528985085,0,0,0.0283008295585946,-0.0122422462611667,-0.00761991062275594,0.0435122548790754,0,0,0,-0.00595909264203073
SPX.INDEX,0,0,0,0.00841400865512936,0.00216070651695626,0.00978768356792386,0,0,0,0,0,0.0107001365832308,-0.013274409176341,-0.00138790773099557,0,0.0654689899258078,0.027776547877499,0,0,-0.0505698878114109
VIX.INDEX,0,0,0,-0.427086201808726,0.119802402675583,0.092712453390763,0,0,0,0.0995252120480193,0,0.0439789261401689,0,-0.10512791432941,-0.0190175898681618,-0.0771605981927338,0.375951677429912,0,-7.28680418329755,0
