,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XLM,ADA,TRX,XMR,ETC,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.159995165055759,0,0,0.160564881323096,0.0274701589306832,0,0.0767468112011103,0,0.0304665596567685,0,0,0.00514760259939985,0,0,0,0,0
ETH,0,0,0.125632707198196,0.131056424386048,0,0.161428493086969,0.11369241841616,0,0,0.221899356136918,0,0.0256937051786424,0,0,0.0321231369195755,0,0,0,0,0
XRP,0,0.223016444518732,0,0.204238058202505,0,0.0133881061597868,0,0.128353907817139,0,0,0.0851341845066819,0,0.00969557191611519,0.0642371072507411,0,0,0,0,0,0.100713359337563
BCH,0,0,0,0,0.227061199748738,0.258494846853062,0,0,0.0270990569142605,0,0,0.380309684641805,0,0,0.043684870667708,0,0,0,0,0
BSV,0.641528216148402,0,0.372136141486724,1.496437640676,0,0,0.530978856712946,0,-1.73138099577269,0.158913613391139,0.026338430959519,-0.532465784279631,-0.395052432193141,0.11442325426396,0,0,0,0,0,0
LTC,0,0.11065866173814,0,0.0887102852641943,0.00897788583683669,0,0.46068760026918,0.0200580319735854,0,0.0206842438721759,0.163793324948842,0,0,0,0.02967034411205,0,0,0,0,0
EOS,0,0.400659659433782,0,0,0.049136151583255,0.467088724891782,0,0,-0.0790179210716933,0.0304719966281577,0.0541409341149756,0,0,0.0637519969532578,0.0328858345570362,0,0,0,0,-0.0671469030720425
BNB,0,0,0.156289074804679,0.0290951938246991,-0.000000000000000000216840434497101,0.286394684777607,-0.0000000000000000138777878078145,0,0.013411968613184,0,0,0.157433471562833,0,0,0.090131320468948,0,0,0,0,0
XLM,0.230787125703663,0.298610322919464,0.217213192612974,0.212742985772843,-0.124620431396271,0,0,0,0,0,0.0905781168699385,-0.0723410433201218,0,0.0213793251775086,0.0471504526312568,0,-0.194007909611595,0,0,0
ADA,0,0.398988852883373,0,0,0,0,0.103663560271566,0,0.187154864605666,0,0.224875043779892,0.134281626348061,0,0.00836894873142361,0,0,0,0,0,0
TRX,0,0.285252319018036,0.330926979003921,0,0,0,0.0140606562480575,0,0,0.231793324786044,0,0,0.122210061815962,0,0.0783734840311274,0,0,0,0,0
XMR,0,0.164014265759261,0,0,-0.0750892635763448,0,0,0.539562628421136,0,-0.00000000000000000346944695195361,0,0,0,0.046368488835321,0.127302099563666,0,0,0,0,-0.000340215198343406
ETC,-0.226795807334189,-0.46275167607774,-0.386539910663202,0.393731688647547,0,0,0,0,0,0.0665355181021073,0.359461657323661,0.445998120422622,0,0.126485154124028,0.358100383213974,0,0,0,0,0.0821738405683038
XTZ,0,0,0.579902370083045,0,-0.042576973438715,0,0.315459814004245,0.271848754977345,0.264924109317413,0,-0.495898211628068,-0.299497263170614,0,0,0.146695167382785,0,0,0,0,-0.0893014237639815
DASH,0,0,0,-0.0857162678944844,0.231135478996212,0,0.40646941663114,1.06415028552978,-0.4434855349246,-0.279753954276485,-0.113260716789166,0,0,0.104435196491719,0,0,0,0,0,0.126165287917452
BV010082.INDEX,0,0,0.0158678974102164,-0.0271258908538348,0.026635834621296,-0.335499634469443,0.0772519035207057,-0.152114787723433,0.149584611631991,0,0.290027342374036,0,0.0106184056520967,0,0.00330273759527955,0,0.0886122197129193,0,0,-0.0526490007263233
CVIX.INDEX,0,0,0,-0.00000000000000000693889390390723,-0.0438598809506415,0,0.295116169797082,0.475757748118711,0,-0.252744452884072,-0.0891056575387577,0.123889911577765,-0.119249011882137,0,-0.0342672608350119,0.656107468333763,0,0,0,0.117060996190022
DXY.INDEX,0.0141618632274753,0.00134448324085677,0,0,0.00168998670917077,-0.0254136233071256,0,0,0.0350241884095503,-0.0177042372342476,0,0.0184826524634015,0.00558715309330543,-0.016627024739961,-0.00175525964184211,0.0924162060348518,-0.0267008008069757,0,0,-0.00290055818328207
SPX.INDEX,0,0,0,0.00855613248187368,0.00161699848329649,0,0.0153587375076422,0,0,0,0,-0.000186184730290524,0,-0.00801447455514761,0,0.072935118764264,0.0228497538885074,0,0,-0.0500592791406523
VIX.INDEX,0,0.0986216362754005,0,-0.42749409271146,0.12046637678349,0,0.1018368783887,0,0,0,-0.00000000000000000346944695195361,-0.0198046510872168,0.0895673917969574,-0.116655681720515,0,-0.0183825361128504,0.480767088632865,0,-7.74699195949904,0
