,BTC,XRP,LTC,DASH,DOGE,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.148480107149446,0.136926767476563,0.332117367947903,0,0.172843549122711,0.0291799274632943,0,0,0,0,-0.0586105290922316
XRP,0,0,0.0888123938489641,0.18859315819683,0,0.196777651538502,0.0894591402249376,0,0,0,0,0,-0.0525515890748516
LTC,0,0,0,0,0.598092656419259,0.0880616997068412,0.127771603308068,0.0904763925581523,0,0,0,0,0
DASH,0.47666832882085,0,0,0,0.458209121615286,0.0546671509955216,-0.379391189030272,0,0,0,0,0,0.0804869209469998
DOGE,0.330674634580288,0.108461633654594,0.102562726970401,0.0295994754485096,0,0,-0.0169061111154452,0,0,0,0,0,-0.0649265947719524
XLM,0.611774374714006,0.494657549381037,0.0296690294445272,0,0,0,-0.0787817501876876,-0.0555089774963486,0,0,0,0,0
XMR,0.820614245214718,0,0.280035870907766,-0.0311365300530127,0,0,0,0,0,-0.18455322508716,0,0,-0.181658992242881
DGB,0,0.514576575222567,1.14315168043328,-0.359262503201872,0.0886927880087509,0,0.249150161514303,0,2.19769145472717,0.590342139275134,-7.40106740702149,0,0.523226118958003
BV010082.INDEX,0.10573264994099,-0.113330567604872,0,0,0,0,-0.0973189393559253,0,0,0,0,0,-0.0206423852438295
CVIX.INDEX,0.167834064427652,0.0921455103296801,0.0772294379529734,0.0377736084731574,-0.78524061551217,-0.0549822021949547,0.118997952529999,0.0639867018531496,0.0620009287501763,0,1.11741872871017,0,0.0166756784017869
DXY.INDEX,0,-0.0239564848658393,0.00384181644455487,0,0.0456922868112314,-0.0135027675332116,0.0112685210471811,0,0.00865282693084616,0.101134209989087,0,0,0.0237525993713857
SPX.INDEX,0.0230937579386162,0,0.00496325802421708,0,-0.0320424397156293,-0.0138102726684147,0,0.00500177184984945,0,-0.0363882581119249,0,0,-0.10504484282985
VIX.INDEX,0,0,0,0,0.224419510269693,-0.0902508113524737,-0.171057918467316,0,0,0,0,-5.18378736981133,0
