,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.108385875089388,0.012540375833818,0,0.0921108856623172,0,0.122717140965081,0,0,0,0,0.0418456049828455,0.0657656125907194,0,0,0,0,0
ETH,0,0,0.356471501786525,0,0.0751733804994115,0,0,0.0534289952431669,0.0889398743446867,0.0440081884717252,0,0,0,0.181029461248315,0.0885647456067183,0,0,0,0,0
XRP,0,0.119056103618509,0,0,0,0,0.192931928477702,0.111001155210464,0.0167323269860506,0,0.115158637430587,0,0.183693284029817,0.0207766685109399,0,0,0,0,0,0
BCH,0,0.23617036631194,0,0,0,0,0,0.165116482668911,0.203150741910183,0,0,0,0,0.170519776454056,0,0,0,0,0,0
EOS,0,0,0,0.129023032086152,0,0,0,0.374135046534965,-0.109701623249673,0.199334125886617,0,0,0.321249392602007,-0.14286255247296,0.395751846492075,0,0,0,0,0
LTC,0,0,0.233372443992266,0.0890111894924257,0,0,0.0072704861106932,0.0276866044622134,0.0368087953579562,0,0.114188386846125,0.0134991252954725,0.043984623487078,0.101078613921627,0.0171042968881608,0,0,0,0,0
XLM,0,0.0755233067829172,0,0.0810657197505313,0.168008708897593,0,0,0.168756361678721,0.0633251251992135,0.0481362682999329,0.149462931965336,0,0,0,0,0,0,0,0,-0.0100889627869432
ADA,0,0,0.0962064694860059,0,0.119692416578307,0,0.231136928252349,0,0.175953739258681,0.126029091504831,0,0,0,0.0695913491427238,0.0649302085900657,0,0,0,0,0
MIOTA,0,0,0,0.1001357336332,0,0,0.423499476218827,0.237451851417637,0,0,0.0690440064573252,0,0,0.137297675292994,0,0,0,0,0,0.120106072625228
TRX,0,0,0,0.179300700619442,0.209840898067951,0,0.37942642773939,0,-0.0886966207507227,0,0.157699147549408,0,0,0.154946102687336,0,0,0,0,0,0
NEO,0,0,0,0.0304594625522049,0,0,0.131941414001738,0.0176829641011452,0.0889184447389122,0,0,0.0466415572755983,0,0.445482588843388,0,0,0,0,0,0
DASH,0,0,0.267642707350662,0.132062995122336,0,0,0,0,0.11448475556639,0,0.156319927566949,0,0,-0.0000000000000000138777878078145,0,0,0,0,0,-0.040385624039236
XMR,0,0,0.149259619445947,0.131232150985516,0,0,0.035608325097629,0.135229544625955,0.003748852518477,0,0,0.0225522121254155,0,0.287986179937001,0,0,0,0,0,0
XEM,0,0,0.149913621832903,0.13242355112469,0,0,0.377147900521822,0,0,0.0253197686496597,0.0813627802252006,0,0,0,0,0,0,0,0,0
BNB,0,0.331799076330848,0,0,0.0200979510668611,0.304070870665743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0978897730789145,0,0,-0.0182833521475045,0,-0.169265862341788,0,0.038724629325809,0.0583022118146035,0,0,0.088593150536052,0,-0.0321681934003361,0,0,0,0,-0.286773273070226
CVIX.INDEX,0,0,0,0,0.0583910315876232,0.115987990062079,-0.00717420621614214,-0.133268086722113,0.123742410798452,0.005542102229525,0.0613137838963438,-0.316189830778612,-0.00204131298644403,0.0695468041494287,0.0036301021541634,0.170488029332147,0,0,0,0.107695920904932
DXY.INDEX,0,0,0.0268039838871326,0.00569843527430595,0,0,-0.020696130603735,0.0103735955800683,0,0.0127198262173271,0,-0.00644244048735457,0,-0.0123093131633535,0,-0.0635048955632195,0.0125005182646025,0,0,0.0000000000000000000542101086242752
SPX.INDEX,0,-0.00196919370862875,0.0080513470939713,0,-0.0123388294467893,0,0.00229774660010076,0,-0.029745262887525,0,0.0205090641041578,0.01652795551736,0.00692558796977241,0,0.00573588081741295,0,0,0,0,-0.0814697605770146
VIX.INDEX,0,0.550622753403637,0.306113878081296,-0.129241347270571,-0.270110871016026,0,-0.172887979582024,0,0,0,0.000737973548155524,0,0,0,-0.0442214931636531,-1.49631274758905,-0.442648228729933,0,0,0
