,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0779791701120284,0.0155980133838214,0.122267004202995,0.0953746635335445,0.0588847604263576,-0.00656681828733192,0,0,-0.0074470064883577,0.212994255310755,0.220212217567663,0,-0.00627397684261322,0,0,0,0,0.0843513169434978
ETH,0.139957629193439,0,0.0360185360344677,0,0.0328093005746511,0,0,0.0140421763910807,0.0441437538572109,0.1821807412763,0,0.156190585230687,0,0.140152246074123,0,0,0,0,0,0
XRP,0,0,0,0.12424589354592,0,0.0709352779851005,0,0.0176982155032654,0,0.0968804205937647,0.117391042507821,0.237352208350618,0,0.159933287062592,0.00186601317025118,0,0,0,0,0
LTC,0,0,0,0,0.171235721711665,0.204144796063224,0,0.0186832691125687,0,0.0316140435522415,0.206109905452757,0.265642861801869,0,0,0,0,0,0,0,0
BCH,0.579453001989286,0,0,0.198047422315822,0,0.122119047949093,0,0.0747914813070256,0,0.13941171445558,0,0,0,-0.100971143028453,0,0,-0.0944689854183645,0,0,-0.00595073374652118
EOS,0.187570733674943,0.438396441039284,0,0.0972600502899606,0.209163673711621,0,0,0,0,0,0,0,0,0.0488333269789578,0,0.445832533146297,0,0,0,0
BNB,-0.407604005518186,0,-0.0607069926139423,0,0.357835581773757,-0.080414821513738,0,0,0,0.215350416224573,-0.0334775654039263,0,0.143401808723469,0.200610719823882,0.0770276283156341,0,0,0,0,-0.0502547077998498
BSV,0.422882521202363,0,-0.224870183068982,0.161492558876772,-0.300274472197567,0,0,0,-0.0373458020846384,0,0.242230609599413,0,0.566176400473788,0.186773916640594,0.0360035430608703,0,-0.509498788045966,0,0,0.0492451320848026
XLM,0,0,0.460815018335558,0,0.0204957394460918,0.0209619791919981,0,0.00743823413357987,0,0.143718788546784,0.0308430697187207,0,0.00488713645693199,0,0.0313848246698555,0,0,0,0,0
ADA,0,0,0,0.245225643968947,0.094902696483511,0.155528931789945,0,0.0215085712173366,0,0,0.0200626751097884,0.0909809305438129,0,0,0.00605783298086248,0,0,0,0,0
TRX,0,0,0,0,0,0.291704546383986,0,-0.0153777436398255,0,0.154129635617475,0,0.225550681538838,0,0.238029712229193,0.0679470408331772,0,0,0,0,0.0832547325393355
XMR,0.254246215701879,0,0,0.083803416699812,0,0,0.0950505086177357,0.0110052537949431,0,0.335978470672337,0,0,0.0187023537788239,0,0.0204738813926176,0,0,0,0,0
DASH,0.102794296259182,0.00532783162290051,0,0,0.117502301484466,0.0332964130659623,0.0409195381409637,0.00857125116160095,0.256605099892958,0,0,0,0,0.199786847952196,0.00745428597884246,0,0,0,0,0
MIOTA,0,0,0,0,0,0.156071662020887,0.215857918939954,0.0499035851344016,0.0343653764118016,0.0652175168402791,0,0.378050074504492,0,0,0,0,0,0,0,-0.0492119185452732
ATOM,-0.534312240591975,-0.0540753753743051,0,0,0.00000000000000000693889390390723,0.37286042000364,0.298199865626769,0.0966661448954825,0.791806078787185,-0.0712978740022655,0,0.466176354930525,0,-0.535832703219658,0,0,0,0,0,0.035636667607752
BV010082.INDEX,0.0819170337961327,0,0,-0.16082658060261,-0.0288933522857451,0.122185760858991,0.0262577245028477,0,-0.186148863013491,0.175385900714968,-0.299722385909949,0,0.211136857109555,0.097490653047123,0.0855727105578262,0,0,0,0,-0.06051390677196
CVIX.INDEX,0,0,0,0,-0.120487355922559,0,0,0.00944996122602494,0,-0.238114701131269,0.178975860122677,0,0.305245343837143,-0.0994850794275651,-0.108309054023461,0,0,0,0,0.0270917955761686
DXY.INDEX,0,0.0328562462508533,0,-0.0242860716825425,0.00489528029984582,0.0201772112784653,0,-0.000913698768080844,-0.0253244082771024,0,-0.00873955761280174,-0.00312880833332339,0,0.00738307825669352,0,0.0467171435530751,0,0,0,0.012504754471208
SPX.INDEX,0,0,-0.02191039966054,0,0,0,0,-0.0040515649196665,0,-0.00198547406651599,0,0,0,0,-0.0139122283996578,0.0209007924255342,0,0,0,-0.0584484139793537
VIX.INDEX,0,-0.0539199496460145,0,0,0,0,-0.0557163330280216,0.0879441499479762,-0.597212908935114,0,0.29260772357709,-0.182702121181125,0.476326994771777,0,0.11668835890699,-0.276729415765355,0.318418783106479,0,-4.20508771824498,0
