,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.127986123133022,0.0532159873162165,0,0.103654390790377,0.0474129805851034,0,0.125438442116078,0,0,0.0427508500117572,0,0,0,0,0,0
ETH,0,0,0,0.0561492583738025,0.25557020427949,0,0.00900809654381485,0.179107121937234,0.0141898439297566,0.0897359978231572,0,0,0.00145033053207767,0.0576042486920678,0.0301820838245621,0,0,0,0,0
XRP,0,0,0,0.0536446554566917,0.0457948242434411,0,0.00433239430612164,0.109277850601862,0,0,0,0,0,0,0.221817032806795,0,0,0,0,0
BCH,0,0,0,0,0,0,0.48727096194525,0,-0.0926864261413319,0,0.344305126443337,0.358739882054497,0.0283677245648456,0,-0.501853857911703,0,0,0,0,-0.196575768481169
LTC,0,0,0.0669499522506624,0,0,0,0,0,0.0199496275742743,0,0.77150074915362,0,0,0,-0.00000000000000000173472347597681,0,0,0,0,0
DASH,0.0962345803371756,0,0,0.0630806984296064,0,0,0.0935465321458887,0.0613162684815288,0,0,0.107413296478394,0,0,0.184250927016383,0.0982434482892629,0,0,0,0,0
XEM,0,0,0,0.0754280901142914,0.159045294655838,0.215279138725173,0,0.0789773835743573,0.13911927607863,0,0,0,0,0.000000000000000000433680868994202,0.197084542569823,0,0,0,0,0
MIOTA,0,0.0935615131511549,0,-0.0924526108728008,0,0.0315332465130857,0,0,0,0.0582332976212721,0,0.391909448942243,0.312169949536908,0,0,0,0,0,0,-0.0186275598609545
NEO,0,0,0.0644308270647602,0,0.279598624753572,0,0.282844094230012,0.217405534041449,0,0.0632542475963912,0,0,0.085505449372701,0,0,0,0,0,0,-0.319712112543796
XMR,0,0,0,0.081307291889455,0,0,0,0.0428935133390278,0.0755848198165582,0,0.0588940777753777,0.0352667764709503,0,0,0.407649637804471,0,0,0,0,0
ETC,0,0,0,0.0244392548585917,0.595210005801905,0.0790685322932401,0.00835605972315071,0.120391438916034,0,0,0,0.0371566558059198,0,0.00882048020674867,0,0,0,0,0,0
ZEC,0,0.0558915968413019,0,0.0117670352048451,-0.00000000000000000173472347597681,0.105678922882875,0.190058457223979,0.211014799585515,-0.0388066112309416,0,0,0,0,0.030562088947883,0.144376209164623,0,0,0,0,0
EOS,0,0,0,0.0398770932886766,0.399044340158117,0,0,0.225164724747842,0.187350791977551,0.172102831431226,0,0.0667491444414646,0,0.0384856103238147,0.149862563919018,0,0,0,0,0
BAT,0,0,0,-0.0568241999180027,0,0,0.179626663387404,0.0465019923028339,0.106855896861168,0,0,0.238668778371225,0,0,0.235019557445915,0,0,0,0,-0.135256520376858
XLM,0,0,0,0,0,0,0.244346089572803,0.00309120572398801,0,0.241044950205592,0.168505573241374,0,0,0.112542362104173,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,-0.0160139823771451,-0.0172981357387412,0,0,0.027974644466778,0.0127723021243326,0.0257277759676688,0,0,0,0,0,-0.0475255527773394
CVIX.INDEX,0,0,0.0873895482930282,-0.0127112065454684,0,-0.020202425620743,0.0400286832214344,0.00337470584822734,0,0,0,-0.0675045297361785,-0.058832106766833,0.0403360757240595,0,0,0,0,0,0.0826770614089231
DXY.INDEX,0,-0.0119718552645031,-0.00114772374483827,0.0000000000000000000542101086242752,0.00707460229810253,-0.01708985889133,0,0,0.00708898918340483,0,0,0,0.0127165086737661,-0.00305699571442153,0,0,-0.0382409491602998,0,0,-0.00170625110794784
SPX.INDEX,0,0,0,0,0,-0.00873598307113412,0,0,-0.0000038722981298542,-0.00395534312992321,0,0,0,0.00695788145466233,0,0,0,0,0,-0.0463006208351551
VIX.INDEX,0,0.137175613950016,-0.109823186368224,0,0,-0.244830183377279,0.090136272159749,0.045742121134077,0,0,-0.0775793992229108,0.0894166427589508,-0.277465275696939,0.152960253519879,0.10283963754328,0,0.674518729604105,0,0,0
