,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DOGE,DGB,XLM,ZEC,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0259512675252694,0,0,0.102449435593254,0,0.144082463895617,0.00407117251187054,0.0273876491588738,0,0,0,0.00000000000000000173472347597681,0,0,0,0,0
ETH,0,0,-0.00795840281326763,0,0.132148905881935,0.110105339095106,0.103335363910632,0.0788348934492334,0.0711051186723263,0.00183633657498367,-0.0558168185605258,-0.136545822055043,0,0,0,0,0,0,0
XRP,0,-0.227125663158693,0,0.00918097304264808,-0.298386867116048,-0.0166470124934189,0.46070936466175,0.146632261102345,0,-0.00659866713217133,0.308409603721687,0,0.21773018881571,0,0,0,0,0,0
XEM,0,-0.108484058094236,0.0146443809307814,0,-0.45641459879459,0.109688038583521,0,0.149730773820067,0.102630784881782,-0.0182635084935895,0.0128864832487932,0,0,0.404551223611352,0,0,0,0,0
ETC,-0.1323819553419,0.189784029798535,-0.197648188878436,0.0502252502493879,0,0,0.142100958955843,0,0,-0.045974018914548,0.0227310398346556,0.0194950496414202,0,0.233046675543687,0,0,0,0,0.0587875588286016
LTC,0.483176268138289,-0.0271393783129796,0,0.122482902949754,0,0,0.158263228696953,0.148334990764424,0.119736852021992,0,0,-0.0916801419096825,0,0.221161743644171,0,0,0,0,0.0250096486930422
DASH,0,0,0.105930603165392,0.00210815347837866,0.20463777294731,0.169810800456835,0,0.247055348297843,0,0,0.0802851930556335,0.0921723024069959,0,-0.0309135301750011,0,0,0,0,0
XMR,0.0644577127740228,0.298083240835845,0,0.189971966952464,-0.261831517971817,0,0.335340896713502,0,0,0,0.060247534149813,0.0374830420028449,0,-0.0884651167292485,0,0,0,0,0
DOGE,0,0.0831937296241508,-0.129425470675412,0,0,0.26105488895595,0,-0.00896998860042048,0,0.02874978469721,0.324161891920848,0.27417213786425,0,0.122292130240931,0,0,0,0,0.454311646232513
DGB,0.346793049766337,0,0.40681583573077,-0.0825735683349047,-0.423787425302111,0.00303651400960232,-0.229981532254186,0.0000000000000000277555756156289,0.544473026274237,0,-0.141568039766505,-0.20285658177871,0,0.262190109000341,0,0,0,0,0
XLM,0,-0.144449704034501,0.448424518530794,0.0540410663964661,0.3046983058641,-0.31727941694497,0,0.453247442235284,0.163447485708645,0.0989167629511434,0,-0.183302173436114,0,0.0373015022389532,0,0,0,0,0
ZEC,0,0,0.0648198608762035,0.0357864354410792,0,-0.000000000000000000867361737988404,0,0.0709191589733717,0.213696762607383,0.00992314192555294,-0.0622044955792024,0,0,0.0853899337102095,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0750646922524435,0.145589282981039,0.418795655949653,-0.00000000000000000173472347597681,0.115637383559972,0,0.124048651583345,-0.0428941547254154,0.361061098729745,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00527209826172247,0.0129056864450172,0,-0.0242568906613382,0,0,0.00939730012590837,0.0179722733089062,0,0,0.00833664389309346,0,0,0,0,-0.0489425465411844
CVIX.INDEX,0,0.00000000000000000173472347597681,0,0,0,-0.0340076150165717,0,0.0537636603650039,0,0.0335397019712127,-0.000253759795217702,0.0500371088432964,0.0384402662829928,0,0,0,0,0,0.146227571885439
DXY.INDEX,0,0.00244452874327248,0.0000481759081416258,-0.0148722445427369,0.0203963746732649,-0.00394754315572457,0,0,-0.00761574028570522,-0.0027953884019551,0.007499114848985,0.00169715891372532,0,-0.00306506184592796,0,-0.00350907095688976,0,0,0.0125662428703615
SPX.INDEX,0,0.00561141752655621,0.00108476406429143,-0.00789887310919463,0,0,-0.00463933645348536,0.00452809779285162,0,0.0043171666528722,0.00370491402404596,-0.00560366016506944,0,0,0.0133722131014262,0,0,0,-0.0288827544466075
VIX.INDEX,0,-0.0940196432675236,0.0194269815887841,-0.0426659462354678,0.04686468810218,-0.0541144211682974,0.237262967750112,-0.131943117937151,0.0693125706793574,-0.0992296774270451,0.0404935362967677,0,0,-0.0249721463838636,-1.02303234482133,0,0,0,0
