,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,ADA,TRX,XLM,XMR,LEO,DASH,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.339802900674414,0,0,-0.0206500640805652,0,-0.0635564042678175,-0.0315504381846392,0.486963635126551,0.00717915314166133,0,-0.0570863514063985,0,0,0,0,0.074585061363329
ETH,0.30598285995964,0,0,0,0.0670794287027589,0,0,0.0302531830981871,0.252621879515129,0,0,0.179723482061117,0,0,0,0,0,0,0,0
XRP,0.171094134925669,0,0,0.0391824860398559,0,0.246073778720592,0,0.0260270532802431,0,0.201760423568908,0.0388815163934208,0.169263204041522,0,0,0.00173420643543489,0,0,0,0,0.0212688566673956
LTC,0,0,0.000000000000000000867361737988404,0,0,0.219134543317822,0,0.0128995355742788,0.075703204626957,0.110300562677461,0,0.304062048105396,0,0,-0.0120447951771928,-0.0169726152994355,0,0,0,0.0242335679157063
BCH,0.692450757179584,0,-0.0278072623285114,0.145955980684957,0,0.0165275649415274,0,0.0406469318225663,0.142115549384321,0,0,0.00534931964820318,0,0,0,0,0,0,0,-0.0162717501922191
EOS,0,0.337380320317571,0,0.146834325015549,0.388149512649084,0,0,0,0,0,0.0278957415685774,0,0.0603931768787555,0,0,0.219619690305301,0,0,0,0
BNB,-0.586629494735917,-0.0363523165157263,0,0.115372123011431,0.106039184066627,0,0,-0.0112521997787691,0.0147675057281211,0,0.328390848725137,0,0,0.433045503558439,0.0469305067426644,0,0,0,0,-0.139830657463375
BSV,0.560098717954872,-0.0736287873309809,-0.0205774073815371,0,0,0,0,0,0,0.329009225451827,0,0,0,0,0,0.446993482528005,-0.284118839973767,0,0,0.0963109183254664
ADA,0,0.268424216250776,0.171428406697198,0.158517691681807,0.0524726417055533,0,0,0,0,0.24229883434418,0,0.0758966091997642,0,0.0697258729055987,0.0489182475399952,0,0,0,0,-0.0165285961884483
TRX,0,0,0,0,0,0.292421711806876,0,-0.0162446226046446,0.336851588762674,0,0,0.250123518971608,0,0,0,0,0,0,0,0.200096535468921
XLM,0,0,0.398475696233977,0,0.0689977977383997,0,0,0.00478248976808325,0.241227425131963,0,0,0,0,0,0.0408719359283307,0,0,0,0,0
XMR,0.153858204492297,0,0,0.090102802014947,0,0,0,0.00840602283011338,0.26991586981152,0,0,0,0,0.247585867683792,0.0150118835990424,0,0,0,0,0
LEO,0,0,0.113639871896051,0,0.00385749630531014,0,0.208520605689439,0.0205116814145421,0,-0.322411740203246,0.207548277459099,0,0,0,-0.167909446247549,0,0,0,0,0
DASH,0.126983167861223,0.0691107732470933,0,0,0.172105924130965,0.0698330964334673,0.073045098018599,0,0.125435847151651,0.00427002387912459,-0.00000000000000000173472347597681,0.117352172064867,0,0,0.124953135909239,0,0,0,0,0.0132165096033228
ATOM,0,0,0.0607555829056424,0.16910855805394,0.132462595001892,0.115662795233675,0.587719673794671,0.0274858607478051,-0.507321837484097,0,0.569860642817556,0.0447975192580904,0,0,0,0,0,0,0,0.0208602340154147
BV010082.INDEX,0,0,0,0,0,0.137759838531144,0,0.0409745502351906,0,-0.167813870613736,0,0,0,0.0830947285262316,0.151341244453477,0,0,0,0,-0.080026652711088
CVIX.INDEX,0,0,0.268368836869207,0,-0.0580820163278866,-0.0215079109461448,0,-0.00500960496061254,-0.282213903233877,0.0863621113835701,0,0,0,0.0396460236804426,0,0,0,0,0,0.0596361143909657
DXY.INDEX,-0.00236558167189531,0,0,-0.000443774843475951,-0.0199270442389927,0.0253528269372235,0.00357258176652399,0,0.0208926645123871,-0.0278510036581034,0,-0.0209490417458543,-0.0173841806225543,0,0,0.041638722361065,0,0,-0.0924207132904926,0
SPX.INDEX,0,0,-0.0069605554802891,0,0,0,0,-0.00187840488640907,0,-0.0292587526008293,0,0,0.0171045635257845,0,-0.0122774515271568,0,0,0,0,-0.0623294202410952
VIX.INDEX,0,0,1.02400419545136,0,-0.320123921885843,0,-0.209312393688338,0.0233248539917607,0,0.0469351341395242,-0.610902451163941,-0.496528048751204,-0.126985233875525,0.365310311264135,0,-0.280274330524632,0.20331934720728,0,-2.49569251419292,0
