,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0107500400369449,-0.0299427475273465,0.775700751934776,0.083371157299075,-0.0212728494194985,0.0070744336391649,0.0125744662379617,0,0.00378195108386049,0,0,0,0,0.00530223009181001
ETH,-0.842838937863637,0,0.443394171527411,0,0,0.0485276746959776,0.312933302777055,-0.684866538766204,0.162513489460954,0,0,1.4016263978063,0,0,0.208482992868035
XRP,0.152397379445941,0.0240855642676701,0,0,0.0493009435088216,0.0479803570610648,0.0552649442281937,0,0,0.039553594721589,0,0,0,0,0
LTC,0.634087610299734,0.00041324022775731,0.102483590684367,0,-0.0078535706035047,0.0235009086190835,0,0.0224383919805966,0.022224829647197,-0.00412608889620204,0,0,0,0,-0.0436054458437556
DASH,1.01070582580911,-0.137348130318623,0.389679686793274,0,0,0.000988756992455902,0.0000672814776072735,-0.39333073143613,0,0.0236734528561643,0.375550821538943,-0.587848136948198,-0.439424399158429,0,0.418070601970206
DOGE,0,0.27572221728683,0,1.34249292566044,0.198744252364617,0,0.0388692935809259,0.626130130062538,0.0456112342275447,-0.12076337675589,0,0,0,0,0.254984287084643
XMR,0,0.289474453099419,0,0,0.158687477832359,-0.151814904697779,0,0.855478007047123,-0.327757095518974,0.166849560104484,0,0,0,0,-0.195732230066545
XLM,0,-0.102306257943784,0.395480896080989,0.141353594145677,-0.491556616010474,0.263081888777479,0.0987729144558337,0,0.160446613392693,0,-0.29968097044098,0.228763814566216,-0.613571240537292,0,0.320665422187183
XEM,-1.6376130155108,0.123572676460888,0,2.26144255251244,0.0559520399886196,-0.128676900145177,0.0472520025887238,0.0255147912149944,0,0.132256630425178,0.752156137422294,0,0,0,-0.379470418958736
DGB,0,0.229065413114151,0.307447510500226,0.316420941070149,0.59796951364946,0.00028134712262616,-0.0373593805939246,0.942137596346146,0,0,-1.48477000837533,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0708842110428163,0.0278220064692193,0,0,0.0121661608414785,-0.134267863979449,0,0,0,0,-0.0902790749724907
CVIX.INDEX,0,0.0257680253468474,-0.19402287556246,-0.0864677646099588,0.034646598155698,0.000000000000000000216840434497101,0.0429281670020231,0.0582424378535408,-0.0327157608177038,0,0.107787378988709,0,0,0,0.139427443396488
DXY.INDEX,-0.141862066718187,0.00508588543690254,-0.0631367070848724,0.128389398826949,-0.0194411251306786,0.0137772054043878,0.013442410342831,-0.0220895630771012,0.0101343537799657,0.0143043288383746,0.0863666477119404,0,0,0,0.0189890057192938
SPX.INDEX,0,0.0102300703459782,-0.0548067303959857,0,0,0,0,0.0331522873421969,0,-0.00521558429233469,0,-0.0176067006924814,0,0,-0.124950138877714
VIX.INDEX,0,-0.111330706605083,0,-0.12750339695722,0.233451071780635,0,-0.0489297996319884,0.121001125748236,0,-0.0967612050851502,0,0,0,-3.69023966799257,0
