,BTC,ETH,XRP,BCH,LTC,DASH,XEM,MIOTA,NEO,XMR,ETC,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.153217405937026,0.0560548449349893,0.0423411374678877,0.112311739607078,0.0481386571541693,0,0.116726148503496,0,0,0.0373375839896513,0,0,0,0,0,0
ETH,0,0,0,0.02829876180204,0.195633069502423,0,0.0181510549119585,0.131747053077343,0.029572652447615,0.11892137370036,0,0,0.0166787954954759,0.0977991121433739,0.0260746893148474,0,0,0,0,0
XRP,0,0,0,0.0555452240706466,0.0586199714391171,0,0.00425406391404709,0.109405759677078,0,0,0,0,0,0,0.214037981438118,0,0,0,0,0
BCH,0,0,0.441757708190451,0,0,0,0.731554356649503,0,-0.142917167777102,0,0.346203314273817,0.602940434969797,0,0,-1.03567321496739,0,0,0,0,0
LTC,0,0,0.0669499522506622,0,0,0,0,0,0.0199496275742742,0,0.77150074915362,0,0,0,0,0,0,0,0,0
DASH,0.106795668877074,0,0,0.0713979014796065,0,0,0.08019818601972,0.0617400778459296,0.000000000000000000216840434497101,0,0.140954827412717,0,0,0.154857067761013,0.0744874660542356,0,0,0,0,0
XEM,0,0.168173336005621,0,0.0659086320542559,0.180409829002257,0.241663933059071,0,0.0196744228934808,0.125622521509146,0,0,0,0,0,0.0745139891020013,0,0,0,0,0
MIOTA,0,0.0950579266508652,0,-0.0855150980825499,0,0,0,0,0,0.0555846862459633,0,0.38353938307532,0.32511456742342,0,0,0,0,0,0,-0.0326572768044948
NEO,0,0,0,0.0473965509752362,0.145090512305122,0,0.462890987621667,0.0909492376826151,0,0.181852797506164,0,0,0.175127135721503,0,0,0,0,0,0,-0.159507776405908
XMR,0,0,0,0.101253770157987,0.042687793392994,0,0.0405165372047191,0.00163794074108049,0.0941368716953026,0,0,0.261943435840513,0,0,0.279710245647216,0,0,0,0,0
ETC,0,0,0,0,0.625398104284681,0.117775914932744,0.128459062136886,0.0618482113158089,0,0,0,0.0139571223008048,0,0,0,0,0,0,0,0
ZEC,0,0.298679840278231,0,0,0,0.306884871482677,0,0.0967019856723587,-0.0262077099221199,0,0,0,0.187517804488467,0,0.149159691327994,0,0,0,0,0.0674644923293444
EOS,0,0,0,0.0335321802835628,0.218182564801726,0,0,0.145718792315874,0.160781229273712,0,0,0.194035051704897,0,0.0412994654396823,0.245039407277831,0,0,0,0,0
BAT,0,0,0,-0.0585813412578374,0,0,0.188997717817874,0.0458054566483625,0.0900300204267569,0,0,0.252969356822382,0,0,0.22319968788109,0,0,0,0,-0.0901891732037214
XLM,0,0,0,0,0,0,0.244346089572803,0.003091205723988,0,0.241044950205592,0.168505573241374,0,0,0.112542362104173,0,0,0,0,0,0
BV010082.INDEX,0.0114412455904089,0.00512697194346651,0,0.0072480711587763,0,-0.0871867839843649,0.0212054402486832,-0.00922477573799591,-0.0232613282567343,0,-0.0100996894236723,0.0432567737975875,0.0325849762026308,0.0350287913214003,0,0,0,0,0,-0.0798203982347013
CVIX.INDEX,0,-0.0459994814385446,0.0502712552502419,0,0.066194513682285,0,0.00508405738359203,0.047256794657276,0.0138908752262411,0.0251775646676085,0,-0.105961563420066,-0.092636107662298,0.0438794229917276,0,0,0,0,0,0.0568259523246163
DXY.INDEX,0.00545601354208543,-0.0222924527551967,-0.000775910557545863,0.00213926488227011,0,-0.0109881139769227,0,0.00367028765276446,0.00406194299916882,0,0,0,0.0231088805223356,0,0,0,0,0,0,-0.00437176740365704
SPX.INDEX,0.000764794262647255,0,0,-0.00000133231916396814,0,-0.0107727266838737,0,0,-0.000605468546412711,-0.00368335706441418,0,0,0,0.00863100532324948,0,0,0,0,0,-0.04755626329674
VIX.INDEX,0,0.0843509593580965,-0.0674331269707635,0,0,-0.385733872648316,0.136563483102465,0.0622362949796636,0,0,-0.0755493023571627,0.28379721954067,-0.27664871432094,0.031142546514592,0.105769980605398,0,0.6377910659484,0,0,0
