,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,ETC,NEO,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0529586684086875,0,0.288355397395152,0,0.0193370495956584,0.127746220535422,0,0,0.0777549352409155,0.0807521233665509,0,0,0,0.0572534582882264,0,0,0,0,0.0196892829603565
ETH,0,0,0,0.263123880884128,0.0991958074551249,0,0.224589526413879,0,0,0.0369244048170511,0.0215057094289923,0.0680703506770747,0.114768560511633,0,0,0,0,0,0,0.0393183542187024
XRP,0,0.0697432725197235,0,0,0.0696644906904452,0,0,0,0.138620011691147,0.11873679857121,0,0.0421661629489882,0.115523191126716,0,0.0945396928379791,0,0,0,0,0
BCH,0,0,0,0,0.147485528038504,0,0,0.067728501954356,0.0628069342113727,0.300885180996906,0.184487393321815,0.0495818525921543,0.0467902990235526,0,0,0,0,0,0,0
EOS,0.265181600795414,0,0,0.226205998679746,0,0.0776893182225863,0.158072093510982,0.356524683127678,0.100052886283437,0.122425586937833,0,0.0655133110037118,0,0,0,0,0,0,0,0.103319609645805
XLM,0.0602661293894518,0,0,0,0,0,0,0.258380827842468,0.0151504736244108,0.129071672542748,0.202869357282304,0,0.161728471929686,0.31936577695899,0,0,0,0,0,0
LTC,0.10155567400315,0,0,0.470036493588105,0,0,0,0,0.026213550790741,0.00544848445060447,0,0.138524119288902,0,0,0.209622349612175,0,0,0,0,0.0372745958515067
ADA,0,0,0,0.0545852957812418,0.0364999814227377,0.267228513467428,0,0,0,0.201160470050836,0,0.00218859430612489,0.0765756218655045,0,0.186348861171427,0,0,0,0,0
MIOTA,0,0,0.0879223228771095,0.205452231290555,0,0.14211685882499,0.159764785500723,-0.182957795783675,0,0.123231047187522,0,0.0159793104136538,0.624333400627653,0,0,0,0,0,0,0.0835972461480538
TRX,0,0,0,0.0536397077030754,0.459366930841567,0.0938853695284765,0,0.0367041751730025,0,0,0,0,0.12590974348834,0,0,0,0,0,0,0
XMR,0,0.221203768916626,0,0.0130013081749207,0,0,0.182294431977885,0.167850494677022,0,0,0,0,0.171860710602518,0,0.161814659532184,0,0,0,0,0
ETC,0.0997326192149403,0.37946912926745,0.202043774241608,0,0.133120092437987,0,0,0,0.352048224963847,0,-0.139364176106963,0,-0.109526462257292,0,0.0790571865552597,0,0.644329804724703,0,0,-0.1620577852078
NEO,0,0,0,0,0.0419477357527204,-0.052398654781305,0,0,0.432122768523966,0.262466751097656,0.045311137675607,-0.07149025368575,0,0.0479186783411853,0.351309088441728,0,0,0,0,0.113647014190558
DASH,0,0,0,0,0,0,0,0.290828716479799,0,0,0.0260158590677301,0.11625158479651,0.124716820338466,0,0.0572874823265731,0,0,0,0,0
XEM,0,0.121420944807341,0,0,0,0.343995369636493,0,0,0.00000000000000000693889390390723,0,0,0.13926436872357,0.135889007561388,0.216336973403909,0,0,0,0,0,0.0441819088154602
BV010082.INDEX,0,0,0,0.030151721278444,0,0,0,0.0233281071575622,-0.039481464324651,0,0.0301417083686663,0,0.0313511046520836,-0.0682209232618034,0,0,-0.2694199094689,0,0,-0.0127172826203755
CVIX.INDEX,0,0,0,0,0,0.0250533208078563,0.0940421047859752,0,0,0,0.114768103782418,0.113341225093818,0.098157118320429,-0.289757410198005,-0.0216162665271616,-0.572334925806105,0,0.562890356911966,0,0.100166659528662
DXY.INDEX,0,-0.00364149471305591,0,-0.0400660695737627,0,0,0,0,-0.0178038572826919,0.0177557491634774,0.0316549750383087,0.0244518824208144,0,0,0,0,0.0755382546105317,0,0,0.00257685935958279
SPX.INDEX,0,0,0,0,0,0,0,0,-0.0147486046600848,0,0,0,0,0,0.00676587646486934,0,0,0,0,-0.062797250724208
VIX.INDEX,0.216557873407842,0.0573970494983786,-0.876438918810783,0,0,-0.250368832420403,0,0,0,0,-0.146365155095658,0.0562471639356624,0.152066901534332,0,0.3556935178958,0,0.16164197227889,0,-2.83334256540879,0
