,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,TRX,XLM,ADA,MIN,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0545422371906508,0,0.154590385411422,0,0.180458499868494,0,0.0687092231574983,0,0,0,-0.00131171155571026,0,0.250829580090243,0,0,0,0,0
ETH,0,0,0,0.0214451723133203,0.425066767453638,0,0.345632931316592,0,0,0,0.0115588515065908,0.0288631873745753,0.00382222434562306,0,0.0663932472462446,0,0,0,0,0
XRP,0,0,0,0.270707891430787,0,0,0.0797785662426991,0,-0.00000000000000000346944695195361,0.0229914079704194,0.197049804620423,0.118652826320071,-0.0178526158535704,0,0,0,0,0,0,0
BCH,0,0,0.206649644904203,0,0.00000000000000000173472347597681,0,0.378063917683284,0.100597480602283,0,0.257711751132721,0,0,0,0,0,0,0,0,0,0
LTC,0.0770100667618329,0.127605026951228,0.0494578125092454,0,0,0.459737627704597,0,0.125641059614954,0.00214988880599536,0,0,0.0468182936692996,0.00111163813235524,0,0,0,0,0,0,0
EOS,0,0.159801796288039,0,0,0.63955442080485,0,0.00000000000000000693889390390723,0.0790412801945116,0,0.0490462519009035,0.039815149869735,0.0354599464433167,-0.00123263592875038,0,0,0,0,0,0,0
BNB,0,0,0.0941558878271755,0.206685242289528,0.197440820527204,0.137438626911796,0,0,0.0285388469778787,0.0172823432632237,0,0.0826188323855921,0.00197178197972513,0,0.0897962289569596,0,0,0,0,-0.0538817479480648
BSV,0,0,0,0.486205132080247,0,0.161875363846251,0,0,0.0517386290981218,0.0894542154965251,0,0,-0.00973788827282978,0,0,0,0,0,0,-0.0794946574051457
XTZ,0.0410152696569853,0,0.198918276153835,0,0,0,0.291708431357859,0,0,-0.210665841481401,-0.0106016534809053,0.529219977622299,0.0205646256428354,0,0,0,0,0,0,-0.00384026452294644
TRX,-0.474995113143236,0,0,0.508554421269467,0,0,0,0,-0.0872760100244154,0,0.0787077356930583,0.603389635419135,0.0241101167838822,0,0.263138848802355,0,-0.0443229600721478,0,0,-0.184156162037962
XLM,0,0,0.415789586370931,0,0,0,0.0765103072994431,0,0,0.070746269216257,0,0.246793288630772,-0.0104351342451812,0,0,0,0.0230904325494413,0,0,-0.109264761054029
ADA,0,0.113019028123861,0,0,0.174388644182504,0.125457198775654,0.0100566286195578,0.0665252635528623,0.0312909852954669,0.0647335049674714,0.197569316783841,0,0.0139673295950776,0,0,0,0,0,0,0
MIN,4.1045321130578,0,0,-1.42951270376358,0,0,-5.05181461520869,0,0.705016347373064,2.40573793079036,1.25952732359094,0,0,-5.70035680076593,0,5.85278774681786,-2.14098033237848,0,0,1.70220082723652
LEO,0.359418173577132,0,0,0,0.107068952281183,-0.346605498794672,0,-0.052468661327207,0.0910028443547019,0,0.145651308314107,0.0996400373351287,0,0,-0.0659605800899846,0,0,0,0,0.0569303262262806
XMR,0,0,0.0427494494322311,0.388238365353243,0,0.243159607004958,0,0,0.0939256014998836,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.174015732599935,0.192325295724861,0,0,0,-0.102990910676776,0.0386392964529932,0.195425373849708,-0.306248586077428,0,0.00461702679363546,-0.115589971329833,-0.20872880177704,0,0,0,0,-0.052203823279917
CVIX.INDEX,0,0,-0.168570066286417,0.0725258016775566,0,-0.0209392500278313,-0.0961708558014493,0.143674424163733,0,-0.100114542888331,0,-0.245390794464723,0.0110665252553918,0.218243532912731,0.337814321021777,0,0,0,0,0.0577986190156685
DXY.INDEX,0,0,0,0,0,0,0,0.014729343608517,-0.0114141853691268,0,0,-0.00987037832109086,-0.000114019005464068,-0.0107567869753994,0,0.0202257712543907,0.0123010899147846,0,0,0.000363674262733544
SPX.INDEX,0,0.0171471302809349,0,0,0,0.00511383931084286,0,-0.00770397910516705,-0.00372431253525562,-0.000000000000000000433680868994202,0.00613526662308777,0,-0.00110720105767299,0,0.00563226890865916,0.0897870673199127,0,0,0,-0.0410884775702281
VIX.INDEX,-0.0528018993291207,0,0,0,-0.210941665946941,0,0,-0.174988360411619,0,0.107171407810656,0,0,-0.0172267817267845,-0.500081961663973,0,0,0,0,-2.34755308726538,0
