,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XMR,XLM,TRX,HT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0820372118228053,0,0.076784072249855,0.120817988105528,0,0,0.0234280144960327,0,0.0558117854398653,0,0,0,0,0,0,0,-0.00524772827031154
ETH,0,0,0.0946956126308565,0,0,0.140568561288605,0.232798490558122,0.0104753366023856,0.00730200637173301,0,0,0,0,0.116675721654828,0,0,0,0,0,-0.0858344638932597
XRP,0,0.0361705015918415,0,0.133229529476021,0.0296265458987804,0.0957783907874927,0.0227142802491938,0,0.0381264457018632,0,0,0.0315244256797483,0,0.188968804612181,0,0,0,0,0,-0.0410173768759905
BCH,0,0,0,0,0.251734832888532,0.189181794873893,0.0449202739029269,0.115742691630982,0,0,0,0.129943072523522,0,0.0773096712007134,0,0,0,0,0,0
BSV,0,0.292829234947551,0,0.752435522489394,0,0,0.834637335522776,0,0,0,0,-0.135569993722506,-1.26618365980209,0,0,0.45206076119957,0.750544691921428,0,0,-0.169108673283563
LTC,0,0.186383860680055,0,0.155330522751955,0.0179495781080273,0,0.239477509360655,0,0,0,0.13202911321723,0.0100542366191483,0,0.234585079904979,0,0,0,0,0,0
EOS,0,0,0,0.0624954030986305,0.140036819502883,0.0777166112624395,0,0.368823516218984,-0.0488508767811346,0,0.0513306188082026,0.299651606596613,0,0.138243015164635,0,0,0,0,0,0
BNB,0,0.155009081200426,0,0.227633497352318,0,0,0,0,0.0848187641670027,0,0.0673501997430968,0.119927373733121,0,0,0.111430396105279,0,0,0,0,0
XTZ,0,0,0,0,-0.0014437525911799,0,0,0,0,0.374022562804079,-0.0991380693226467,0,0,0.368618429407472,0.21243272525751,0,0,0,0,-0.0239315575422321
LINK,0,0,0,0,0.0489567901794641,0,0,0.110727349597929,0.169045034808131,0,0,0.0667430324931341,0,0.299269850320408,0.0248460257967397,0,0,0,0,-0.080789493930719
ADA,0,0.0807624474953137,0,0,0,0,0.32595458321625,0,0,0,0,0.222864858782073,0,0.26632374961386,0,0,0,0,0,0
XMR,0,0,0,-0.000000000000000000867361737988404,0,0,0.0526528210458604,0,0.0137152970556013,0.0263085869786039,0.387143005600265,0,0.0588348042035727,0.22953509876925,0.035903380251432,0,0,0,0,0
XLM,0,0.0457382295801119,0,0.124057680954453,0,0,0,0,0,0,0,0.0398216750124847,0,0.300835869356022,0,0,0,0,0,-0.0136231625201121
TRX,0,0.126116424279703,0.254266893924727,0.0558358990003966,0.00990109713876154,0.190829955033899,0.119560426854393,0,0.0495047307247786,-0.0342238307466411,0.243616496966756,0,0,0,0,0,0,0,0,0
HT,0,0,0,0.0994792061475489,0,0,-0.0541484421794493,0.0537781969992428,0.174263419557147,0,0,0,0.164517653466674,0.0438668269569675,0,0,0,0,0,-0.0573260717621253
BV010082.INDEX,0,0,0,0,0,-0.0556542883948114,0,0,0.0897633706201786,-0.110790117127296,0.0638499148971003,0,0.0550923819133692,0,0,0,-0.122154523607777,0,0,-0.120588635134721
CVIX.INDEX,0,-0.0484691583487599,0,0,0.0706721230169269,0,-0.151850727321264,0,-0.0393527559455794,-0.177803772833028,0.431665517647226,0.226412041452157,-0.0201559759021464,-0.408674468038831,0,0,0,0,0,0.00584056377030301
DXY.INDEX,0,0,0,0.00119200113160983,0,-0.025769605402136,0.00418340161531609,0.00772625201795981,0,-0.00000000000000000010842021724855,0,0,0.00156149923514731,0.024046294213446,0,0,0,0,0,-0.0152281027686137
SPX.INDEX,0,0.0117278084186821,0,0,0.00289031208104353,0,0,0,0,-0.0123716609313701,0,0,0,0.0349526762587038,0,0,0,0,0,-0.0842356069898391
VIX.INDEX,0,0,-0.210937733512073,-0.428608878684571,0.0665986731701661,0,0,0.176482714905166,0.233055515103601,-0.0247631727973616,0.324333157637398,-0.0573291766690604,-0.256946600681672,0.582202485489195,-0.52253759754441,-0.364229975217815,0,0,-5.13766093078661,0
