,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XEM,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.274239119790955,0,0.0676262009732553,0,0,0,0,-0.000000000000000000433680868994202,0.0303549047702293,0,0.119247185335861,0,0,0,0,0
ETH,0,0,0.0199823137103547,0,0.15866002649407,0.00704580476277124,0.0683668592889243,0,0,0.0673316367103865,0.0819251990227434,0.206897266595055,0,0.037018581873091,0.122782306066652,0,0,0,0,0
XRP,0,0,0,0,0,0.198566026154402,-0.156284938028201,0.0905365781405387,0.0262434752290639,0.0873930924656925,0,0.275784862569503,0,0.144592361069725,0.25871936621615,0,0,0,0,0
BCH,0,0,0,0,0.241227150734597,0,0.228118380043348,0,0.0927681061825585,0,0.168085262949294,0,0.0937082571593778,0,0.116154490445779,0,0,0,0,0
LTC,0.299585279087137,0,0.0147098553316943,0,0,0,0,0,0.0410279358748912,0.12271774359399,0,0.000000000000000000433680868994202,0,0.0173568519403721,0.133411053666434,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.250059684589733,0,0,0,0.274858083352408,0,0.037774115792133,0,0,0,0,0,0
NEO,0,0.059910391051124,0,0,0.225021672722081,0,0,0.0923585670015697,0,0,0,-0.00000000000000000173472347597681,0.099104283083467,0,0.304347465402288,0,0,0,0,0
XLM,0,0,0.224867693711394,0.0317898131125681,0.0812544500795928,0.394151167674231,0.119094303599062,0,0,0,0,0.116517372954626,0.222994741116041,-0.190985710892527,0,0,0,0,0,0
EOS,0.199897994158238,0,0.0338924682388286,0.137860708067131,0.0518941693731873,0.152343333416192,-0.0410723295845695,0,0,0.0507133157376186,0,0,0,0.183573741245293,0.320240289130468,0,0,0,0,0
MIOTA,0,0,0.0444707848843005,0,0.0955901563083412,0,0,0,0.345327716427584,0,0.0573729921142964,0.121833058800897,0.0328173318177135,0.0270049324805019,0.131349381014999,0,0,0,0,0
DASH,0,0,0.016432248196648,0.0476497064223695,0.253651288951929,0,0,0,0.099339505241777,0.0736552525384307,0,0,0.136358241527931,0.0500676417442713,0.13572818677537,0,0,0,0,0
XEM,0.039970713369652,0,0.140786001596622,0,0.233019997220982,0,0.10359883564282,0.19905895875141,0.063190299756347,0.0692538969305997,0,0,0,0.023439987599775,0,0,0,0,0,0
XMR,0.0445584459347495,0,0.0193105674615989,0.223203082031764,0,0,0.0831148001675339,0,0,0,0,0,0,0.0566475857998,0.207023951239353,0,0,0,0,0
TRX,0.693077871541733,0,0,0.202907310245517,0,0,-0.543575582452563,0,0.00348181764691481,0.14576353119745,0.409876012306038,0,0.0287436854541803,0,0.190320216486249,0,0,0,0,0.0801184056253285
ETC,0,0,0.130451990701347,0.0999911828526339,0,0,0.119739883832624,0,0.0694308576283044,0.00000000000000000010842021724855,0.18118534772959,0,0.0835474690691354,0.0241311560590496,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00016136840281069,0,0,0,0,0,-0.0430033352489935
CVIX.INDEX,0.0249574393319862,0,0.0541390495317781,0,-0.0388868828330183,0.0439907268710748,0.034850869752858,-0.0672050682617672,0,0.0233692184006807,-0.0392192391830813,0.0510264142608815,-0.000934697345504512,-0.0197955968703078,-0.0781803222936469,-0.0935495427376371,0,0,0,0.0470384340143813
DXY.INDEX,0,0.0226760653110656,0.000673518678509902,0,-0.0065271230559832,-0.00728983507352829,0,0,-0.0049802842018858,0,0,0,0,-0.00661138631562989,0,0,0,0,0,0.00643626954942943
SPX.INDEX,0,0,0.00297420954621505,0,-0.00241962207796606,0,0.0200726153341627,-0.0150079120600714,0.0120741296856831,0,0,0.014358519021536,-0.000535950684694502,0,-0.0338665576921399,0,0,0,0,-0.064591854372106
VIX.INDEX,-0.274897413535078,0,0,0.0225889348088825,0,-0.00115290840793775,0.109313400312296,-0.0313641494305152,0,0,0,0,0,0,0.150730550036743,-3.33101014678379,0,0,-1.67653816519803,0
