,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.242357629315842,0,0.110635545393884,0,0.0304979033988964,0,0.096760712817834,0.0209132624864468,0,0,0,0,0.0643774744781777,0,0,0,0,0,0.0295316290763655
ETH,0,0,0,0.00182257143795039,0,0.401043320645859,0.0340572519684805,0,0,0.175084296147665,0.108792504032522,0,0.000698665528779603,0.107958669137489,0,0,0,0,0,0
XRP,0,0.238361917009742,0,0.0172657973093454,0,0,0.121232845342322,0.10230449702431,0,0.0369750968880943,0.104339399112003,0,0.0641709376210158,0.106591409152168,0.0429506924622315,0,0,0,0,0
BCH,0,0,0,0,0,0,0.114562984952919,0.0350226853213392,0.00472537338058108,0.147960080849471,0,0,0,0.213870857942842,0,0,0,0,0,0
EOS,0,0,0,0.33902277610362,0,0,0.107231038177797,-0.0589736032903752,0.0500251047496401,-0.238683919903621,0.415994295036436,-0.421124683371507,0.567232348080211,-0.074834142822888,0,0,0,0,0,0
LTC,0,0.459470099747156,0,0.0837431139705028,0,0,0,0.119773301612542,0,0,0.117933600408897,0.0976518578877529,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0910966998845879,0,0,0,-0.0170671030274203,0.149943804255693,0.261094816961486,0,0,0.313896988879686,-0.000000000000000000867361737988404,0,0,0,0,0
XLM,0,0.105379035604484,0,0.0877259826382304,0.0169926347049689,0,0.0966104028277831,0,0.0086736511052882,0.0170020079422555,0.0970741866255471,0,0.164379526018556,0.222940928380048,0.0510944705042605,0,0,0,0,0
TRX,0,0,0,0.318125673751121,0.0534057049279567,0,0,0,0,0,0,0.251100168677164,0,0,0,0,-0.170798279592438,0,0,0
MIOTA,0,0,0.334608069261443,0,0,0,0.084722452688613,0.125462791819005,0,0,0.0769842795266892,0,0,0,0.202349053760406,0,0,0,0,0
NEO,0,0,0,0,0.0843899226636291,0,0.0324153677741981,0.0959249836390424,0,0.215422510366262,0,0.0376211725648526,0.0834663967722616,0.00656794529229272,0.215864431918836,0,0,0,0,0.0240428699127233
DASH,0,0,0,0,0,0,0,0.202023584394673,0.00849603595711805,0.192560485385535,0.150079147795448,0,0.0638049289881903,0.0123918312104387,0.0753820588583411,0,0,0,0,0.0648654861749143
XMR,0,0,0.352232833665829,0.1174245858378,0,0,0.109483990212375,0,0.0690856495904271,0,0,0.0944211743134205,0,0,0,0,0,0,0,0
XEM,0,0,0.182028138952963,0,0,0,0.103010366390249,0.411718431196554,0.0591575808405601,0,0.0635903509429294,0,0,0,0.036665590228458,0,0,0,0,-0.0401324080204998
ETC,0,0,0.334090837065326,0,0,0.293852794487496,0.0961739575007157,0.0695918575397858,0,0,0.104769894302875,0.0252260189714955,0,0.00308910934890038,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00576947574413446,0,0.0324614669962205,0,-0.00780340459575299,-0.0242786031136906,0,0.139806948964591,-0.0533413517570095,-0.053362766094298,-0.0187658820510993,0,0,0,0,-0.0754576988265332
CVIX.INDEX,0,0,0.0104865714924869,0.0741550427506424,0.0174609886857697,0,-0.10385651431702,-0.0975458035237216,-0.0367191184782803,0,0,-0.0257289082643048,0.0292831796267175,0.131880760997309,0,0.208921493505155,0,0.321825729566145,0,0.0188259777149793
DXY.INDEX,0,0,0,0.0158889279765301,0,0.00512069462899757,0.0148667208889935,-0.0160282998157161,-0.00748211195874373,-0.0067237015154975,0,0.0145856345662448,0,-0.0094635289534067,-0.00260489351472531,0,0.0513368556756156,0,0,0
SPX.INDEX,0,0,0,0.0294664411632014,0.0018161058799296,0,-0.00634460228827266,0,-0.0269713129514486,-0.00656001950510092,0,0,0,0,0,0,0,0,0,-0.129911177633315
VIX.INDEX,0.241759024230363,0,0,0,0,0,0,-0.00282109049457439,0,-0.00000000000000000346944695195361,0.202546970677219,0,0,-0.0795591416062869,0,0,0,0,-1.11933343091245,0
