,BTC,ETH,BCH,XRP,DASH,LTC,XMR,MIOTA,NEO,XEM,ETC,EOS,ZEC,XLM,ADA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0177575818346854,0,-0.0964375974610583,0.479950025150993,0.0606495377266172,-0.295791632620879,0,0,0,0.111360524722939,0.123882805732758,-0.00100371550605549,-0.0271979574170424,0,0,0,0,-0.052536994559255
ETH,0,0,0.0228064982114956,0.111285889602712,0,0.0480727870364355,0.108328907864211,0.0117872617713736,0.0483197865417097,0.144898443939297,0,0.0287424479519721,0,-0.00119358410498053,0.0580164289906143,0,0,0,0,0
BCH,0,0,0,-0.152588547174827,0,0,0,0.0902634656432084,0.276744444571624,0.433084857104264,0.0855608558444155,0,0.0500965160005058,0.00495072926849427,-0.174198235565735,0,0,0,0,-0.62980280308645
XRP,0,0.511114293605299,0,0,-0.00699975314164678,0,0.103801143561558,0.0503378282239114,0.0791400335500728,0,0,0.0948450386930922,0,0.0188913779111416,-0.0285468038725195,0,0,0,0,0
DASH,0,0,0.110062322459944,0,0,0,0.166114882725157,0.0119065937452808,0.0202435583357016,0,0,0,0.114611118258626,0,0.0477656627468388,0,0,0,0,0
LTC,0.131380976956102,0,-0.0699504986998811,0.269575825574774,0,0,0,0,0.00000000000000000173472347597681,0.113690992279695,0.196087384424491,0,0,-0.00371180508976563,0,0,0,0,0,0
XMR,0.161902185545657,0.359664338354315,0,0,0.200025480002641,0,0,0.00342651972359408,0.0413040392947485,0.197813325693697,0,-0.0337893384668521,0.150785325371177,0,0.0994595550662086,0,0,0,0,-0.185952333460125
MIOTA,0,0,0,0.153917434154559,0.0943550347548948,-0.0519410036971056,0,0,0.0591694411933771,0.430104704598608,-0.131335268132492,0.190105877079663,0,0.0797732876667053,0.0711838395890176,0,0,0,0,0.0571761096850705
NEO,-0.26933474896758,0.58335480790288,0.0968064892679061,-0.0984843674167197,-0.0843013876692233,0,0.196132711465919,-0.21801605606054,0,0,0.0191267132343561,0,0.366085415641766,0.145404576133319,0.0946139041214763,0,0,0,0,0
XEM,0,0.0287720229291258,0,-0.0232782962877953,0,0.0188924741619153,0.0974360512126683,0.15304558593351,0.0738643219682085,0,0,0,0,0.111895030463642,0.17707075423368,0,0,0,0,-0.128501807481195
ETC,0,0.309449880743365,0.128722489641404,0,-0.393647908580938,0.202525124655558,0,0.0610254527939636,0.102968322739963,0,0,0.0399513370079024,0,0.0270537531630414,0.0570704656051256,0,0,0,0,0
EOS,0.17867148980085,0.448806441572326,-0.031741536648383,0,0,0.142887402642802,-0.757501257990729,-0.0509260819123283,0.0403305627891134,0,0.0751892237236752,0,0.775753007372121,0.0895259065300905,0.0801491329604905,0,0,0,0,0
ZEC,0,0,-0.0335526362046439,-0.114372943132941,0.313582146179132,0.0628884661540521,0.120186498662089,0,0.0161029476460435,0.131707000604649,0,0.120302595393727,0,0.0485235228463611,-0.00000000000000000693889390390723,0,0.302229773612971,0,0,0.0387554786227301
XLM,0,0.411522417229256,0,0.390628978604558,0,0,0,0.42371192222118,0.125791916895997,0.577869747866742,-0.062527112531605,0,0,0,-0.060195329345011,0,0,0,0,-0.191245014967346
ADA,0,0,-0.12685847546115,0,-0.0945280984797241,0,0,0.277275342041504,0.133234010285424,0.540550595664688,0,-0.367867533393923,0,-0.0500851106915411,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.0072548476870286,0,0.00586439790101459,0,0,0,0,0,0
CVIX.INDEX,0,0,0.0250105099937574,0,-0.018739351403894,-0.054633322692278,0,0,-0.0328034804909264,0.0975840126069992,0,0.000000000000000000433680868994202,-0.0319018940579507,0.0146431863884878,0.0457211197776146,0,0,0,0,0.0761658557849057
DXY.INDEX,-0.0057522161009567,0,0,0,-0.0106266912778716,0,0.0184025360252242,-0.0148921082804738,0,0.0137980644690562,0.00321196792689986,0.00217709205495804,0,0.00173134806853914,-0.0102340088849069,0,0,0,0,0
SPX.INDEX,0,0,-0.000803716817021409,0,0.00549019396108841,0,0.00000000000000000010842021724855,0.00484340734026426,0.000275047085140699,0.00704662781897387,0,0,-0.0223580578880492,0.00105400310309355,0,0,-0.0270410203744608,0,0,-0.031979826353874
VIX.INDEX,-0.183613524446335,0,-0.189667934328077,0.241078624061486,0,0.365213214569936,-0.354074000575841,0.145970427481537,0.0328046725722749,0,0.0485359443930474,-0.00477591596572098,0,0.02199820327022,0.056005527156405,0,0,0,0,0
