,BTC,ETH,BCH,XRP,LTC,DASH,MIOTA,NEO,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.468747778691442,-0.086099895485776,-0.227886421001242,0.00860861170134065,0.0228171896343557,0,0,0.101317673752853,0.0928013511750498,-0.0478216679269249,0,0,0,0,0,-0.0834451155472689
ETH,0,0,0.0232172440263064,0.109043006121407,0.0631183226355679,0,0,0.0480371927153289,0.119130734640854,0.160471591658015,0.00768640434254702,0.0394831755866128,0,0.0601000398730773,-0.00104392119945135,0,0,0,0,0
BCH,0,0,0,0,0,0,0.171873147610753,0.243483620596714,-0.00000000000000000693889390390723,0.382884621881658,0.344001993665002,0.00730903190234129,0,-0.252002913925633,-0.156727261256106,0,0,0,0,-1.07978214533756
XRP,0,0.532605317092467,0,0,0,-0.0429007369109947,0.126563056948003,0.0845422348418958,0.029234334997779,0,-0.0220334715812544,0.0228143556515965,0,-0.0344591761898878,0,0,0,0,0,0
LTC,0.115740611206114,0,-0.0592583605495067,0.26299062411053,0,0,0,0,0,0.097311561834857,0.196044502546775,0.00000000000000000173472347597681,0,0,-0.00507782103966095,0,0,0,0,0.0397298313009338
DASH,0,0,0.0873259868476803,0,0.058169874875559,0,0.0705420567898922,0.0710037334965758,0.0347144062806585,0,0,0,0.0940741687178986,0,0,0,0,0,0,0
MIOTA,0,0,0,0.181621177489292,-0.107712904145871,0.0804841672173441,0,0.0596978689779186,0,0.517915810193397,-0.167344394756791,0.213187033910296,0,0.0731474176486819,0.0540581710869883,0,0,0,0,0.0727978878917599
NEO,-0.284350197208824,0.629883691948406,0.104792897786515,-0.0983332226887817,0,-0.101073227403921,-0.227136749841576,0,0.198307106685452,0,0,0,0.377911354560566,0.0977654297946069,0.145004524275835,0,0,0,0,0
XMR,0.0153929737891372,0.442583635316447,0,0,-0.0561896261344343,0.0614327695319283,0.0401631610093995,0.069091517134921,0,0.180491509884767,0,-0.0671317610943595,0.224623313421007,0.137459431658941,0.0170136341404471,0,0,0,0,-0.0868079505711699
XEM,0,0,-0.0216592496507195,0,0,0,0.163531387826267,0.117613753565449,0.076427953937662,0,0,0.0241271087176044,0,0.161549394058551,0.0812020182589022,0,0,0,0,0
ETC,0,0.309449880743365,0.128722489641405,0,0.202525124655558,-0.393647908580937,0.0610254527939637,0.102968322739963,0,0,0,0.0399513370079021,0,0.0570704656051258,0.0270537531630413,0,0,0,0,0
EOS,0.173040823675419,0,0,0,0.124591618323682,0,0.000375181948060258,0.00837926793928708,0,0,0.213071253274036,0,0.551489215911954,0,0.0542784230539735,0,0,0,0,0
ZEC,0,0,-0.0176923327367754,0,0,0.269532045353631,0,0,0.215821107414084,0,0,0.0883063037495013,0,0.0538232196670953,0.045654050512459,0,0,0,0,0.0558664415768078
ADA,-0.137596010772477,0.497999188629521,-0.196584504088386,0,0,-0.163718650638756,0.314017897503091,0.171090984311348,0.12253914396138,0.20204945125593,0,-0.332784906117098,0,0,-0.104904373256438,0,0,0,0,0.299542233298331
XLM,0,0,-0.0222188521936194,0.221977594629948,0,-0.0409214465381002,0.329241186899114,0.152000179777274,0,0.57261705344645,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.00725484768702855,0,0,0.00586439790101459,0,0,0,0,0
CVIX.INDEX,0,0,0.0296162704010901,0,-0.0576818096703029,-0.0203621267703657,0,-0.0307028143328613,-0.0111780421722443,0.10387839477789,0,0,-0.0306121806376629,0.0477060501014367,0.0138764930395106,0,0,0,0,0.077186500994202
DXY.INDEX,-0.0150155031278952,0,-0.00518687163265759,0.00208311820374781,0,-0.0153472009840913,-0.0175793530348325,0,0.0126927960466179,0.0113166636950284,0.00121513339612009,-0.000370211651513046,0.00306485504785724,-0.0110027167239172,0.00143999706334922,0.0606964747496797,0,0,0,0
SPX.INDEX,-0.00463654939385693,0,-0.00274439441230476,0,0,0.00652885448339358,0.00579695881365039,0.00207304808990424,0.00604474705847993,0.000610483389579642,0,0.00290150676566324,-0.0294530832010641,0,0.00153867777568441,0,0,0,0,-0.0366149004411667
VIX.INDEX,0,0,-0.234776381819911,0.187445341104461,0.0609977645052738,0,0.0998753062488707,0,0,0,0.0320984983570783,0,0,0.0590271516631702,0.034676496638288,0,0,0,0,0
