,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.132806951414645,0,0,0,0,0.188150259824098,-0.000000000000000000867361737988404,0,0.158325404352933,0,0,0.120007522097616,0,0,0,0,0.0175270095886379
ETH,0,0,0.0839532649968361,0,0,0,0,0,0.119340464900242,0.0708619606191798,0.176195698703497,0.198608514058294,0,0.128580879328309,0,0,0,0,0,0
XRP,0,0,0,0,0.313019376038082,0.0355019547386329,-0.00000000000000000693889390390723,0,0.0333493097341378,0.241453832731655,0.0266899041696821,0.0930837834348594,0,0,0,0,-0.159254357570176,0,0,0.0988997686192539
BCH,0.177930902147585,0,0,0,0,0,0.33643483457996,0.117884669578462,0.111454089938491,0,0.218623142284462,0.0781434586559205,0,0.0128759958425834,0,0,0,0,0,0
EOS,0,-0.0714237087823447,0,0,0,0.0871185655446049,0.553386543810299,0,0,-0.0437282761953839,0.283662410956156,0,0.15438308114056,0.100304848632901,0.252160497123082,0,0,0,0,0
XLM,0,0,0,0,0.000000000000000000867361737988404,0,0,0.132894560895075,0.219645797333772,0.136856028933273,0.168398580363713,0,0,0,0.231713045376601,0,0,0,0,0
LTC,0.111833490989939,0,0,0.373605189680013,0.211287124379031,0.0196882443058595,0,0.058239410960341,0,0.0606532368069188,0,0.128804725490164,0,0,0,0,0,0,0,0.0651813602631603
ADA,0,0,0,0.275684369396069,0,0.258909437752169,0,0,0,-0.000000000000000000867361737988404,0.203873740056704,0.000291925217003752,0.130923074691771,0,0,0,0,0,0,0
XMR,0.412016767528328,0,0,0.273660800341504,0,0,0,0.0219546368875619,0,0.103068721900757,0,0.0405652011336222,0,0.0575499651949936,0.127444480345463,0,0,0,0,0
MIOTA,0,0,0.0422145871837672,0,0,0.134993536742046,0.100420707453148,-0.067201753593854,0,0,0.321045235636794,0,0,0.623913111358485,0,0,-0.102156183739871,0,0,0.0691913136868934
TRX,0,0.272615612303459,0,0,0.269097857657066,0,0,0.228922282183727,0,0,0,0,0.278326997599789,0.100618699374123,-0.135443311587495,0,0,0,0,0
ETC,0.191696346065456,0.577350494789185,0,0,0,0.159929151775147,0,0,0,0.251104210464525,-0.166978740631531,0,0,0,0.0764976677732904,0,0,0,0,0
DASH,0,0,0,0,0.0578649535006062,0,0,0.247011808489511,0.111062455728218,0.0128262944975362,0.0245136849825369,0.0551615438157879,0,0.244489982439844,0,0,0,0,0,0
NEO,0,0.0682179842414913,0,0,0,0,0,0,0,0.479835490327071,0.25350352005306,0,0.0923828206198354,0,0.251718595462392,0,0,0,0,0.114274082036145
XEM,0,0.243796710222377,0,0,0,0.305147616839981,0,0.0239896636048039,0,0.00000000000000000346944695195361,0,0,0.157281609281123,0.200609434258532,0,0,-0.0670040932239001,0,0,0.0336485019718245
BV010082.INDEX,0.022426768602458,0,0,0,0,0,0,0,0.0305967382713625,0,0,0,0,0,0.00744843203593728,0,-0.169538893169777,0,0,-0.0152932939484307
CVIX.INDEX,0,0,0,0,0,0.0851025054270018,0,0,0.175718946126655,-0.168806801106956,0.0647330159475185,0.0648815548273909,-0.302423617068573,0.220193476271881,-0.0489951134485696,-0.611821708656882,0,0.21993696206594,0,0.0803150367935086
DXY.INDEX,0,-0.0201668804336072,0,0,0.00000000000000000010842021724855,0.000922117133938867,0,-0.00245728567641361,0.0174735675616133,-0.0138771232939945,0,0.0231947315006066,0,0,0,0,0.110681776899588,0,0,0
SPX.INDEX,0.000487259425617238,0,-0.00630104751524888,0.0169465141740849,-0.0126155829867088,0,0,0.00671506419759838,0,-0.0132513901369157,0,0.00278734836298636,0,0,0,0,0.0357157264348552,0,0,-0.0686804821170206
VIX.INDEX,0,0,-0.225645425720127,0,0,-0.191885333633221,0,-0.0000000000000000138777878078145,-0.00944145032571973,0,0,-0.101156576739743,-0.251192655425273,0,0.478805718292646,0,0.0838964216201635,0,0,0
