,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.110946858364646,0.177894469635953,0.100017199141744,-0.00802746033449592,0.266057141898918,0,0.182681296578717,-0.245245410826095,0.51915769337586,0,-0.188018573204659,0,0,0,0,0,0
ETH,0.569095942551546,0,0.00000000000000000693889390390723,0.54152788710397,0,0,0,0.0175981895704917,0,0,0,0,0.0789609331162076,0,0,0,0,0
DASH,0,0,0,0.0642073099379553,0,-0.119853043213814,0,0.0549413742247748,0.137382578338705,0,0,0.330780440245983,0.0298192480073193,0,0.439927133013558,0,0,0
XMR,0,0.569007798640129,-0.0451078337582635,0,0,0,0.095448752730504,0,-0.00000000000000000693889390390723,0,-0.168344949987314,-0.0315124119877468,0,0,0,0,0,-0.1194424143226
XRP,0.0964094692536613,0,0,-0.0974352668881253,0,-0.0483172418932403,0,0.0722528992915807,0.0274484528865737,0.424316789866426,0.0000284260176169956,-0.117787048300673,0.0475082664925285,0.379809951891245,0,0,0,0.101807688166596
ETC,0.97842070675882,0,0.0533562454127855,0,0,0,0,-0.126184353482118,0.0736067193456945,0.0895602715695289,0.320502103251743,0.0736782673223803,0,0,0,0,0,0
LTC,0.117572491685313,0,0.00964645002747937,0.0836420288912739,0,0.0908891002659691,0,-0.0594868450273117,0.0337905802628971,0,0,0,-0.0179569763128117,0,0.0728856548063681,0,0,0
XEM,0.700924367508797,0.266440088151111,0.143792000998447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44048206792427
ZEC,0,0.238439524758484,0.191212723072851,0,0,-0.0944082965603679,0,-0.127513532527015,0,0.482787016858793,0,0.109507658395573,-0.113897263052926,0,0.0491054316921364,0,0,-0.0320127305300663
DOGE,0.310015692206743,0,-0.0354169381846473,0,0.0461731055600495,0,0,-0.0110540562142054,0.161558187438448,0,0.108746879157994,0,0,0.132709903429834,0.0310110406285405,0,0,0
XLM,0,0,-0.0429010428288034,0.258355493159764,0,0,0,0.0207255450870994,-0.126802292490132,0,0,0.0360783494642182,0.225238677081865,-0.304098461998707,0,0,0,0
NEO,0,-0.083303462723741,0.0481871845618502,0,-0.366633770674107,0.16015481884355,0,-0.09971557330045,0.209084125866609,0,0,0,0.168971221851646,0,0,0,0,0
DGB,0.284902383122033,0.0909910834898232,0.0465682590903558,-0.039319072581783,0.032889063905937,0,0,0,0,0,0.33064621679212,0.0877666920168517,0,0,0.282068706327415,0,0,0
BV010082.INDEX,0.0265892448978515,-0.0459923450847007,0.0550292033134603,0,0,-0.0871826591756389,0,0,-0.0706020669667454,0.131234481215,0,-0.0268695110974941,0.0544127063521537,0,0.105420941596103,0,0,0
CVIX.INDEX,0,0,0,-0.00848966309800363,0,0,0,-0.073850976128446,0,0.399865524766873,0,0,-0.050567452063187,0,0,0,0,0.255429982343913
DXY.INDEX,0,0,-0.00848807717925899,0,0,0.022516227968121,0,-0.00908840789370991,0,0.00580761850470229,0,0,-0.00491111629545794,0.142539354910363,0.0401798015006332,0,0,-0.00608367399170451
SPX.INDEX,0,0,0,0.00790514932308968,0,0,0,0,0,0,0,0,0.00113976946107216,0,0,0,0,-0.0285967178653073
VIX.INDEX,-0.121840416464756,0,0,0,0,-0.187581485063259,0,-0.0791818913160246,0,0,0.337848115624339,0,0,0,0.414220207787901,0,0,0
