,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,ETC,XMR,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.130157536693962,0,0.254201580564084,0,0.0403998025046978,0.126257053684644,0,0,0.0584097471740324,0,0.131277467518824,0,0,0,0,0,0,0,0.0377402323343814
ETH,0,0,0,0,0.326731149498124,0,0,0,0.141933881677794,0,0.119088869479831,0.0438403278459505,0,0.0739548291963981,0,0,0,0,0,0.0183393834804488
XRP,0,0,0,0,0.2358100134314,0.0130794433721087,0.0326404611800497,0,0.23276194624966,0.0877766442157562,0.135236360856538,0,0,0,0.031109963073785,0,0,0,0,0
BCH,0,0,0,0,0.17359973591661,0,0.0226483241105728,0.0670613616546953,0.00938616110638972,0.303558272184579,0.0462370457877033,0.198904561995523,0,0.0460840175015831,0,0,0,0,0,0
EOS,0,0,0,0.254934049200051,0,0.224687466170207,0.410594320013842,0,0.0690522366895081,0.19041820035318,-0.00000000000000000346944695195361,0,0,0,0.219593927734594,0,0,0,0,0.0569124059860135
XLM,0,0,0,0,0,0,0,0.261080281255459,0.00000000000000000693889390390723,0.155591848867837,0,0.234576400108033,0.298111202313775,0.160721028010723,0.0301046760740185,0,0,0,0,0
LTC,0,0,0.192581766943611,0.306804070100558,0.0253225943033126,-0.000000000000000000867361737988404,0,0,0.123128910019438,0,0.13264104278356,0,0.15882645393281,0,0,0,0,0,0,0.000000000000000000867361737988404
ADA,0,0,0,0.176508419134567,0,0.391006048012552,0,0,0,0.166316766254087,0,0,0.108032118632094,0,0,0,0,0,0,-0.0019944287603177
MIOTA,0,0,0,0,0,0,0.22160062509106,0,0,0.308831558610571,0,0.0297558300967662,0,0.561424736510597,0,0,0,0,0,0.0446978865485934
TRX,0,0,0,0.0357993785060523,0.467508073575495,0.0711346754202849,0,0.0727329845269575,0,0,0,0,0,0.0955347520641302,0,0,0,0,0,0
ETC,0.187598191305194,0,0,0,0.137141866070241,0,0,0,0.435821402362904,0,0,0,0,0,0.244129048976852,0,0.509746179932865,0,0,-0.0812526582145382
XMR,0,0,0,0.149744434617631,0.212063634707355,0.0257479690868405,0,0.179859043968288,0,0,0.0522921843634735,0,0,0.185166875453259,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.143174776409044,0.0906422620929267,0.00985280730910382,0.170566433225118,0.0484407235916799,0,0.146113323261619,0,0,0,0,0,0
NEO,0,0.00000000000000000693889390390723,0,0,0.000000000000000000433680868994202,0,0,0.101716714011771,0.368325890556499,0.344264478601092,0,0,0,0,0.079887987721657,0,0,0,0,0.00762619503500822
BNB,0,0.464628646836254,0,0,0,0,0,0,0.0683473202804671,-0.00000000000000000010842021724855,0,0,0,0.129449827115026,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0280994244739252,0,0.0426807014974629,0,0,0,0,0,0,0,0,-0.0342801250880191,0,-0.146597925684803,0,0,-0.0202050188606552
CVIX.INDEX,0,0.22683177788457,0,0,0,0.023052191968678,0,0,-0.0570527147041291,0,0.0498519049597179,0.0383618698717979,-0.295239042991572,0.143770316639585,0,-0.41628083799353,0,0.607890592131722,0,0.103706470729577
DXY.INDEX,0,0,-0.034481353548628,-0.0506651196566244,0,0.015758688666465,0,0,-0.00844544691585636,0,0.0224806003682305,0.0460193171532986,0,0.000000000000000000216840434497101,0.0135621391054393,0.0262811979655183,0.113277965615114,0,0,-0.0020284867520077
SPX.INDEX,0,0,0,0,0,0,0,0.00574620623224047,-0.0145142933073202,0,0,0,0,0,0,0,0,0,0,-0.0624100176478986
VIX.INDEX,0.86600772294954,0,-0.232878914002286,0,0,-0.157644797993259,0,0,-0.0986718137313743,0,0.00454429921795662,-0.446051798069808,-0.0155374268049862,0.319157251910609,0,0,0.202420389582521,0,-3.27893258760065,0
