,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0100103174816785,0.0353406922244452,0.000000000000000000433680868994202,0,0.235546192143488,0,0,0,0.0399243821857241,0,0.0200549070309093,0,0,0,0,0,0,0,0.00150621070083631
XRP,0,0,0,0.0363506359544785,0.110684595591576,0.35668614736663,0,0,0,0,0,0.62633312996473,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.361814508600452,0,0.0227185040460658,0.141373888565876,0.0980440959201909,0.222607062255234,0.0686361265941445,0,0.148116987125389,0,0,0,0,0,-0.0150938796912567
BCH,0,0.00324910257098637,0.391297749165607,0,0,0.0827973123923679,0,0.104022262902843,0,0.269435103084324,0,0,0,0.0757461998538476,0,0,0,0,0,0.0485108709006916
XLM,0,0.142438985630589,0.00912491594066818,0.00523699630610315,0,0,0,0.302310379512373,0,0.240938448050098,0,0,0,0,0,0,0,0,0,0
EOS,0.260660799649289,-0.0463309903593544,0.534146175633041,0.0360563173595879,0.0166366848141092,0,0,0.104251067071437,0,0.03668474384792,0,0,0,0.0584528911437846,0.0672740418293282,0,0,0,0,-0.0288917491364556
LTC,0,-0.00567410771005732,0.190071499707442,0.148965414685673,0,0,0,0,0.0867093856572334,0.0626739035234124,0.15352955673832,0.163521785072984,0,0.0952266149509783,0,0,0,0,0,0.0140282210399467
ADA,0,0,0.0732948603315927,0.0268807115810772,0.0983212347331477,0.17610041629933,0,0,0,0.105963919473803,0,0.30003163949726,0,0.142807884037767,0,0,0,0,0,-0.00882523674404863
XMR,0.409480091552462,0,0.181665814814659,0.126077964227372,0,0,0.00329110878685339,0,0,0,0,0.321033583592352,0,0,0,0,0,0,0,0.0128365240692827
TRX,0,0.0143249045716319,0.0475616125712422,0.00636626946501058,0,0,0,0.479159605924269,0,0,0,0,0.541917918317569,0,0.0587313980128851,0,0,0,0,-0.0398921339040694
DASH,0,0,0.328253753589952,0.00938563503284976,0,0,0,0.202440019479681,0,0.0657539925761576,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0885742450954869,0.0414591000224279,0.019943473356327,0,0,0.213065324021942,0.0656680523802545,0,0.214834874281909,0,0,0,0,0.267802979662797,0,0,0,0,-0.0805163179828252
BNB,0.0815688868218077,0,0.0946470957741802,0,0,0.20594013604456,0.0480049645756266,0,0.211242016378965,0,0,0,0,0,0.0202337575099268,0,0,0,0,-0.0242108729605998
NEO,0,0,0,0.121574840149552,0,0,0,0.283726432813833,0.045060827345727,0.0484262449720398,0,0.35634419830221,0,0,-0.000000000000000000216840434497101,0,0,0,0,0
XEM,0,0,0,0.134142477199851,0.288208239932643,0,0,0,0.0177112522957364,0.199619760361153,0,0.0767721082185477,0,0,0,0,0,0,0,0.00655550508712138
BV010082.INDEX,0.00665477087848203,0.00184343672900732,0,-0.0967273822782801,0,0,0,0,0.114155460610987,0,0,0,0,0,0.0241081855496789,0,-0.156576213137784,0,0.487807126400799,0.0255188952000364
CVIX.INDEX,0,0.0699087957102186,-0.0606131287346142,0,-0.230227573166791,0,-0.397741498678057,0,-0.0608453730101597,0.0712442801174191,0.109710378183866,0.452941908799562,0.160398858281536,0,-0.0683985995985984,-0.0635991697449206,0,0,0,0.043456401481166
DXY.INDEX,0,-0.00707140391788237,0,-0.00792476670204451,0,0,-0.0061659923179727,0,0,-0.0353129283595275,0.0165545829332455,0.0398001488440452,0,0,0,0.0234195468496394,0.0374640391633689,0,0,0.00467271411360459
SPX.INDEX,0,-0.0329419326034165,-0.0318987324861391,0,0,0,0,0.0157806859436551,0,-0.000182455665604007,0,0,0,0,0.0331246243582853,0.0433470464284249,0.0402186338933395,0,0,-0.124413091716993
VIX.INDEX,0,-0.0887474782660046,0,0.223998133976872,-0.272284694169873,-0.00000000000000000693889390390723,0,0,0,-0.0692487678834444,-0.403318799685194,0.242220236418826,0,0,0.226583638703951,0.223626349693488,0.856247641526921,0,-6.05647931294903,0
