,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0883753668357563,0.0262261622204003,0,0,0.151046042594615,0,0.125728318640268,0.044772108653472,0.0818039801220166,0,0,0,0,-0.118387959753201
XRP,0.423240392344918,0,-0.230732140446267,-0.0963583692154183,0.072218622793497,0.762832494972862,0.403831036676239,-0.243047067863609,0,-0.0940375285908723,0,0,0,0,-0.165235039065701
LTC,0.538994315052632,0.188532533979847,0,0.0205856538641028,0,0.209458599336009,0,-0.122327374128663,0.0156470004509565,0.0834455106462891,0,0,0,0,-0.0465710562701427
ETH,-0.888093752584745,-0.308188904311149,0,0,0,1.18694908171637,0,-0.141704428201581,-0.0194509964171278,-0.275588165579951,0,0.553181876462205,0,0,-0.340916702786552
DASH,-0.0445664691358953,-0.0861304790031699,0.402614219567366,0,0,0.28239915419705,-0.205536708822604,0,0.0256206341882173,0.0414214818617978,0,0,0,0,-0.0946676464735033
DOGE,0.251463959533077,0.0489646503898768,0.472080660420923,0.0132699810024459,0.105591864492663,0,0,0,0.000000000000000000216840434497101,0,0,-0.00708565591952834,0,0,0.0303738727787434
XLM,0.0886898759230144,0,0.127415388351967,0.0669776267529661,-0.0334129196909294,0,0,0.206152418612358,-0.0384697448788939,0.152513774937047,0,0,0,0,-0.0414829206243309
XMR,0.277408311084435,-0.173373796483726,0.140068801280315,0,0.0704583283740896,0.515858646311219,0.571506087326931,0,0.0979091223651467,-0.291790728466909,-0.259797958057659,-0.525685187507167,0,0,-0.00000000000000000346944695195361
DGB,-1.00124890138321,-0.0431952905781899,0,0.271325335004568,0,0,0.617330825730464,0.281347043284328,0,0.731235339888286,0,0,-2.04285953716675,0,-0.652778400601656
XEM,0,0.147815757017992,0,0,0.390184894976118,0.76021443694056,1.1362921681358,-0.067224452048241,0.136283795285315,0,0.606970717628704,0.0315833112763228,0,0,0.20741668093076
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.0127940175975533,0.0784411834494509,0,0,0,0,0
CVIX.INDEX,0.321434573509619,-0.0134180915806169,0.0239067030593441,0,0,-0.403240926887738,-0.184944791476958,-0.0932114857917821,0.0133193289270167,0.0407742951570324,0,0,0,0.0620612662606219,0.0261044380904076
DXY.INDEX,0,-0.0219382386796839,0.0149946303765066,0.0111179569549421,0,-0.010163966101731,-0.0272521501136007,0.0402166742573924,-0.0112556749296086,0.016983680918359,0.0399434833128489,0,0,0,-0.0206250678337567
SPX.INDEX,0,0,0,-0.0104960611954543,0,0,0,0,-0.000000000000000000216840434497101,-0.0110903177940261,0,0,0,0,-0.120078783073021
VIX.INDEX,-0.374621863149667,-0.277720565509085,0,0.0137466637465758,-0.198529876410334,0.455373529870551,0,0,-0.0356088736010377,-0.0470656668870158,0,0,0,-4.0718716279217,0
