,BTC,ETH,XRP,BCH,XEM,LTC,MIOTA,NEO,DASH,ETC,XMR,EOS,ZEC,XLM,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.124965130158147,0,0.242188676680232,0.0419984126893268,0.0311440656177909,0.0657749231672412,0.0556716537450031,0.0591411614471182,0.0513533951812517,0,0,0,0,0,0,0,0.0852695843295469
ETH,0,0,0.138718737559961,0,0,0,0.0826916250548622,0,0.0554488967747254,0.276524074843591,0.0196051138095886,0.0313464388361044,0,0,0.183854712245331,0,0,0,0,0
XRP,0.118103262210329,0.199041882258009,0,0,0.0953864808925263,0,0.0437820513091413,0,0.00302975126458057,0.136595679561051,0.113210486144182,0.0232737464277247,0,0.144280169815864,0,0,0,0,0,0
BCH,-0.314427587121304,0,0.87792460360442,0,0.722872947150012,0,-0.404898737163153,0,0.00942423830979936,0.310310566617481,0.674185827162663,0.0460579664428699,0.583167380329235,-1.49831690431361,-0.141541913522082,0,0,0,0,-0.194230099024824
XEM,0.164851397145401,0,0.322474063129321,0,0,0,0.0162952354607278,0.0273911046603099,0,0,0.117998397809968,0.120404981183655,-0.105017015971887,0.150634396471533,0.0297283635397583,0,0,0,0,0
LTC,0.200472298620544,0,0,0,0,0,0.042541122223002,0.0548925342725244,0,0.201989417369382,0,0,0.0678703749596282,0.106682252567852,-0.0769833508381564,0,0,0,0,0
MIOTA,0.591788650017137,0,0.461894710089784,0,0.0652726612327709,0,0,0.0306580187886531,0,0,0,-0.00864112523035662,0,0.536593879829403,-0.201658291362789,0,0,0,0,0
NEO,0,0.00597155238909159,0,0,0,0.0985033292105121,0.0949687138659079,0,0.213524478055671,0,0,0.0769613057745206,0.0708165081547329,0,0.173849066420719,0,0,0,0,-0.150655472082432
DASH,0.0829445333306991,0.107202416401193,0,0,0.131643090155986,0,0,0.058583838855729,0,0.144097168363713,0.297027535309412,0.0211021870314263,0,0,0,0,0,0,0,0.12354717692118
ETC,0,0.189784489427626,0,0,0,0.105319287501165,0.0381625574942994,0.00573154053406643,0,0,0.235267001667183,0,0,0,0.0332171305605355,0,0,0,0,0
XMR,0.167782621044024,0,0,0,0.0945967556957788,0,0,-0.0065061087831818,0.376451059802333,0.0140736390332036,0,0.0350287196275413,0,0.208091845506654,0.0175933252492683,0,0,0,0,0
EOS,0,0.299264805281307,0,0,0,-0.244942642105013,0,0.0757678807956346,0,0.472638274510593,0,0,0.345046221032558,0.112690605104902,0,0,0,0,0,0.0210602532833987
ZEC,0,0.148264731668438,0,0,0,0,0.179151212706446,0.00000000000000000173472347597681,0,0,0.113039651573184,0.0431629285354513,0,0.113762590428684,0,0,0,0,0,0
XLM,0,0,0.161146114857679,0,0,0,0.0710010953558407,0.0519531711325651,0,0,0.403596114558204,0.092236629325036,0.256202150754423,0,0.0973198958796295,0,0,0,0,0
BAT,0,0.583193763530054,0,0,0,-0.215400962706145,0,-0.0129868719904223,-0.0743489078123537,0,0,-0.0116902897799416,0,0.400898639827741,0,0,0,0,0,0
BV010082.INDEX,-0.0824946715258696,0,0,0.00501197728174527,0,0.0164308251914309,0.011853670598297,-0.00973585078041361,0.0231417077243797,-0.0212793423027773,-0.00597913547308758,0.00788714571476121,0.0298767094015812,-0.0102969229949566,0,0,0,0,0,0.0193658164191114
CVIX.INDEX,0,0,0,0,0,-0.0178011769263549,0.0601270325368905,0.0204134662894259,0,0.0188130015816921,0,0.022317253675111,-0.11211330572692,-0.0514140564776095,0.00763736030625088,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0.00423581991287352,0,0,0,0,0.00326966732504795,0,-0.00274447905723986,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.00196045108642274,0,-0.000412363147336749,0,-0.00243318580188158,0,0.00147855143270955,0,-0.0000000000000000000271050543121376,-0.00106850025529007,0,0,0,0,-0.0572357122972873
VIX.INDEX,0,0.113320622356948,-0.155604768085352,0,0.0951779243865435,0,-0.015939181597007,-0.0969528288507161,0,0.139599085787549,0.169755886838061,0.0406386071559636,0,-0.272617456282306,0.135596460241386,0,0,0,-0.65735517168563,0
