,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0000000000000000000135525271560688,0,0.0877089534696811,0.0713593772124946,0,0.00892736030713828,0,0.0448091227505298,0.116708028035407,0.312112768545576,0.0740709769452829,0,0,0,0,0,0
XRP,0,0,0.189871316196569,0.038453832613919,0.0484525663971863,0.0433786929174661,0.175869802668598,0,-0.0105058169928333,0.000108594657409387,0,0.0263520354819984,0,0.0487395418750669,0.072237684918433,0,0,0,0,0
ETH,0,0,0,0.120265441202141,0,0,0,0.13744761003427,0.00233431512747761,0,0,0,0.285481844948404,0.195399566797566,0,0,0,0,0,0
BCH,0,0,0,0,0.326686353462814,0,0,0,0.18664014833683,0.398686009712426,0.0698717792270687,0.198381451578007,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,-0.0493863476263059,0,0.679333620311905,0,0.165504102682259,0,0.151430110492525,-0.0425065493936399,0,0,0,0,0
XLM,0,0,0.00561781413919858,0.124983414660963,0.0130677380714015,0,0,0,0,0.105136066844113,0.064384159088677,0.137165954809613,0.259172536637185,0.000000000000000000867361737988404,0,0,0,0,0,0
LTC,0,0,0,0,0.325920002195268,0,0,0,0.047679703804901,0,0.0746712178219077,0,0.2361331104235,0.00127779332282731,0,0,0,0,0,0
TRX,0.0875354255649313,0,0,0,0,0,0,0,0,0.419399638124898,0.06586998938371,0.227933075344755,0,0,0.0951784411272967,0,0,0,0,0.129692574965368
BSV,0,0,0,0.481233550730815,0,0,0,0.319879103159802,0,0.128459632748275,0.0970038299160003,0.174412650953273,0,0.342285771093342,-0.623723405565174,0,0,0,0,-0.205889112534187
ADA,0,0,0,0.130918180942744,0.265044011063566,0,0,0.1724310818852,0,0,0.10661601730433,0.026528274860821,0.185056997772528,0,0,0,0,0,0,0
MIOTA,0,0,0.0881893474130432,0.0673075144658964,0.246381606369862,0.204600508726988,0.110930995553134,0,0.0567645956783667,0,0,0,0.0607591475598925,0,0.103631311195054,0,0,0,0,0
BNB,0,0,0,-0.0384358332322522,0.173627928511768,0,0.344020483835401,0.0995892191308976,0,0.358964890793281,-0.0165711499483174,0,0,0,0,0,0,0,0,0
XMR,0,0,0.247517089207838,0,0,0.219316521671821,0,0,0,0.228781975641402,0.0116391527555988,0.0783852770461825,0,0.035843421133925,0,0,0,0,0,-0.0296722935800464
DASH,0,0,0,0,0.18225951555664,0.162629749060024,0.310758198401062,-0.0728674213190369,-0.0217522473322587,0,0.0591302447305853,0.0940462753064941,0.324597965657445,0,0,0,0,0,0,0
XEM,0,0,0,0.0860085027741518,0,0.142224272608342,0,0.112024530908112,0,0.209178919035653,0.0521966274644478,0,0.161239105080831,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.193372844749628,-0.0294082783957589,0,0,0.0134859946130487,-0.0389673697856601,0,0,0.0661511136546535,0.0279600822015315,0,-0.00000000000000000346944695195361,0.188925697426079,0,0,0,0,-0.0595245072755444
CVIX.INDEX,0,0,0.316394857805473,0.0772049571771627,-0.270988339377114,0.106681487609746,0,-0.144451045457367,0.0113124443400135,0,0.0843879161068191,-0.0951148060504857,-0.174397134028902,0,0,0.124857386658685,0,0,0,0.0604953964506835
DXY.INDEX,0,0,0,0.00159524176507663,0.000000000000000000433680868994202,0,0,-0.0322414596137579,0.00390608673259292,0,0,0,0,0.0013025216998057,0.0315439321197044,0.0218695909238122,0,0,0,0.00053490454262046
SPX.INDEX,0,0,0,0,0,0,0,-0.00437596169263406,0.0118833827515081,0,0,0,0,-0.0418521536183097,0.0276656895884214,0.0685292739454231,0,0,0,-0.116747378774543
VIX.INDEX,0,0,-0.155755740423756,0,0,0,0,0.428967891925905,0,0.0395318375366913,0,0.087780098157976,-0.610299920386401,0.174245904130114,0,0,0,0,-4.30070126608543,0
