,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0723668660112538,0,0,0.0432281727095427,0,0,0.0675708137317629,0.12748465487642,0,0,0.127260450088349,0.0587270791879521,0.0906996065475538,0.0256311892428279,0,0,0,0,0
ETH,0,0,0.416166001565349,0.00105871008571311,0.0198628954873279,0,0,0.142757867982286,0.12338165699207,0,0.0930322169311917,0,0,0.0990229856250593,0.0149310475674199,0,0,0,0,0
XRP,0,0.231172399616429,0,0.0133939391204879,0.0612825038914846,0.0149050959077257,0.153349126931144,0,0,0,0.132800998155186,0,0,0,0.138555886644503,0,0,0,0,0
BCH,0,0.143269097010566,0,0,0.156455517136794,0,0,0.0318287516105697,0.139809859194649,0.106728864043444,0,0,0,0.0637927448695361,0.141250889554433,0,0,0,0,0
EOS,0.746409640856135,0,0,0,0,0,0,0,0.148779313468589,0,0.341040723368054,0,0,0.0555244632606488,0,0,0.164762697868368,0,0,0.0375372518972973
LTC,0,0.0253360919749282,0,0,0.216552589687104,0,0,0.23262221532588,0,0.000000000000000000867361737988404,0,0.0435398561451911,0,0.113562709251987,0.0676253064051382,0,0,0,0,0
XLM,0,0,0,0.141241481918101,0.162787645339004,0,0,0.281178988476009,0.0822015969441442,0,0.0312271211494606,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.150872216174533,0,0.0524261400524534,0,0.146671122777059,0,0.310967507667027,0,0,0.0223031263840205,0.14295655035911,0,0,0,0,0
MIOTA,0,0,0,-0.245671016314669,0.0950074632316719,0.0582430690588167,0.490130604786103,0.134386399368055,0,0.756551175115392,0.00539569145889861,0,0,0.0735622882530468,-0.235768554777122,0,0,0,0,0.0611762003019033
NEO,0,0,0,0,0,0,0,0,0.122753232697084,0,0.20205147495906,-0.000000000000000000433680868994202,0,-0.000000000000000000216840434497101,0.442766987392113,0,0,0,0,0
TRX,0,0,0.0957357688690463,0.537679561615843,0.155578503274484,0,0,0,0,0,0,0,0,0.0641301854553066,0,0,0,0,0,-0.0000000000000000000271050543121376
XMR,0.16667442742984,0,0,0.0364892521775744,0,0,0,0.237418018009603,0,0.192092598191916,0.0944757352283208,0,0,0,0.139120063500541,0,-0.0655321785579629,0,0,0
DASH,0,0.121479950534039,0.133846378620863,0.00743992145206827,0,0,0.0402362772582519,0,0.0222109162532373,0,0,0,0,0,0.300266816344189,0,0,0,0,-0.0657687647333977
ETC,0.521487674421307,0,0.435309072633629,0,0.0267849807106639,0,0,0,0.0320286599347539,0.158530321386276,0.0993017757803463,0,0,0,0,0,0,0,0,-0.126855013779724
XEM,0,0,0,0,0,0,0.357738003105973,0,0,0.233895774199517,0.187423995828963,0,0,0.0977406039936947,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.136903039259473,0,-0.0148091562892803,0,0,0,0,0.14534224381666,0,0.0137487416805259,0,0,0,0,0,-0.131290962926897
CVIX.INDEX,0,0,0.280643693079218,0,0.0251278268984926,0.159505929064128,-0.0291600287166974,-0.130891885473611,0.0748946469082241,0.0134659680882355,0.140954880905675,-0.0999955530672876,-0.3248606119306,0.0194673588685967,-0.096148747683357,0.241665550672826,0,0,0,0.135424375597388
DXY.INDEX,0,0,0,-0.0260496283304807,0.0228819229844417,0,0.0292036891945847,-0.0592245537052556,0,-0.0109000663310217,0.0349306116655594,0.00231354434112252,0,0.0271715114603826,-0.0248202844505034,-0.00255661499977401,0.0215819260407752,0,0,0.0100977035038151
SPX.INDEX,0,0,0,0.00846947986893601,0,0,0,0.00438393867826588,-0.0235549241094264,0,0,0,0,0.0112406684776341,0,0,0,0,0,-0.0564550138598564
VIX.INDEX,0,0,0,0,-0.248347122163631,0,-0.0746875062776507,-0.19545849705705,-0.051014862228457,0,0.0936794969630311,-0.246097597145551,0,-0.0784401253666735,0.636499464951727,0,0.303862446739996,0,-5.25229926193916,0
