,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XEM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.838928618161819,-0.0502831430941164,0.108317244526774,0,0.0081127303490762,0.204136713266968,0.0354266571946509,0,0,0,0,0.0605640273485414
XRP,0,0,0,0,0.00000000000000000346944695195361,0,0.114007717925044,0.0551903962951378,-0.0327250048914382,0.0995946884132685,0,0,0,0,0.0190305226015162
ETH,0,0,0,0,-0.149521310559932,0.0319312350897649,0,-0.0245863387038029,0,0.0729039143250148,0,0,0,0,0.104149962475823
LTC,0.728089839483843,0,0,0,0.0516395691803048,0,0,0.00797917327456048,0,0,0,0,0,0,-0.0522225528180709
DOGE,-0.409152458299572,-0.229029962883023,-0.0324366703383727,2.10437561529467,0,0,0.779822226765297,-0.0991309699785463,0.224553427776232,-0.17189528093139,0,0,0,0,0.157328022165935
DASH,0.545327404587669,0.283206510472485,-0.349874333383724,0,0.0233947763598916,0,-0.362637036086363,-0.0653010208486956,-0.418484456362345,0.0529470626850502,0,0,0,0,0
XLM,0,0,-0.00331187839023233,0,0.332095762599524,-0.192366173508443,0,0.103313114587575,0,0.106008178120117,-0.425976325674466,0,0,0,-0.157041830240619
XEM,0,0.150749131255442,0.0911873005207911,0.0339804144870757,0,-0.0853378153511016,0,0,0.207995315337874,0.043989575890399,1.75834930766756,-4.23508462611581,0,0,0.373065741021668
XMR,0.555720233579779,0,-0.143735002809744,0,0.0522193588704553,-0.0874828952886683,0,-0.0799405452527751,0,0.0578548358802538,1.03033709958789,0,0,0,0
DGB,0.613179128385152,0.156082071729889,0.0546977060025979,0.499210366523531,-0.419172537641205,0,0.167859098780055,0.160649074730643,0,0,-1.39158849842224,0,0,0,0
BV010082.INDEX,0,-0.00208237370011545,0,0.0125806952453952,0.0298033578873903,0,0,0.0265075768184129,-0.00764087327571859,0,0,-0.199987328102839,0,0,-0.045434826749358
CVIX.INDEX,0.0273784206475838,0,-0.001828919163118,0,0,-0.066221424545935,0,-0.034295019951705,0.0256763898687039,-0.0149699785096159,0,0,0,0,0.105352919285851
DXY.INDEX,-0.0392032697810708,-0.0165728554298428,0,0,-0.00342724592656972,0.0293856878803795,0.0473124381815972,-0.0101351922095853,0.0354542129251014,-0.0214884767302588,0.0770608561695639,0,0,-0.0788134180333167,-0.0233521789140068
SPX.INDEX,0.0132413436227209,0.0175833144518004,0,0,-0.00115952481278976,0,0,0,0.00288876284070377,0,0,-0.0164159320969571,0,0,-0.12834595356379
VIX.INDEX,0,0.343412116034626,0,0,-0.0342457069835594,0.186888304777383,0,-0.156545532243356,-0.139119198229173,0.0479460917279383,0,0,0,-3.62882325773085,0
