,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0737687594625324,0,0.0642401426642455,0.0476678682489756,0.14543655649371,0,0,0.0216327982736375,0,0.0917755009337393,0.0477571173947904,0,0.0317179719969529,0.015380243139919,0,0,0,0,0
ETH,0,0,0.195932596911775,0.0506039209841377,0,0.361355655209341,0,0.0803619899573027,0.00155198186216299,0.0568583461856162,0,0,0.165494656382068,0,0.122346074819798,0,0,0,0,0
XRP,0,0,0,0.0428221546173495,0,0.260307362479864,0,0.0231095272793923,0,0,0.258484611437856,0,0,0,0,0,0,0,0,0
EOS,0,0.250933665255704,0,0,0.100954676847927,0.270692039940535,0,0,0.255064019206556,0,0.0730156153667907,0,0,0,0.146863728692366,0,0,0,0,0
LTC,0,0.122612472095199,0,0.083392602471551,0,0.268078927091486,0.138087213906366,0,0,0,0,0.088977337217969,0.305564755559971,0,-0.061536219899879,0,0,0,0,0.0860158665665182
BCH,0,0.0885921988787139,0.313539851637146,0.259695581002204,0.193971630502171,0,0,0.0316407018925988,0,0.223823933158941,0,0,0,0,0,0,0,0,0,0.106929260974753
XLM,0,0,0.14267105481088,0,0.0165668236003579,0.0964038389854129,0,0,0,0.081909253391594,0.283794546105717,0,0.121951180974421,0,0,0,0,0,0,-0.0163145787604928
TRX,0,0,0,0,-0.104477938189157,0,0.116064167056842,0,0.0166032079799508,0,0.520398440369886,0,0.23175186367726,0,0.0302157118736509,0.0326719071073818,0,0,0,0.051489377983202
BNB,0,0,-0.119170621935596,0.10578563222364,0.231820653346926,0,0,0.44133369223085,0,-0.0550214007146957,0,0,0,0,0.0803589569064579,0,0,0,0,0.059474179625761
BSV,0,0,0,0,0,0.418743802027156,0.00275306095640579,0.0171172989461391,0,0,0.182266785655759,0,0.0797404637176176,0,0.0542133815077207,0,0,0,0,0
ADA,0,0.22790151469948,0.107686643291996,0.0704972204085389,0.174446514624443,0,0,0.0621301074716128,0.0285746700527751,0.109395430563797,0,0.019420262001601,0.189676568834117,0,0,0,0,0,0,0
XMR,0,0.330719561194469,0,0.0587467271978774,0,0,0,0,-0.00000000000000000693889390390723,0.112755379443968,0.0959728076624689,0,0,0.105789785018607,0.0236074503778686,0,0,0,0,0
MIOTA,0,0,0,0.480007496627365,0.00000000000000000173472347597681,0,0,0,0,0.115182514620941,0.115019003769813,0.0561019062963108,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.217782290020187,0,0,0,0,0.255746041736294,0.105704567813894,0.241666915929088,0,0,0,0,0,0,0
MKR,0,0.424804816395825,-0.367128254479698,0.295101139882221,0,0,0,0,-0.0564782909157915,0.136935282735896,0,0.305905611631997,0,0,0,0,0,0,0,-0.00738884011651363
BV010082.INDEX,0,-0.474603922152436,0.140194754275199,0,0,0,-0.0369539002112708,0.0817340910739829,0,0.078200355559112,0,0.0220932832470265,0.110384935746967,0.0733417932121657,0.129852040875337,0,0,0,0,-0.0000000000000000000016940658945086
CVIX.INDEX,0,0.126872097300517,0,0,0.125755822316057,0,0,-0.189144127319204,-0.0426604924314062,-0.144658602105997,0,0,0,0,0,0,0,0,0,-0.0856704815616175
DXY.INDEX,0,0,0,0.001056424807211,0,0,0,-0.0422428462615799,0,-0.0112441335094087,0,0.014094471058221,0.0169443275778672,0.0309185144197048,-0.0110247603409358,0.118988833587716,0.00892511420544652,0,0,0.0236416842922149
SPX.INDEX,0,0,0.00648689804824121,0,0,0,0,0,0,-0.00145850267668708,0,0,0,0,0,0.233822004342616,-0.0126595771698917,0,0,-0.06412635051488
VIX.INDEX,0,0,0,0.118824798392503,-0.432825666072744,0,0,0,0.394317548857844,-0.0490651069976933,0,0.234482137620729,0,0,0,-0.0569090815947113,-0.291101176164292,0,-2.37029998161315,0
