,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,TRX,XTZ,XLM,ETC,XMR,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.173961178277012,0.000000000000000000433680868994202,0.0278682168958694,0.143220498860866,0,0.00699074111195959,0.0611540844794605,0.0226060093387395,0,0,0,0,0,0,0,0,0.00502387091646619
ETH,0,0,0.0967456064682731,0,0,0.319761670399547,0.0478034771678608,0.0526406638808539,0.053569466457621,0.217936991613005,0.00364832187041828,0,0,0.0557954637733061,0.00292080875553737,0,0,0,0,0
XRP,0,0.389104937476108,0,0.0978999097886637,0.010822426381742,0.0366773746421332,-0.000000000000000000216840434497101,0,0,0.0805827597157303,0,0,0,0.0141591643549016,0.0183150706339673,0,0,0,0,0.0324413505208553
BCH,0,0,0,0,0.239662094576467,0.259218155412898,0,0,0,0,0,0.192557894845972,0.0417519867781573,0.093050679454909,-0.000000000000000000867361737988404,0,0,0,0,0
BSV,0,0,1.14952952063672,1.08967884088156,0,0,0.636281829378661,0,0,0,-0.0909577835154431,-1.94491337174023,0,-0.428961014075013,-0.127950503142379,0,0.618405718761217,0,0,-0.241988086657209
LTC,0,0,0,0.231135995427211,0.020002171495509,0,0.255845236555388,0.153104383853714,0,0.136902602325195,0,0,0.0326088196063507,0.0765695740022048,0,0,0,0,0,0
EOS,0,0.481745843437744,0,0.0512494389770425,0.0552498041586676,0.120526026104419,0,0.0321061464138203,0.0644688492584718,0.0902196445169466,0.0392720517443189,0,0.0321578046412892,0,0.0176596902242088,0,0,0,0,-0.00148780143506222
BNB,0,0,0.228856457706193,0.0954680641451634,-0.0169769406099316,0.173988497179251,0,0,0.155946675685907,-0.00000000000000000173472347597681,0,0.0180811502293443,0,0,0.0909976964549717,0,0,0,0,-0.00588924621213146
ADA,0,0.0748107789602619,0.205084554421177,0,0,0.0719478424004713,0.0963374526561512,0,0,0.276829855219911,0,0,0.124572910513799,0.187325664019328,0,0,0,0,0,0
TRX,0,0,0.304402080240298,0.107158727011987,0,0.165246837550294,0,0,0.190885507481063,0,0,0,0.0437952900607443,0,0.104276356395764,0,0,0,0,0
XTZ,0,0,0,0.0132758059325443,0,0.192157487292656,0,0,0,0,0,0.29246645317597,0,0,0.0936592684281281,0,0,0,0,-0.0110876891982231
XLM,0.382314165737376,0.0251201078690604,0.603475854318604,0.100517845447509,-0.0672298180727375,-0.212201140618536,0,0,0,0.186582865014041,0.0143660138185712,0,-0.103814387857997,0,0.016253375178884,0,0,0,0,-0.0738623874051109
ETC,-0.0772188864564321,0,-0.348542171377873,0.411546310637711,0,0,0,0,0,0.0590087065309071,0.147903144564332,0,0,0.217182450511032,0.449039512612457,0,0,0,0,0.0564206945828748
XMR,0,0.255223588866224,0.0928231069707969,0.0864063146803949,-0.0793146907492667,0,0,0,0.225330069535433,0,0.0334991497584566,0,0,0,0.154193863902976,0,0,0,0,0
DASH,0.00606292326168491,0,0.000000000000000000867361737988404,0,0.196426761659456,0,0.352445580840337,0.562114230921369,-0.275363568583057,0,0,-0.135093225317789,0.121135048307839,0,0,0,0.315405723283184,0,0,0.0864989215623665
BV010082.INDEX,0,0,0.0402379492864067,0,0.0376025987055048,-0.360762172642275,0,0,0,0.188932805448741,-0.0266382597165604,0.135867184864568,0,-0.0091264066904401,0,0,0,0,0,-0.0883987567551249
CVIX.INDEX,0.0824712577078553,0,0.0140901964023193,0,0.0378883675934982,-0.150192274113618,0,-0.221737433748985,0.266723320794408,-0.285029953664232,0,0,0,0.341805231959423,-0.00228581502529566,0.49776374783358,0,0,0,0.181434119531367
DXY.INDEX,0,0,0,0,0.00139993484057107,-0.00782402437583913,0,0,-0.00135355253073593,0,-0.00604510765912156,0.0253282035113629,0,0,-0.00257419813329459,0.0585179497326875,-0.0232527945612284,0,0,0.0076034122666683
SPX.INDEX,0,0,0,0.00841009408098412,0.00332789476556336,0,0,0.0152054098616552,0,0,-0.0138290396244489,0,0,0,0,0.112340115867518,0.00727875346755607,0,0,-0.0560364713159537
VIX.INDEX,0,0,0.493594969591427,-0.434186826748211,0.0298445332871019,0,0,0.331760231655092,0,0,0.026066381860735,0,0.274348195567934,-0.217845312412164,-0.041806613919124,0,0,0,-4.70836784254403,0
