,BTC,ETH,XRP,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.075789275902317,0.0568226445578715,0,0.103128473892739,0,0.209730027442937,0,0.0145721735923599,0,-0.191550850295458,-0.0952173411442656,0.185639948129227,0,0,0,0,-0.0725241842320945
ETH,0,0,0.0846327583032379,0,-0.0887528799853863,-0.121098969894497,0.286580254330769,0.856534169217768,-0.134451667708477,0.0601647460146166,-0.454868694391133,0,0.0540773873778251,0,0,0,0,0
XRP,-0.165676781741724,0,0,0,0,0.0294707944755333,0.160143417035762,0,0.529192229822113,0,0.298824443782276,0.208614033149971,-0.577469366013347,0,0,0,0,0
LTC,0,0,0,0,0,0.0843638674881398,0.0421156404451946,0,0.0925247973506993,0.207292188980389,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0850655753261526,0,0.082970525787884,-0.185712998301089,0,0.304501806215723,0.146655990266012,0,0,0,0,-0.147631456756417
DASH,-0.191796547107072,0,-0.135721648886011,0.059177366479561,0.185872210716519,0,0,-0.136970642747747,0.174576394958783,-0.144083302110889,0.147049597936185,0.060489004025969,0,0,0,0,0,-0.108816695211074
ETC,0,0.307859768340217,-0.0381280188897468,0.166683373594341,0.0690161468416558,0,0,0.0938587007000741,-0.00454046312303036,0,0.174329411742213,-0.103512364252928,-0.0464219885121586,0,0,0,0,0.183851805448324
XMR,0.0771768527724104,0.3160369942335,-0.0454638524446336,-0.148209864720925,0.0651234293051362,0,-0.0978469812139473,0,0.159201348510095,-0.159722163953767,0.124762286018475,0.0110722379486028,0,0,0,0,0,-0.148855382828563
XLM,0,0,0.306680367562846,0.146444045808113,-0.129159855428219,0.0148760508819912,0.238375715058204,0.476379057827719,0,0.325299704090964,0,0.0507466998736882,0.26015337055726,0,0,0,0,0
DOGE,0,0.046789100598133,0,0.254136278234708,-0.10271760337226,0.106494697268782,0,0.134873541115418,0.252966662973019,0,0.223692390819287,0.106954051976184,0.0341524707681796,0,0,0,0,0.498692336501241
ZEC,-0.0847438775479842,0.021410174378289,0.0318097397540524,-0.00728891248978447,-0.0293986940950429,0.122409349266089,0,0.316203549841495,-0.0832706318118112,0.236856659484417,0,0,0,0,0.147057969133191,0,0,-0.179992453536301
NEO,-0.458858739060673,0,-0.0766821976644406,0,-0.0659868023509909,0.0740135236232271,-0.10239646790746,0,0,0.126330303056812,0.240483135414252,0,0.0565921101574908,0,0,0,0,0
DGB,0.073733957519449,0.0722759483646797,-0.0148114749049773,-0.203750934386621,0,0,0,0,0,0,0,0.206004723124896,0,0,0,0,0,0
BV010082.INDEX,0.0515766492344202,0,0,-0.00508134979497275,0,0,-0.0478227219253103,0,0.0110704072775348,0,0,0,0.0160962023659993,0,0,0,0,-0.0354071072848512
CVIX.INDEX,0.0317803805244001,-0.0374433798576274,0.0120407781931283,0.0609010940381629,0,-0.0870629845643961,0,0,0,0.00000000000000000010842021724855,0.138554106176269,0,0.037380803919655,0,0,0,0,0.301612536404992
DXY.INDEX,0.0351466048354214,0.00777233611266284,0.000622767190614452,0.00378152847555375,-0.0059903768665294,-0.00679380312230582,0,0,0.00119172062854557,0,0,0,-0.00237903598740204,0.0824488783780652,0,0,0,0.0275834804540669
SPX.INDEX,0.00773627799121521,0.00683993365121727,0,0.00294659549005716,-0.00301326768735537,0,0,0.0060045515803045,0.00277913794012005,0.00225739340094818,-0.00354827325410009,-0.00204103876929337,0.00125513883104913,0,0,0,0,-0.0400244072404095
VIX.INDEX,0,0,0,0,0,0,0,0,0.0690012324085059,0,0,0,0,0,0,0,0,0
