,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,LEO,DASH,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0202527690706707,0,0.302017271507237,0,0,-0.0170987505617032,-0.0284360614553249,0,-0.0722968201334281,0.554519665220163,0.00858608171334849,0,-0.0765389761752476,0,0,0,0,0.0886753652497494
ETH,0.318822336859318,0,0,0,0.0583331527522513,0,0,0.0312446195582579,0,0.25248739030217,0,0.180509311616992,0,0,0,0,0,0,0,0
XRP,0.195120580280636,0,0,0.0777972562889825,0,0.184911853435348,0,0.0278842679309405,0.0291306947200852,0.0294232613652677,0.159655269279396,0.149881707719228,0,0,0.00469791480898705,0,0,0,0,0.0173103548667583
LTC,0,0,0,0,0.13680304737043,0.0947249699143477,0,0,0,0.144989470093364,0.0999830458721847,0.290132120404797,0,0,0,0,0,0,0,0.0143838818275422
BCH,0.692450757179584,0,-0.0278072623285111,0.145955980684958,0,0.0165275649415269,0,0.0406469318225662,0,0.142115549384321,0,0.00534931964820354,0,0,0,0,0,0,0,-0.016271750192219
EOS,0,0.290964155517702,0,0.11149287182417,0.449304081694963,0,0,-0.00874073917561033,0.0117951436169377,0,0,0,0.0902036031595252,0,0,0.244751207349862,0,0,0,0
BNB,-0.582056191999186,-0.00000000000000000173472347597681,0,0,0.329727267420326,0,0,-0.00366120768062884,0.254299313086133,0,0,0.0952115435476423,0,0.239848505853415,0.0444828808153366,0,0,0,0,-0.0727177348998287
BSV,0.647020703309809,-0.0751286560153792,-0.0612885246090049,0,0.00000000000000000346944695195361,0.00000000000000000693889390390723,0,0,0,0,0.273337450115712,0,0,0.0878307560519631,0,0.358809508990042,-0.322721049023107,0,0,0.118420687839062
XLM,0,0.0539797964818854,0.406531058708918,0,0.0476673223484926,0.0110447457613595,0,0,0,0.198587155252329,0,0,0,0.0397654366306992,0.0364409802910977,0,0,0,0,0.0070650921763554
ADA,0,0.158330812238134,0,0.219383145772143,0.124719643663702,0,0,0,0.0456745012587663,0,0.179374418268979,0.129844703129419,0,0.06863809616662,0,0,0,0,0,0
TRX,0,0,0,0,0,0.28071586671573,0,-0.0163553333690444,0,0.349040521233745,0,0.243570594166187,0,0,0,0,0,0,0,0.198969997136706
XMR,0.28928840355779,0,0.00424891326415989,0.0842543753943386,0,0,0,0.0170532864571574,0,0.168689020024564,0.124292390784061,0,0,0.257996943718426,0.0116082046274537,0,0,0,0,0
LEO,0.233657311729727,0,0.217291615595319,0.224744752384122,0,-0.0556454924956672,0.2105541327435,0.0394311598030574,0.340529893824279,-0.0662383033424141,-0.271287533401614,-0.502537358549796,0,-0.0838404059409866,-0.13200243114822,0,-0.0834296543319603,0,0,-0.00000000000000000346944695195361
DASH,0.132282169894379,0.117222291358696,0,0,0.170769294194076,0.0577109022047993,0.106098145023423,-0.00616705606344112,0.035726521345101,0.0988020262435014,0,0.0690845253734342,0,0,0.124093485079989,0,0,0,0,0.01389957343619
ATOM,0,0,0.0607555829056469,0.169108558053937,0.132462595001893,0.115662795233674,0.587719673794671,0.0274858607478052,0.569860642817554,-0.507321837484094,0,0.0447975192580881,0,0,0,0,0,0,0,0.0208602340154137
BV010082.INDEX,0,0,0,0,0,0.137759838531144,0,0.0409745502351907,0,0,-0.167813870613736,0,0,0.083094728526232,0.151341244453477,0,0,0,0,-0.080026652711088
CVIX.INDEX,0,0,0.249629452238099,-0.051961627846055,-0.0299836364199591,-0.0322004684662674,0,-0.00593651166319854,0,-0.300338709579796,0.14564293104113,-0.0355285374481507,0,0.101696449994984,-0.00559468118632103,0,0,0,0,0.0504047881645895
DXY.INDEX,0,0,0.0111237258487336,-0.00757612177423566,-0.00141615926611308,0,0,0.000445936450243642,0,0,0,-0.0170531793105307,-0.0116762092362668,0,0,0.0693183275745699,0,0,0,0.0123279385916454
SPX.INDEX,0,0,-0.00762988854555728,0,0,0,0,-0.00188183913086448,0,0,-0.027575825354698,0,0.0114244519496547,0,-0.0136993946075659,0,0,0,0,-0.0623758078414642
VIX.INDEX,0,0,1.26506351407914,0,-0.346509988466686,0,-0.0540187645954775,-0.000000000000000000867361737988404,-0.634885516559939,0,0.0272688345178283,-0.714356312219538,-0.281477400542352,0.292578080298465,0,-0.412470092938583,0.153008523095671,0,-2.33989597565387,0
