,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.16033350351916,0,0.0431033780798049,0.0394733535149833,0.10003889383707,0.02939439157467,0.0328680033855402,-0.000000000000000000216840434497101,0,0,0,0.0655540127625053,0,0,0,0,0,0,-0.000196972105885714
ETH,0,0,0,0.141815370404734,0.194655773494528,0.238251194485654,0.0194578871186952,0.0327284663034035,0,0,0.0793405650734805,0,0.0123070643153782,0,0,0,0,0,0,0
XRP,0,0.05363748393933,0,0.0889174011257447,0.0887168849383399,0.108862187086773,0,0.151801070451704,0.0355085025644341,0,0,0,0,0,0.0721085538875277,0,0,0,0,0
EOS,0,0.266404739052241,-0.163292632075795,0,0.175039012107792,0.224917708387832,0,0,0,0,-0.0603582450963723,0.203487401797712,0.174614911328666,0.233043395751046,0.102605832941271,0,0.0256693706339937,0,0,0
LTC,0,0.305118016149299,0,0.168854789372218,0,0.0000000000000000000542101086242752,0.114418260355981,0,0.167360153685841,0.171332241766761,0,0,0.302866257144433,0,-0.187945404158237,0,0,0,0,0.0406127612016996
BCH,0,0.303516520234326,0,0.159018298579092,0,0,0,0.0776272585175525,0.201734705820459,0,0.21517931955863,0,0.041839022305109,0,0,0,0,0,0,0
BNB,0,0,-0.382545877118595,0.0422735403454161,0.312254561147933,0,0,0.0883230223989795,-0.0706811254243748,0.571419902167019,0,0.307802868241114,0,0,0,0,0,0,0,-0.0785761829803439
XLM,0,0.0112498153476741,0,0,0,0.34004254852473,0.0440425536491909,0,0.0316029149725262,0,0,0,0.105044200862471,0.109184352232078,0,0,0,0,0,-0.0155091438591442
ADA,0,0,0,0.107681615072362,0.192239771954224,0.337644493177639,0,0.00497602131252227,0,0.0616337263335564,0,0,0.164431846179204,0,0,0,0,0,0,0
TRX,0,0,0,0.160326190344114,-0.0213539460378074,0,0,0.282354825951402,0,0,0.273377636174672,0,0,0,0.00437648727933835,0,0,0,0,0.0539639529893249
BSV,0,0.189743823892972,0,0,0.0396589627836638,0.265210876054285,0,0.00794340172710668,0.12566352050117,0,0,0,0,0.00443652193001712,0.103975936493772,0,0,0,0,0
XMR,0,0,0,0.0358392678952491,0,0.121756815263958,0,0.217274163292759,0.0847814143422321,0,0.0786214628079873,0,0,0.0139833913894913,0.0349855177287737,0,0,0,0,0
MIOTA,0,0,0,0.155625916804349,0,0.366533397658014,0.00945250645607203,0,0.049935585756137,0,0,0,0,0,0.0279462911312121,0,0,0,0,0
DASH,0,0.136596699178654,0,0.0802097819032306,0.0221122321497189,0,0.0226170866927364,0.151407873940208,0.211321756918912,0,0,0,0,0,0,0,0,0,0,0
MKR,0,0,-0.464427709846358,0.327580233224722,0,0,0,0,-0.0760178366614744,-0.104338045172597,0.588304786449326,0.248644147682616,0,0,0,0,0.0562191156604158,0,0,0
BV010082.INDEX,0,0,0.299697562984191,0,-0.000000000000000000433680868994202,0,-0.000231202136142136,-0.00000000000000000346944695195361,-0.345708922054205,0,0,0.132245879863661,-0.158929484076825,0,0.17427376350815,0,-0.352632747191391,0,0,0.0560321428692286
CVIX.INDEX,0,0.242626983496422,0.380620532250316,-0.0147706264009276,0.0235314963917524,-0.459235025002391,0,0.0412491736434443,0,0,-0.0811548420320583,-0.0173980724538087,0,-0.159599583927059,0.0192221887199795,-0.0295539726084157,0,0,0,-0.144683264480065
DXY.INDEX,0,0,0.0139119859869238,-0.00275880584820873,0,0.0229571209473072,0,0.0274607857010875,0,-0.0319555022272269,0.00602239778572142,0.00361593973315708,-0.0576534858895699,0.0233853773208342,0.0016366155201063,0.00655392490552149,0.0313492583943289,0,0,0.0311264517495246
SPX.INDEX,0,0,0,0.00772617100034718,-0.0032487699819989,0,0.00203005126847589,0,-0.0280506785251583,0,0,0,0,0,0.00420995539469176,0,-0.020386820507112,0,0,-0.0758865789383845
VIX.INDEX,0,0,0.199590350776578,-0.351141862217947,0,0,0,0,0.0866199339997724,-0.0185766912235913,0,-0.00000000000000000346944695195361,0,-0.102520494304708,0.0822923684760591,-0.32644686546322,0,0,-4.15059339484671,0
