,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0360138080012247,0.241752405653702,0.0739625616920595,0,0.0330286957617594,0,0.156769247977271,0.0266369538275231,0.0192533880262893,0,0.00725728425898181,-0.0951813329579081,0.103954854224947,0,0,0,0,0
ETH,0,0,0,0,0,0.0943094576101055,0.253444454964048,0.0313859765264462,0,0.0605752786031861,0,0.0970840000029543,0.172643373887528,0,0.0310848872894825,0,0,0,0,0
XRP,0,0,0,0.0451357395066532,0.248556641418171,0.193947958543793,0.12159433474851,0,0.0256938288319686,0.0289756974630953,0,0,0,0.268762665096926,0,0,0,0,0,0
LTC,0.266299871612281,-0.0538581931864211,0,0,0,-0.12985444646196,0.230336051555628,-0.0222452500931171,0.0374718607432947,0,0.125231329300519,0.0344985738060686,0.178651047470591,0.0256650693300668,0.00767516177630748,0,0,0,0,0
XEM,0,0,0.394191294765013,0.133647962286147,0,0,0,-0.0469844214836786,0.266667704406521,0.00738015293799617,0.0168881432230737,0,0,0.0177981409714051,0.0244304437266905,0,0,0,0,0
DASH,0,0.0503042689702216,0,0.108497006741731,0,0,0.2023456091715,0,0.166585069173917,-0.000000000000000000867361737988404,0.0231163904960871,0,0,0,0.128455753396334,0,0,0,0,0
ETC,0.0544808900806459,0.20069612295162,0,0.211242398350962,0,0.110943473610995,0,0.0217265637925034,0.124863628830129,0.0256747864692775,0,0.00742976348412782,0,-0.117399021684305,-0.0157616805213244,0,0,0,0,0
MIOTA,0.490744981791498,0.080835597693542,0,0,0,0.266937716779698,0.0956427590424497,0,0,0.0323774290464624,0.0728330767523974,0.156154706054282,0.175598861782161,0.0790208566978843,0.0825756346544607,0,0,0,0,-0.173529267383713
XMR,0.0332183538950669,0,0,0,0.245282260023934,0.377982437766629,0.0511493339805654,0,0,0,-0.00229140730210933,0,0,0.15965289290793,0.0401605644760745,0,0,0,0,0
EOS,0,0.405018107462403,0,-0.208115085162265,0.273770252196518,0,0,-0.00000000000000000693889390390723,0,0,0.122950866252211,0.121922277910731,0,0,0.168484423181401,0,0,0,0,0
NEO,0,0,0,0.0807713666072458,0,0.103802235147122,0,0,0,0.0274649002014714,0,0.536530684724623,0,0.0885982175267118,0.0198421450200691,0,0,0,0,0
ZEC,0,0.162099343960971,0,0,0,0.109094806976079,0,0.127089246392531,0,0.0165090139637293,0.051640982315036,0,0.0547482061695994,0.14568773568553,0,0,0,0,0,0
DOGE,0,0,0.132309442164961,0,0.458862648465548,0,0,0.0741772312535022,0,-0.0561695562498304,0.0144493606201062,0,0,0,0.065648558849062,0,0,0,0,0
XLM,0,-0.00000000000000000693889390390723,0.672741529558335,0.202695308660871,0,0,-0.130378885256974,0,0.39740947797598,0.064900671700648,0.0207993268992953,0,0,0,0.110015984814422,0,0,0,0,-0.207138553364169
DGB,0.196315134958542,-0.44783800827062,0.220949354541755,0,-0.143414856150515,-0.246148739624635,-0.00520483386369508,0.387010492325605,0.200266148787757,0.193352799055366,0.0342008778897628,-0.676224898355606,0.567701017318722,0.650057409204702,0,0,0,0,0,0.438420177605696
BV010082.INDEX,0,0,0,0.00406915400798835,-0.000944978652807138,0,-0.0314489693505296,0.0120283217869525,0,0,-0.00581113253100383,0.0631084408515306,0.0123607314918359,-0.00915141319811527,-0.017251635268326,0,0,0,0,0.0317400307348687
CVIX.INDEX,0,0.022816249496934,0,-0.0111364418186583,-0.0155499145207166,-0.0289382883674696,0,0.0304730450638386,0,0.0244760781895903,0,-0.0537317110771342,0.0910649876862548,-0.0077648991246092,-0.0471326110084471,0,0,0,0,0
DXY.INDEX,0.0243315255487018,0,0.00618752008729204,0,-0.00892159965712669,0.00580479040180891,0,0,0,0,-0.00469130068281462,0.00234572235319212,0,-0.00113141300998419,-0.00543047270950121,0,-0.0264730491821951,0,0,-0.0140009125537526
SPX.INDEX,0.00296021542208325,0.00339620987594389,0,0,-0.00486779448780349,0,-0.00479928998194338,0,0,0.00151418203225116,-0.0000769561767952849,0.00317226588699163,0,-0.00138586039766832,0.00131869879306715,0,0,0,0,-0.0615332602290207
VIX.INDEX,0.155925061555985,0.333041340690747,0.0722994943729343,-0.0258135454223698,-0.101737682158726,0,0,-0.109588529636506,0.118549314387633,0.0255945480991022,-0.0583732794853176,-0.0728492809894088,0,0,-0.00685210433073418,0,0,0,-1.17506963536917,0
