,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,ZEC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0272017299875117,0.00521650324013531,0.0643950630896689,0.00166041848845795,0.0286925003723386,0,0,0.0149406064628367,-0.00295601799804097,0.0114876755196893,0,0.013461679798851,0,0,0,0,-0.0099259125560415
ETH,0,0,0.135773441820251,-0.0642963714896649,0.0368750672802528,0.0927661030640053,0,0,0.0510803321385804,0.0974605898519631,0.02776007876842,-0.0452307849478047,-0.0586437493994011,0.773394148685218,0,0,0,0.0367535548301602
XRP,0,-0.360713378996595,0,0,0,0,0,0.120810713820649,0,0.392438961994813,-0.0984997178373224,0,-0.0442687000415128,0,0,0,0,0.0438088513559637
LTC,0.453041542460846,-0.0404042117922271,0,0,0.0998259672445753,0,0,0.00018196441818796,0.154128647089228,-0.00661741066921188,0.00620631815582721,0.0547526334194608,0.0014021903438271,0,0,0,0,0.0384756023596847
ETC,0,0,0.0827941840566974,0,0,0.039070377081078,0,0,0,0,-0.0486586390616055,0,-0.0654278734084182,0,0,0,0,-0.0547182537882797
XMR,0.932053947046773,0.342092019555796,-0.0491809883324591,0,0.179530687011386,0,0.25687631351151,-0.0048931062949862,0,0,-0.21332698194827,-0.00000000000000000346944695195361,-0.108147320200885,-0.82444159402788,0,0,0,-0.0690779408025833
DASH,0,0,0,0,0.0316844524653582,0.118342008610513,0,0,0,0,-0.0666572048220409,0,-0.114383228768284,0,0,0,0,0
XEM,0,0.124590332024736,0.18850117761179,0,0,0.179077741769716,-0.142852949525138,0,-0.00000000000000000346944695195361,-0.00585873393418923,0.042728712868478,-0.0407194143442308,-0.0784608048670282,0,-1.02909604415724,0,0,-0.00081544984454497
DOGE,0,0.0851372688738908,0.0447730100650458,0,0,-0.125700087005149,0,0.048344925642334,0,0,0.0306389876530121,0.059966540843132,-0.00759829460285208,-0.361938970074867,0,0,0,0.0485291938466134
XLM,0,0,0.544934133365283,0,0.138029731384936,0,0,-0.15192006303418,0,0,0.0306864545164791,0.121456249238595,-0.0768211973643792,0,0.514143478722776,0,0,0.0261133636112109
NEO,0,0.818504880943106,0,0,0,-0.788007830777032,-0.477926654929983,0.377246086508644,0.344340986257986,0,0,0,-0.165808286734616,0,0,0,0,0
DGB,0.557095072819527,-0.743416891676954,0.283421166669522,0,-0.245925014011748,0,-0.099933360100496,0.272423190481572,0.123715255172114,0.0401791127946825,-0.0796576790123262,0,-0.142571412562818,1.36027875417664,0.768752092277924,0,0,0.00765023043486275
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0553277164099393,-0.0625643559038476,0,0,0,-0.136474622345946,-0.0147797220172093,-0.323279148096753,0.0287745740343963,0,0.0494025929317305,-0.0181690048441731,0,0,0,0,0.0430776252224605
CVIX.INDEX,-0.389887899829643,0.0952151873979397,0,0.367155833984427,0,0.0146018013616819,0,-0.0837163538632007,-0.122955304034626,0.0768112376147597,0.0123662533350722,0.0101306459737977,-0.0000284360285801481,0,0,0,0,0.0971421288387429
DXY.INDEX,0,0,0.00505219851755579,0,0.00275112969712866,0,0.00836277289494423,0,0,0.0036571787923871,-0.000916341427513538,0,-0.000669901211027299,0.104832533089554,0.0127482578601494,0,0,0.00178042637730992
SPX.INDEX,0,0,0.00159709040759122,0,-0.00500219066594421,-0.0184497509069408,-0.00764760231097567,0.000000000000000000867361737988404,0.0148371754050107,-0.00447349560321546,-0.00643307641148542,0,-0.00518493343063558,-0.055496259508768,0,0,0,-0.0693022190314607
VIX.INDEX,0,0.239262319369074,0.0852183628410003,0,0,-0.318490432362794,-0.132862052768597,0.0657424267004936,-0.204752404499288,-0.137928238719618,-0.0587002439793391,0,-0.0636569154977794,0,0.786644377335021,0,-5.1606256374312,0
