,BTC,XRP,LTC,DASH,XLM,DOGE,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.571445913462595,0.0194605822787101,0.0568930416609891,0.247029932122196,0.0501978859459512,-0.0410744096652846,0,0,0,0,0,0
XRP,0.239051374398405,0,0.476538123848523,0.0887286035760779,0,0,-0.200854955130566,0,-0.0195963653432382,0,-0.0380411967585046,-0.404165743401015,0,-0.126428512440413
LTC,0.898276143920617,-0.0542020995907054,0,-0.0953995891267271,0.13921805757687,0,0,0.0202064709568354,0.0371909606203034,0,0,0,0,0.119166532381725
DASH,0,0.347897726718989,0,0,-0.125312338073086,1.15510123526198,-0.133501000987395,0,-0.125518434261914,0.445030488414227,0.194984113432522,0,0,0.155137409072114
XLM,0,0,0.623746139491571,0,0,0,0.00657304759913503,-0.0933679271673449,0,0,0,0,0,0
DOGE,0.592962208270853,0.059138093832194,0,0.0543221638584022,0,0,0,0.0518076625897536,-0.0593652212563626,0,0.0518344939550899,0,0,-0.0645606285558731
XMR,0,0,-0.00000000000000000346944695195361,-0.00647611918686788,0.265185309582454,0.705247717790418,0,0,0,0,0,0,0,-0.407081264098863
XEM,-0.499834762527612,-0.947700844337415,0.866938448632509,0.433642423910748,0,1.0453981219175,-0.302819341151552,0,0.17571297142457,0,0,0,0,-0.41467643601211
DGB,1.05250657680096,0.232448851027822,0.164361110255246,0.1100377238058,-0.352094310988783,-0.48874189661941,0.119877326003353,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,-0.0189182743893205,-0.0199757612059498,0,0,0,0,0,0
CVIX.INDEX,0.372963739723666,0.10287629290039,-0.467254365827043,-0.0032504959376471,0,0,-0.0273597887936667,-0.00709901864046942,0.047109060114309,0.0181288413985483,0,1.10727824280107,0,0.147768857578107
DXY.INDEX,0.0366416224109344,-0.0340840897774936,0,-0.0139755535761212,0,0,0.00788091879979862,-0.0230223739265698,0.00995699477601202,0.221579177720869,0.108492047504968,0,0,-0.0180111463981294
SPX.INDEX,0,0,0,-0.00926750473962129,0.0127226886025273,-0.0254881447368294,0,0.000454632459729929,0.00532572198915511,0,-0.00598207857283291,0,0,-0.101349834059125
VIX.INDEX,0,0,0,-0.0260212430041707,0,0,-0.0959150576821691,0.00257356698266759,0,0,0.109698668229833,0,-5.63254861422481,0
