,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0144216142389104,-0.0163448947179437,0.00980119257912891,0.276120206469372,-0.0139105999141245,0.079545014677582,0,0.0133021308323149,0,0,0,0,0,0,-0.0581760537863215,0,0,0,0
ETH,0,0,0,0.0453284787196794,0.31204771195771,0,0,0.311290957926154,0.0739224983635442,0.0682862019556051,0.056105552598633,0,0,0.0489648406406114,0.074647708488695,0,0,0,0,0.0163169244722053
XRP,0,0.00000000000000000693889390390723,0,0.150931054746217,0,0.102963861336106,0.0694168156628927,0.0832819546287718,0,0,0.42994260948203,0,0,0,0,0,0,0,0,-0.0346141155866454
BCH,0,0.296441308729114,0.0689780125689246,0,0,0.00993754112709119,0,0.152599660307619,0,0.26917421513067,0,0,0,0,0,0,0,0,0,0
EOS,0,0.504204702764624,0,0.168966356337035,0,0,0,0.0521572768111776,0,0,0,0.199369189206015,0,0.086999666732474,0,0,0,0,0,0
XLM,0,0.179550110386241,0.155512060683636,0,0,0,0,0.136437666692447,0,0.16221342781709,0.048532543527812,0,0,0,0,0,0,0,0,-0.0258074544006377
LTC,0,0.261991006534337,0,0.139438323205248,0.0284726744734815,0.0854628963223183,0,0,0,0.0904412653075483,0.140814856306578,0,0,0,0,0,0,0,0,0
ADA,0,0.0817967589587645,0.0814217147517041,0.0696768244800877,0,0.0216996242338539,0,0,0.00000000000000000346944695195361,0.22384040097155,0,-0.00642101056916434,0.185990101201958,0,0.420042824365613,0,0,0,0,0.0260465985375042
XMR,0,0.331946717548602,0,0,0.268096838898945,0,0,0,0,0,0,0,0,0.188201773522393,0,0,0,0,0,0
TRX,0,0.275041006099351,0,0,0,0,0,0.352034653388711,0,0,0.0805222970776004,0.210811713877027,0,0,0,0,0,0,0,-0.0607039235197757
MIOTA,0,0.147412408490311,0.0813000648309805,0.0643149183625932,0.0110377579501304,0,0,0,0,0.261827675054249,0,0,0,0.387031035641793,0,0,0,0,0,-0.0127315762851655
DASH,0,0.190674212438981,0,0,0.162819386914859,-0.0398939398532288,0,0.164718197790824,0,-0.0000000000000000138777878078145,0.162248750226108,0,0,0.304981532217518,0,0,0,0,0,0.0578107995084385
BNB,0,0.231850821271005,0,0.0493872157783781,0.0669982897539848,0,0,0,0,0,0,0,0,0.0651696236129513,0.15522842101624,0,0,0,0,-0.0021574357807149
NEO,0,0.0421301587483418,0,0,0.114208066766004,0,0,0.3052996695727,0,0,0.448049026439427,0,0,0,0,0,0,0,0,0
ETC,0,0.180181463011563,-0.0853532290788497,0.0764157852283458,0,0,0.0532027424933528,0.360904583986991,0.0288929835372383,0,0.158703478171009,0,0,0,0,0,0,0,0,-0.0477221731869853
BV010082.INDEX,0,0,0.0369261103228495,-0.0752883225738374,0,0,0,0,0.0887051316684557,0.0304987428634007,0,0,0,-0.137889796460925,0,0,-0.051793351885845,0,0.491128657478849,0
CVIX.INDEX,0,-0.141471961260437,0.0725636484328859,-0.050211000539487,0,-0.0765030850254236,-0.275043110164396,-0.114893804053036,0,0.140516422166942,0.20237769129581,0,0.161641978387906,0,0.216429914626175,0,0,0,0,0.0471183328240542
DXY.INDEX,0.0501945671022429,0.0244840380064859,-0.00319667653330683,-0.0555950244644777,0,-0.00991918717858976,-0.0284936292765333,0.0161055789487014,-0.0243894294507983,0,0,0.0218670319025726,0,0,0,0.0705899102608856,0.031975481764299,0,0,-0.00781735585621442
SPX.INDEX,0,0,-0.0222137837824352,0,0,0,0,0,0,-0.0180272670366463,0,0,0,0,0,0.0103909186650719,0,0,0,-0.129003288133829
VIX.INDEX,0,0,-0.0534463477816521,0.129450462983494,-0.223784836250228,-0.134984215667604,0,0,0,0,-0.0931225041207599,0,0,0,0.158555036731377,0,0.111539607926762,0,-5.88462584604428,0
