,BTC,ETH,XRP,BCH,XEM,LTC,NEO,MIOTA,DASH,ETC,XMR,EOS,ZEC,XLM,DOGE,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.158856461324396,0.129982748367795,0.226008888630763,0.0499986216655934,0.0512257781989633,0.0575169816434444,0.0176121194298171,0.0807327707377222,0.0261837413453859,0,-0.0194901461450047,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.0723265835941744,-0.000000000000000000433680868994202,0.23391139073687,0.101006973336952,0.0630947991721604,0.111646680679408,0,0.229785990575737,0,0,0,0,0.0546660457054781
XRP,0,0,0,0,0.0958976075813207,0,0,0.0212098957216596,0.124818209856983,0,0.0318021086132083,0.0354347517798515,0,0.166167261499307,0.458563625630212,0,0,0,0,0
BCH,-0.306249189336854,0,0.647409267986324,0,0.762642934165126,0,0,-0.261969342854198,-0.0000000000000000138777878078145,0.221260741469015,0.507517009208363,0.0731073017629074,0.604136628248734,-1.63348796800117,0,0,-0.464253707309449,0,0,-0.347602701544903
XEM,0.136844047731079,0.0233139389271093,0.30975077198292,0,0,0,0.0265081725533024,0,0,0,0.0972984302336555,0.120171802046426,-0.0821112389572381,0.150105599298478,0,0,0,0,0,0
LTC,0.192094986719727,-0.0286334041025346,0,0,0,0,0.0721511809003558,0,0,0.17121608989477,0.0130339045855961,0,0.124519239777916,0.105240865080082,0,0,-0.127198084934098,0,0,0
NEO,0,0,0,0,0,0.0820267652702767,0,0.138179278413694,0,0,0,0.0824908710505802,0,0.159838509764297,0,0,0,0,0,0
MIOTA,0.316185305024145,0,0.852245234474184,0,-0.00000000000000000693889390390723,0,0.0406203791440503,0,0.172843307458323,0,0,0.0253150717572025,0.0817793128276433,0.225702333072439,0,0,0,0,0,0.0145213487062254
DASH,0.0633318153137353,0.122636332428486,0,0,0.120167738997275,0.0755971458508384,0.0444932883257327,0,0,0.142379469858491,0.289743842968382,0.00975394411281365,0,0,0,0,0,0,0,0.143135175987468
ETC,0,0.229346930334763,0,0,0.0150093470685015,0.105050757988645,0.000000000000000000433680868994202,0,0.0488606495619243,0,0.190142695912188,0.0189601053415664,0,0,0.148415978259564,0,0,0,0,0
XMR,0,-0.0306228319199371,0,0,0.125437304300941,0.132001097725238,-0.0214309306465406,0.0717353477145357,0.456240367664134,0,0,0.00776496291213341,0,0.238432691594632,0,0,0,0,0,0
EOS,0,0.21738272104626,0,0,0.215338937722467,0,0.0932839622056734,0,0,0,0,0,0.332135327823362,0.0343193611907877,0,0,0,0,0,0.0862593556074466
ZEC,0,0.152663050597179,0,0,0,0,-0.000000000000000000216840434497101,0.158281003010231,0,0,0.0928967834478245,0.0321295452226895,0,0.114586005249637,0.0693098338314614,0,0,0,0,0
XLM,0,0,0.171942026627517,-0.0121592208439786,0,0,0.0879780213449422,0.079838721471785,0,0,0.489812953229318,0.101654037246325,0.108998962117241,0,0.098674537383085,0,0,0,0,0
DOGE,0,0,0.400765971169862,0,0,0,0.00568817805573587,0.021286330061783,0.0137423521170051,0.0309546038235096,0.289914032192196,-0.037596135810825,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.0224107944471261,0,0.0132611001651075,0,0.007361750420145,-0.00962155141817744,0.00756137644819627,0,-0.0240430562704284,0,0,0.0228285870555757,0,0,0,0,0,0,0.0338788679226961
CVIX.INDEX,0,0,0,0,0,-0.0113591435008049,0.0112968755653423,0.0538991533402607,0,0,0,0.023118874928279,-0.10964379177936,-0.0405947561851549,0.0273439630119795,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0.00357356824847342,0,0,0,0.00409976588130589,0,-0.00312329418791266,0,0,0,0,0,0
SPX.INDEX,0,0,0,-0.0000000000000000000271050543121376,0,-0.0032561243520063,-0.000535509595893256,0,0,0,0,0.000156414940853557,0,-0.00124090850516339,0,0,0,0,0,-0.0572456861691739
VIX.INDEX,0,0.18955881155617,-0.316326724392177,0,0.0656152408571211,-0.024366284209803,-0.0736442279879973,-0.000000000000000000433680868994202,0.142880236842708,0,0.120068803211544,0.0136526694930673,0,0,-0.0403960483353205,0,0,0,0,0
