,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0241340523516079,0,0,0.109243721942616,0,0.141810937683826,0,0.0299640146836122,0,0.00460258948028192,0,0,0,0,0,0,0
ETH,0,0,-0.0189354568319539,0,0.114407994495214,0,0,0.144117972448602,-0.047751653609901,0,0,0.141529559223691,0,0,0,0,0,0,0.129449084299323
XRP,0,-0.22620858568538,0,0.0111237259580158,-0.309272616357091,0,0.465872586287504,0.12506351059475,0.308806725731892,0,0.0289653447612465,0,0.215002789700178,0,0,0,0,0,0
XEM,0.541140363900757,-0.125982399752707,0.0831272008870737,0,-0.399135978789636,0.0288079925135824,0,0.120427860510381,-0.00000000000000000693889390390723,-0.0398629718938895,0,0.130559414248947,0,0.324970852729487,0,0,0,0,0
ETC,0,0.404393529756817,-0.176398162993618,0.195915965968797,0,0.0301195804267357,0.0656698704458181,0,0.0460066949217237,-0.00435187140404575,0.0179368185028723,-0.0777818864180582,0,0.0724446076670528,0,0,0,0,0.0417312204960199
LTC,0.496082692827266,-0.0442827772272244,0,0.123071702468193,0,0,0.243754218801574,0.198960146284697,0,0.0412644191007716,-0.105649902087475,0.102570782307196,0,0.243762556237673,0,0,0,0,0.174252930789166
DASH,0,0.0842049575638961,0.0686286604010845,0,0,0.0873428649583046,0,0.305693176958236,0.0568877262949995,-0.0199996718051862,0.161065109678042,0,0,0,0,0,0,0,0
XMR,0,0,0,0.106378324155424,-0.104194428000607,0,0.480277464544349,0,0.0784804004906089,0.013625322881937,0,0,0,-0.090778601247835,0,0,0,0,0
XLM,-0.76874956588143,0,0.748434710549365,0.0214512209416954,0.2504111643131,-0.14998357013072,0.095477610849908,0.416462720468499,0,0.016011003783827,-0.160420460244182,0.0845803497066979,0,0,0,0,0,0,0
DGB,0.523828102360767,0,0.258686515474816,-0.0896684900361042,-0.448323145346312,-0.00000000000000000346944695195361,-0.304624651045,0.0111490565002199,0,0,-0.17173368703501,0.508271017493775,0,0.262414849266608,0,0,0,0,0
ZEC,0,0.27429385004216,0.0444402712308865,0.0601820841544006,0,0,0,0,0,0.01721572750782,0,0.163119535402513,0,0.0497477186933649,0,0,0,0,0
DOGE,0,0.140192632584616,0,0.22978669522028,0,0.242012251539626,0.0328486466523225,-0.0313879999063573,0.19485980300673,0.0515216202011231,0.406016854086313,0,0.0405610203076413,0,0,0,0,0,0.162482026826431
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0469272951208779,0.148100266475571,0.423242244010793,0.0705492975596659,0.193759393650222,-0.0551816343173102,0.134965413408646,0.329468938790748,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00497007973535966,0,-0.00693415737169999,-0.0358177464810269,0,0.0191488987910066,0.00731400996769434,0,0,0,0.0190501560084974,0,0,0,0,-0.0440805707793111
CVIX.INDEX,0,0,0,0,0,-0.0325294998257808,0,0.0600763178189391,0,0.025882514185742,0.0456106287310435,0.0065202366292922,0,0,0,0,0,0,0.164300691848033
DXY.INDEX,0,0.0198370837686886,0.00606485961977111,-0.0118752703724758,0.00775594552763052,-0.00824073717041925,0,0.00674201877086282,0.00496767214920142,-0.00215166237146863,0,-0.00288536549563868,0,0,0,-0.00752170032177185,0,0,0.0109478016863661
SPX.INDEX,0,0.00118404460996713,0.00295951533320632,-0.00945275176886116,0.00422319944708708,0,0,0.00680603419355806,0.00217583331728523,0.00446563091123227,-0.00184423833812104,0,0,0,0.0128959175523901,0,0,0,-0.0284600516087523
VIX.INDEX,-0.349347511985971,-0.102775296436092,0,-0.0842318912692728,0.0116577767553777,0,0.446867737169055,-0.167981705904428,0.060984147209965,-0.0953799412131185,0,0.00482352073809989,0,-0.00419601307713442,-1.16549314801624,0,0,0,0
