,BTC,XRP,ETH,XLM,BCH,EOS,BSV,LTC,TRX,ADA,XMR,MIOTA,XEM,DASH,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.114013014358041,0,0.0497447582930306,0.0054917094559838,0,0.0596901879920301,0,0.376127787698786,0,0,0,0.114525860185757,0,0,0,0,0
XRP,0,0,0,-0.0000000000000000277555756156289,0,0,-0.0298424820994109,0,0,0.470830511539491,0,0,0.207757480373241,0,0,0,0,0,0,0
ETH,0,0.207755087995812,0,0.00950302000200895,0.07414592877786,0.0100643005572879,0,0,0,0.1536275273077,0.361660249002174,0.0422366572134878,0,0.122157016384426,0,0,0,0,0,0
XLM,0,0.140237037574525,0.179292254988817,0,0.168477211955633,0.178193957868705,-0.0216852566812521,0,0,0,0,0.10589918427739,0,0,0,0,0,0,0,0
BCH,0,0,0.473150866521388,0,0,0.553768540636081,0,0,0,0,0,0.0822611493053513,0,0,0,0,0,0,0,0
EOS,0,0,0,0.535079502868714,0.222209930875614,0,0,0,0,0,0,0,0,0.130982814198192,0,0,0,0,0,0.0190864009976865
BSV,2.55636450658827,-1.12596517530961,0,-2.55787780766247,0.795768608718229,0,0,-0.368223554145107,0.905099493715302,0,-1.1254771609498,1.02780005641105,-0.497573797621521,0.940435974085449,0.135155483380314,0,0,0,0,-0.219300223630754
LTC,0,0,0,0,0.0511980270968527,0.183756456927097,0.0201466058856384,0,0,0,0.176784927985076,0.149864030976713,0,0,0.131778768840213,0,0,0,0,0
TRX,0,0,0.265861227098449,0,0,0,0.00000000000000000173472347597681,0,0,0.300871912211795,0.00503819763039867,0.0651165874689644,0.042446409339382,0,0.243961129810086,0,0,0,0,-0.0754149381470416
ADA,0,0,0,0.0647246214831203,0.125605749461462,0.264505578717402,-0.00000000000000000173472347597681,0,0.278350267171745,0,0.0517890982880572,0.139367126177666,0,0.0233309190528494,0,0,0,0,0,0
XMR,0.259227374060767,0,0.441172387507119,0,0,-0.000000000000000000867361737988404,-0.0105208911369635,0,0,0.127377662291598,0,0.147119514222728,0,0.072080352248715,0,0,0,0,0,-0.00790462734463449
MIOTA,0,0.100867955956579,0,0.166547104604976,0.0174789574668461,0.11777304584114,0.0512257281921018,0,0.224831614735888,0.119326333907192,0,0,0.155070047496264,0,0,0,0,0,0,-0.0524259800462175
XEM,0,0,0,0.258112062430562,0.0419036507126504,0,0,0,0,0.231225367841663,0.0912634041902743,0.04515348872243,0,0,0,0,0,0,0,0
DASH,0,0,0.105232613438336,0,0.0903776451660167,0.158459254960209,0,0,0,0.364118298433839,0.0635005826003252,0,0.165494913564911,0,0.166355287468273,0,0,0,0,0.0143801952538766
BNB,0.272487742588968,0,0,0.11945071791287,0.03505961440418,0.138561424274735,0,0.252849711980857,0,0,0.129583317970781,0,0,0.12435769475169,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0484277682051132,-0.0270438527181517,0.027983756990061,0.0153097799919994,0,-0.1186834439605,0,0,-0.105010147747971,0.0669289833400628,0,0.17706966845924,0,-0.0174420820575535,0,0.554887734149069,-0.0142596689453301
CVIX.INDEX,-0.209149339641719,0,0.349301514138192,0,0,0.0875010817688532,0,0,0,0,-0.148972476039112,0.014522694061,0.0447270616416785,0,-0.0798433780585924,0,0,0,0,0.073695793496784
DXY.INDEX,0,0.00203735898771263,0,-0.0157806431811536,-0.00155580443873848,0.00202346033785646,0.00544366846775463,0,-0.033819015301858,0,0.0093024441470579,0.0144150451412279,0.00954882423125192,0,0.00845711855578814,0.0387757257800418,0.0370241576720161,0,0,-0.0000000000000000000271050543121376
SPX.INDEX,0,-0.0455801599332871,0,0,0,-0.0217877525961866,0.00817030782311272,0,0,0,0,0,0.0183517663767563,0.023002501906159,0,0.0174322067110261,0,0,0,-0.121074398111913
VIX.INDEX,0,0,0,0,0,0,-0.00183705739892907,0,-0.112739602856257,0,-0.0830771301735307,0,0.238687438377567,0,0.102892972853739,0,1.22540729826462,0,-5.57461253554225,0
