,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,NEO,ETC,ZEC,BAT,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.195069387053771,0,0.186557739619962,0,0.113723959309573,0.0187277007753081,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0536433131167736,0,0,0.0968869762804142,0.131226264457466,0.10688019887822,0,0.160490271166459,0,0.173261267180971,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.436160505570624,0,-0.0304734174720374,-0.0918920552155597,0.409636317945017,0.399157110274795,0,0.0405909868210447,-0.552757164023494,0,0,0,0,-0.143905914506489
XRP,0,0.24522264881712,0,0,0,0,0,0.0380594298600047,0,0.0227008884608728,-0.0444434233407261,0,0.12072391600033,0,0.220718859198416,0,0,0,0,0
LTC,0,0,0,0.0191704080210056,0,0,0,0,0,0.020270824490488,0.770932780695737,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0
DASH,0.104998906808766,0,0.0669226095296839,0,0,0,0.065795748216593,0,0.0506756862985401,0,0.149425104752095,0.0941814158782624,0.148454303649451,0.0694708000317939,0.0132161555178745,0,0,0,0,0
XEM,0,0.129528539477185,0.039036820455252,0.0549406269182395,0,0.49213012651465,0,-0.115542787580493,0.0413304430047262,0.111875698775947,0.0690046591968931,-0.182005458089821,0,0.0663119896613688,0.356733685675242,0,0,0,0,0.138427848968553
XMR,0,0,0.0877894496487311,0.0990500355566534,0,0,0.0287164807994684,0,0.116811479741719,0.0662400215936299,0.0487291664238799,0.0491971697500272,0,0,0.367125453443658,0,0,0,0,0
MIOTA,0.286796801704312,0.057961423363996,-0.0744052406238342,0,0,0.189329644494729,0.0595594472470972,0.137376893793092,0,0,0.0551762032771114,0.095347452175091,0,0.242998350731918,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.0947312034309347,0.335553205709603,0,0,0,0,0.335655524038659,0,0,0,0,0,-0.0785744242220719
ETC,0,0,0,0,0.5694469517814,0,0.154762900258697,0.144193247750145,0.0491011005762316,0,0,0,0,0,0.00230534299602322,0,0,0,0,0
ZEC,0,0,0.030200905027872,0,0.00234178916103992,0,0.0774750554792022,0,0.221990726601747,-0.000000000000000000867361737988404,0.0167480947525034,0,0,0.0165780400784388,0.19483819944649,0,0,0,0,0
BAT,0,0,0,0,0,0,0.092946355810189,0,0.0316682586380559,0.175037164415432,0,0.254886075135271,0,0.0830244005981762,0.331490698714606,0,0,0,0,-0.0822977546632085
EOS,0,0,0.0468582959832384,0,0.377837512862698,0,0,0.157881234385749,0.225541597003989,0.193917221454852,0,0.0715694331497716,0.025007450918245,0,0.19701534892492,0,0,0,0,0
XLM,0,0.0756328904552384,0.0411976313132225,0.172972629812556,0,0,0.127193080224633,0.229393586934283,0,-0.0170416526044487,0.111015494263326,0,0.173467146197085,0,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00338752255218189,0,0,0,0,0,0,0,0,0.0522035141837232,0.00929667017668999,0,0,0,0,0,0,-0.0851808142281842
CVIX.INDEX,0.0324739164646567,0,0,0.0162311061698553,0.0695026489057512,0.0179026063056672,0,0.0379448344706118,0.0658926360246745,0.0111304631741853,0,-0.130054281494259,0.00731825496070631,-0.108012554491363,0,0,0,0,0,0.0533444616908342
DXY.INDEX,0.00270646222354418,-0.00662657885852012,0.00052209210130787,0,0.00669347522219637,-0.0114850348807198,0,0,0.0101808023434245,0.00319521347352794,0,0,0,0,-0.00937277773867521,0.039576913689818,-0.0268583235476843,0,0,0
SPX.INDEX,0,0.00313823923108619,0,0,0,-0.005055676351258,0,-0.00417524702812886,0.000374167431126197,0.00173616923122794,0,0,0.000992435310881056,0,-0.00177241548765746,0,0,0,0,-0.0428011977403625
VIX.INDEX,0,0.236175010872272,-0.020358171154193,-0.141842890916176,0,-0.212469233681879,0.106532741820521,0,0.0484158558381887,-0.00740905428828461,-0.0717962962841458,0,0.100803373136285,-0.246633004509521,0.122393913290253,0,0.969004604677921,0,0,0
