,BTC,XRP,ETH,EOS,BCH,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.113714684167138,0,0.0452469376625778,0,0.0110128496054053,0.104808364928598,0,0,0.325057730676527,0.124681616409374,0,0,0,0,0,0,0
XRP,0,0,0,0,0.104893447574321,0.0826858324917004,0.0638851454454148,-0.0358369682933151,0.0345878638572652,0.0763457959687343,0,0.0147157459966501,0,0,0.0641008640203619,0,0,0,0,0
ETH,0,0.0631347530780537,0,0.0490587515053498,0.105736887891482,0.0464224925590573,-0.00000000000000000173472347597681,0.000000000000000000867361737988404,0,0.0216002625422176,0,0.443092233459016,0.121108721650838,0.0535683498572006,0,0,0,0,0,0
EOS,0,0,0,0,0,0.861129455993974,0.0000000000000000138777878078145,0,-0.202735706895881,0,0,0,0.0268137428581166,0.170860571726495,0,0,0,0,0,0.0190986070133578
BCH,0,0,0,0.180331732080858,0,0.607903713510129,0,0,0,0,0,0,0.104462848759857,0,0,0,0,0,0,0
XLM,0,0,0.0544051643437369,0,0.1694489246618,0,0,-0.0208815398402174,0,0,0.0599810043734573,0.351321164558847,0.0818232856561182,0.00000000000000000346944695195361,0,0,0,0,0,0
LTC,0,0,0,0.24055882277087,0,0,0,0.0295363010634694,0,0,0.080643817044077,0.1946090598308,0.125845471871373,0,0,0,0,0,0,0
BSV,0,-2.71862705756202,0,0.792476690163318,0.614845930007036,-0.641592095219121,-0.385102260150892,0,1.2490905810575,0,0.383769823963668,0,0.740202875487994,0,0,0,0,0,0,0.0655907537399757
TRX,0,0,0,0,0,0,0,0.0135581281308109,0,0.310619470698194,0.209324548849274,0.246455559188108,0.0126390340343386,0,0.0255611387537452,0,0,0,0,0
ADA,0,0,0.057027155622353,0.209536906350915,0.125166823306974,0,0,0,0.139079875220069,0,0.154988504160307,0.182370767498499,-0.000000000000000000433680868994202,0.0196683010635108,0,0,0,0,0,0
MIOTA,0,0,0,0.129659500662422,0.0819516329341378,0.242509514538037,0,0.0527232013493602,0,0,0,0,0.09246900936018,0,0.320308951814262,0,0,0,0,0
XMR,0.25098710997103,0,0.495828815119521,0,0,0.0186430639664406,0,0,0,0.140243245418577,0.0193239157628945,0,0,0.0931281894454823,0,0,0,0,0,0
BNB,0.0653730911179257,0,0.252554558100702,0.183313476923379,0.0474937666705435,0.0168331310895355,0,0.0426069446113484,0.0404163786377949,0,0,0,0,0.28460188824131,0,0,0,0,0,0
DASH,0,0,0,0.154376304506382,0,0.128001189685207,0.162054675709216,0.00391300790003252,0,0.417200817411143,0,0.0517184960394955,0.0355937199458693,0,0.187680993681484,0,0,0,0,0
XEM,0,0,0,0,0.0830285739709233,0.359940638478908,0,0.0061411252454908,0.0258333065077309,0,0.020407765380222,0.161477106512671,0,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.092400172400794,0,0.0383359342434382,-0.0393030232396607,-0.105219277925578,0.0801182604407718,0.0144968453919191,-0.0496229396876862,0,0.0333699256753652,0,0.0454611682725765,0,0.0619604713500393,0,0,0,0.261515227000472,-0.0551278883703484
CVIX.INDEX,0,-0.0713135590033956,0,-0.062493126574175,0.0593170953940018,0.0436724711659013,0,0.0226866750976433,0,0,0.0936237046341046,-0.0737728540811355,-0.0892677613717936,0,0.0767541614422333,0,0,0,0,0.0894866043571975
DXY.INDEX,0,0,0.0134921811774511,0,0,-0.0126043511411312,0,0.00635935307124116,-0.0120640391912527,0,-0.00314992308638421,0,0,0,0.00567008216187752,0.0577503719228294,0,0,0,0.00747612245710756
SPX.INDEX,0,0,0,-0.056332836316677,0,0.0283739891007012,0,0.0087414964175897,0.00245136700925114,0,-0.0144458535009716,0,0,0,0.0408640673987587,0.106173055811739,0.0755219608063182,0,0,-0.133699359397703
VIX.INDEX,0,0.202309914524118,0,-0.202938934898398,0.0668021750223692,0,0.30643321755762,0,0,0,0,-0.366863709629018,0,-0.0684446876118337,0.213325485485575,0,1.1828408156787,0,-5.2801856852338,0
