,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,ADA,TRX,XLM,XTZ,LEO,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.133077611380741,0.14147782290837,0,0,0.154251025702585,0,0.0967538675154156,0.130592475010922,0,0,0.0148386531907918,0,0,-0.089554542550737,0,0,0,0
ETH,0,0,0,0.0966820785385094,0.261184790406916,0.104032868774849,0.186606417650364,0,0.0977577582722581,0.0210777864047438,0.0773348348715995,0.0604883412585276,0,0,0.0129217888554437,0,0,0,0,0
XRP,0,0,0,0.320939546457439,0,0,0.0257549599691478,0.0701955792305582,0,0.169940295858284,0,0,0.151674158059629,0,-0.0000000000000000138777878078145,0,0,0,0,0.124523708715764
BCH,0,0,0.0809143060142713,0,0,0,0.375554457894592,0.0738743715226538,0.0046823224015527,0,0.223623974097474,0.0866633680320842,0,0,0.11798144984436,0,0,0,0,0
LTC,0,0.165171982831914,0.0392672134569458,0.00000000000000000346944695195361,0,0.512953135912231,0,0,0,0.0669675496465205,0.030743011140321,0.00770751174745882,0,0,0.0489930906036645,0,0,0,0,0
EOS,0,0.217156524063042,0,0,0.482598130249608,0,0,0.172564647410541,0.111166297056808,0.00540370153850967,0.00749160242667228,0,0.0134527730057432,0,0.0452782112851202,0,0,0,0,0
BNB,0,0.00000000000000000173472347597681,0.141561956901585,0.211338631877277,0,0.36081737391807,0,0,0,0,0.0849958432473124,0,0.0174702583747322,0,0.00658790273187092,0,0,0,0,-0.0249734497967306
BSV,0,0,0.268125241304778,0.523606900909678,0,0.104579351463711,0,0,0,0,0,0.00304018043860786,0,0,0.104358023394537,0,0.00392504804048251,0,0,-0.116294683963175
XMR,0,0.0270769508509612,0,0.131970137704053,0.391866559305483,0,0.21347207110517,0,0,0,0,0,0.0790901928179101,0,0,0,0,0,0,-0.0214900588254383
ADA,0,0.245693740464841,0.0743732846378085,0,0.125185045416979,0,0,0.0348638687831362,0,0,0.174289979015773,0,0.0644507791224732,0,0.136014531390266,0,0,0,0,0
TRX,0,0,0.313307285006014,0.122568368681808,0.146690074299542,-0.00000000000000000346944695195361,0,0,0.125907676405124,0.110204556714925,0,0.142932956820357,-0.138069473515709,0,0.143440004670752,0,0,0,0,-0.042443660288531
XLM,0,0,0.192728021997214,0.260473388056516,0,0,0,0,0,0,0.0995330375705206,0,0.0749332336508825,0,0.0789136377420929,0,0,0,0,0
XTZ,0,0,0.703117766783326,0,0,0,0.940694854344005,0,-0.219557084515509,0,-0.684225846882295,0,0,0.13281673473774,0.0772662806060758,0.240706817247491,0,0,0,-0.127626029538364
LEO,0.430652495293981,0.0270574256844124,0,0,0,-0.283616455155801,0,-0.046695826720972,-0.297179350566549,0.0756653755521964,0.335056040934804,0.107757985304564,0.0641400365664356,0,-0.101264627967886,0,0,0,0,0.0480510313232445
ATOM,0,0,-0.219282406311757,0.0031002399523194,0.157296051443982,0.614043399220052,0,0.183687698950648,0,0.00000000000000000693889390390723,0,0,0.326996563274531,0,0,0,0,0,0,0.0338238797777294
BV010082.INDEX,0,0,0,0.00215667499968731,-0.264677268458658,0.168098575602619,-0.203018786946094,0,-0.0233050613168354,-0.0239815667895958,0.352786654316548,0.0447458749267616,0.103877536431843,0,-0.0701645719310506,0,0.0664836534497913,0.460699745659392,0,-0.00979337057469476
CVIX.INDEX,0,0,0,0,0,-0.0531965793481219,0.445585243862883,-0.327267554439936,0.171929144395058,-0.233323128048528,-0.235739310598479,0.509743764041916,0.108371416547518,-0.594942447478468,-0.0397513205134442,0.794079271638256,0,0,0,0
DXY.INDEX,0,0,0,0.00000000000000000010842021724855,-0.0426710074325129,0,0,0.0238687974957087,0,0,0,0.0297922133872315,-0.00281655854180447,0,-0.00899862488318926,0.0256462016328778,0,0,0,-0.00724470979231666
SPX.INDEX,0,0,0,0,0,0.0240639171726529,0,0,0,0,0,0,-0.00551135892685018,0,-0.000892936617698253,0.0783687094743759,0.00355831115335864,0,0,-0.0382807304226042
VIX.INDEX,0,0.0895703859740906,-0.297667230915684,-0.24179885598714,0,0.0000000000000000138777878078145,0.297502287828744,0,0,0,0,0.360059056090426,-0.130491451029252,0,-0.215872499937981,0,0,0,-6.94851860537371,0
