,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,MIOTA,XEM,DASH,XMR,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.278593611837281,0.00380913432693321,0.0634525333799928,0,0,0,0,0.0365788443621312,0.113669571559473,0,0,0,0,0,0
ETH,0,0,0,0,-0.045427303836799,0.226135868806703,0,0.103462700131205,0.0319809599920932,0.0859255232328069,0.214409670386899,0.108763788460727,0,0.155588619428023,0.0381116098205313,0,0,0,0,-0.027715214420954
XRP,-0.198079518315791,-0.0783082368776037,0,0.00382127336420591,-0.0755850049360957,0,0.342549029658918,-0.0196350026038991,0.245162863494878,0,0.291347322898967,0,0.265774842908964,0,0.0703764321659604,0,0,0,0,0.0421781847331736
BCH,0,0,-0.0881266656791251,0,0.00988315895462814,0.123130542573482,0.0305831456571742,0.187907983816077,0.174454405431313,0,0,0.282068895159476,0.137147359527594,0.0867804481756663,-0.0082523516477037,0,0,0,0,0
ADA,0,0,0.105805256704512,0,0,0,0,0.0955345228208446,0,0,0.251937789750303,0,0,0,0.061344253204706,0,0,0,0,0
LTC,0.425751266365341,0.00352457857448831,0,-0.029824475972244,-0.0478333984712929,0,0,0,0.0664505773056727,0.175818663094316,0,0,0,0.0944457877185354,0.013989922650255,0,0,0,0,0
XLM,0,0,0.229971858049491,0.066995442173952,0.200881159442433,0.173591864859744,0,0.168058623826471,0,-0.00000000000000000693889390390723,0.0788319279397457,0,0.0972988663199211,0,-0.0681788802005401,0,0,0,0,0
NEO,0,0.477930804494563,0,0,0.0507317293052102,0.0424966182303926,0.148386706913959,0,0,0,0,0,0.109538393615425,0.127162397146713,0,0,0,0,0,0
EOS,0.179369201771899,0,0,0.125936407584243,0,0.0718124317454931,0,0,0,0.215456574310248,0,0,0,0.210376726730538,0.160140927504739,0,0,0,0,0
MIOTA,0,0,-0.0421474192733676,0,-0.0702309006274084,0.362961587286861,0.0276392683899279,0,0,0,0.322875231070284,0.0720918230563958,0,0.29514567055786,-0.0512365065266404,0,0,0,0,0
XEM,0,0,0.16419768788636,0.0219849416362345,0,0.191387530523933,0.18558091221078,0.0762565801370279,0.0470812445633316,0.114826287648983,0,0,0,0,0.0248029203301166,0,0,0,0,0
DASH,0,0,0,0.111523327641549,0.0165917706656128,0,0,0,0.0561207125817009,0.0249082469826527,0,0,0.161315671045437,0.239350736435757,0,0,0,0,0,0
XMR,0.0479638640990982,0,0.00113676392964933,0.218422467669172,0,0,0.0695714093628108,0.0626365615736244,0,0,0,0,0,0.158209512638941,0.0722377653188538,0,0,0,0,0
ETC,0,0,0.0858031925138654,0.0643602273498232,0,0,0,0.0452882919563347,-0.00000000000000000173472347597681,0.272972771093165,0,0.111007169824894,0.20224345124557,0,0.079440731554069,0,0,0,0,0
TRX,0.44043889790795,0,0.146392258581902,0.297332810824137,0,0,0,-0.312213813176544,0.157669711292184,0.0595961784649943,0,0,0.200075812571749,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0428008284547174
CVIX.INDEX,0,0,0,0,0.0351121892441986,0,0,0,0,0,0.0362284689645566,0,-0.0543208051256836,-0.041669534321689,-0.00812719057731491,0,0,0,0,0.0366639052499103
DXY.INDEX,0,0,0,0,-0.00553353756308745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00352411637788189
SPX.INDEX,0,0,0,0,0.00608189322102602,-0.0090729174067971,0,0.00805883959224656,0,0,0,0,0,-0.0136916397927252,0,0,0,0,0,-0.0657697217114454
VIX.INDEX,0,0,0,0,-0.0136737319943524,0.0756395330459314,-0.149212852095991,0.272092656829409,-0.0656515141478102,0,0,0,0,0,0,-0.620527244869629,0,0,0,0
