,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,ZEC,DOGE,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0241340523516079,0,0,0.109243721942616,0,0.141810937683826,0.0299640146836122,0,0,0.00460258948028192,0,0,0,0,0,0,0
ETH,0,0,0,0,0.169895795503302,0,0,0.11360981523568,0.0148342805414861,-0.0390666800315797,0,0.101597839827137,0,0,0,0,0,0,0.0974827795928035
XRP,0,-0.228826796944591,0,0.0118027287288391,-0.307134182539104,0,0.460237526682995,0.129978618300285,0,0.310629166536995,0.0198815702099466,0,0.21617972420139,0,0,0,0,0,0
XEM,0.37669768439675,-0.114967157492999,0.00991811196294168,0,-0.571224147211103,0.0794866937419276,0,0.107311689275793,-0.0255804779819812,0,0.0830911049994601,0.0863412598673897,0,0.431722527059925,0,0,0,0,0
ETC,-0.0419205820578227,0.325221062815312,-0.258852761110464,0.0910534691527362,0,0.0201081881799604,0.187530990230108,0,-0.00933601158798903,0.046225057655353,0,-0.0762667181250961,0,0.278936563744533,0,0,0,0,0.0745234904870033
LTC,0.344651435491295,0,0,0.0412865307621447,0,0,0,0.17124048740894,0.02506286803063,0.00464002859463526,0,0.0960421272045077,0,0.261463127181751,0,0,0,0,0
DASH,0,0.0383849727925361,0.0898733413143699,0,0.0395191073613524,0.0964512964893381,0,0.292836844963559,-0.0104584009323367,0.0564133743748565,0.149048202929035,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0877964132066112,-0.0507237100429405,0,0.469345282941205,0,0,0.0929934942286394,0,0,0,-0.109477972623202,0,0,0,0,0
DGB,0,-0.0548705078741822,0.179207589062473,-0.205080932806157,-0.276409844571301,0,-0.319298910840234,0.615911105468504,0,0,-0.149365141459957,0.34885376965804,0,0.35493075909227,0,0,0,0,0
XLM,-0.46571346879935,0,0.579315915310907,0,0.310181193434306,-0.143268691520669,0.258259231736001,0.328529462514398,0.0750546601365971,0,-0.235445087400977,0.188739447863675,0,0,0,0,0,0,-0.0110914692503298
ZEC,0,0.20740740508504,0.0928237658637138,0.0444422045596961,0,0,0,0,0.0209036006335906,-0.0513751798226607,0,0.191641236552896,0,0.0569071435768903,0,0,0,0,0
DOGE,0,0.114741827737852,-0.0861968779539951,0.197922214295508,0,0.222317007606246,0.158941968964933,-0.0215307928993617,0.0632336339589346,0.23694345311496,0.179970493037011,0,0,0.106990168332953,0,0,0,0,0.194923652932962
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0469272951208781,0.148100266475571,0.423242244010794,0.0705492975596654,0.193759393650222,0.134965413408646,-0.0551816343173101,0.329468938790749,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00497007973535965,0,-0.00693415737169999,-0.0358177464810269,0,0.00731400996769434,0.0191488987910066,0,0,0,0.0190501560084974,0,0,0,0,-0.0440805707793111
CVIX.INDEX,0,0,0,0,0,-0.0290464179912173,0,0.0563623555181044,0.027316989810961,0.00220071738154673,0.0488908205940851,0,0,0,0,0,0,0,0.161515503952218
DXY.INDEX,0,0.0199413336812814,0.00548297090571577,-0.011600431727345,0.00772338606317809,-0.00922253797070715,0,0.00729949775176524,-0.00205262423080244,0.00526735822859806,0,-0.00315010860043228,0,0,0,-0.00737212204692709,0,0,0.0107760401956025
SPX.INDEX,0,0.00121770110161784,0.00383449387225527,-0.0081957014942393,0.00543230382526859,0,0,0.00671882482286298,0.00421517564361709,0.0020989903980267,-0.00150365157526185,-0.000811498439630096,0,-0.00221433879371668,0.0220823636810396,0,0,0,-0.029800690373278
VIX.INDEX,-0.564335140099472,-0.0606732215016237,0,-0.0725373931938476,0.0919082050871628,0,0.427335034203004,-0.123069549076076,-0.149456570321993,0.0520504224179066,-0.00270013462945296,0,0,-0.0165955491267137,-1.79788582291906,0,0,0,0
