,BTC,ETH,BCH,MIOTA,XRP,LTC,XEM,DASH,BTG,XMR,ADA,ETC,XLM,NEO,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0578956980012108,0,0,0,-0.067024446538945,-0.0943342296107154,0.0313777095313025,0,0.101683910278701,-0.106924421246795,0,0,0.155778798034307,0,0,0,0,-0.114688633390305
ETH,0,0,-0.0561153581931092,0,0.203235031532786,0,0.0518070558030436,0,0.0404088392725479,0.0896306186412169,-0.050298371100771,0.0361488336434888,-0.00722152567480548,0.103242485082048,0,0,0,0,0,0
BCH,-0.0416676520792684,0,0,0.018327302746004,0.105008519397169,-0.225595146132938,0,0,0.101803011445998,0,-0.029196217449498,0.056172624684274,0.0428140369746751,0.34850713611542,0,0,0,0,0,0
MIOTA,0,0,0,0,0.112846426523582,0,0.201620582061254,0,0,0,0.10576048012467,0.0252482180921291,0.113533696219134,0.0671590581638036,0.154704183230647,0,0,0,0,0
XRP,0,0.0794417978270166,0.0201162298864162,0.0424017342788253,0,0,0.127506048995435,0,0,0,0.0346014552603048,0.111381894780262,0.00708873691197536,0.102041868743216,0.0977955481921576,0,0,0,0,0
LTC,0,0,-0.0828326329826977,0,0.290802255131822,0,0.227431038707922,0,0,-0.00000000000000000346944695195361,-0.0118071843746865,0.065371073389804,-0.0195319734165118,-0.0104565230005464,0.069679872582687,0,0,0,0,0
XEM,-0.319155797556155,0.300466503702453,-0.0396907135580593,0.0281477917510714,0,0.117311270907869,0,0,-0.00970295688590188,0.119414337347468,0.0933637228373005,0,0.115642805962322,0.104621987841378,0,0,0,0,0,0
DASH,-0.211925615389464,0,0,0.0289945255161876,0,0,0,0,0,0.0377549247569119,0,0.0627494560095306,-0.0458041934526095,0.0796102397496705,0,0,0,0,0,0
BTG,0.316581180646224,0,0.789458212495423,0,-0.96706534078736,0,0.325447290404839,-0.59559076872215,0,0,0.129347352481952,0.296152028338857,0,-0.51283783803112,-0.589078688848609,0,0,0,0,0
XMR,0,0.0799006028465726,-0.0766429689227899,0.0590202728729338,0.0400993374455455,0,-0.01989320987871,0,0,0,0.191961770855547,0.0457982683139135,0,0.193924750192228,0,0,0,0,0,0
ADA,0,0,-0.0365587973426285,0.060310654031364,0.0697559265623729,0.505323724377992,0,0,0,0,0,0.210466475683432,0.0681959541432155,0.138555465326812,0,0,0,0,0,0
ETC,0,0,0.222458579522894,0.0236118232239662,0.352016039263541,0.193901107505007,0.0313129388121433,-0.304689466517125,0.00758342648876535,0,0.222639815604954,0,0,0.107338936299728,0,0,0,0,0,0
XLM,0,0,0,0.306319104688336,0,0,0,0,-0.0824202957995705,0,0.124990933508936,0.188841669155375,0,0,0.312553794570643,0,0,0,0,0
NEO,0,0.328879980108165,0.0934647871571055,-0.157633033389241,-0.107082671944978,0,0.109399236957474,0,-0.0860307642574668,0,0,0.171414790928444,0.158365236230398,0,0.0839824168604736,0,0,0,0,0
EOS,-0.351398596931035,0.210969968637383,-0.0637390419603161,-0.0701187183873292,0,0.381261612079783,0,0,-0.0228585190503441,0,0.0208792261290374,0,0.049485355086925,0.254210603886889,0,0,0,0,0,0.0454383180028458
BV010082.INDEX,0,0,-0.0339905556231962,0,0,0,0.0110860225667214,0,-0.000408272100233341,0,0,0,0.00916364683493457,0.0348438150302987,0.0178871062016376,0,0,0,0,0
CVIX.INDEX,0.0461441427467369,0.0201175887357786,0,0.0346889191500315,0,-0.0757529546326825,0.0497177295176416,0.0073350888632811,0,0.00590749581950568,-0.0134437055589402,0,0.0140389698615775,0,-0.0360157844282027,0,0,0,0,0.115813500296068
DXY.INDEX,0,0,-0.0000422424542776373,0,-0.0210645855882237,-0.012672795792517,0.0100228060691287,0,-0.00447700206284516,0.00802231906858655,0,0.00860920687099957,0.00184936722363873,-0.00603003147365424,-0.000423109052653915,0,-0.0305758515637492,0,0,0
SPX.INDEX,-0.0159610436278231,0,-0.00303677259182326,0,0,0,0.000398145016223835,0,0.00145489873769827,-0.00234816649934192,-0.0000000000000000000542101086242752,0.00195512003064077,0.00124315497933954,0.00560450939493585,-0.00124105818624147,0,-0.0335896770096088,0,0,-0.0272451731858397
VIX.INDEX,0,0.27150850231471,-0.0492995918553224,0.152509393316674,0,0,-0.0940472271025837,0,-0.0471174664580237,-0.433647713495584,0.0747952478038853,0,0,-0.085040574165459,0.0199862320951861,0,0,0,0,0
