,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,TRX,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.146466633165475,0,0,0.0794686681867109,0.142504435166676,0.0146148997478602,0,0,0.0862318212519644,0,0.0160131870190203,0,0,0.024185570313715,0,0,0,0,0
ETH,0,0,0,0.100570709954983,0.156778708849709,0.277719912047978,0,0,0,0.234718558294406,0,0,0,0,0.0857328835334104,0,0,0,0,0
XRP,0,0,0,0.064994862926316,0.149433543298,0.155494072425624,0.00622939020999976,0.0703929253954253,0.0181815395733252,0.110800511142446,0,0,0,0,0,0,0,0,0,0
LTC,0,0.284813324217771,-0.0638114275300513,0,0.203011380503136,0.365991654675745,0.0695627838511194,0.0918082751440048,0.0780917547391065,0.205250496572961,-0.0426325135710945,0,0.00000000000000000173472347597681,-0.261738302572464,-0.190681235101778,0,0,0,0,0.147039868562689
EOS,0,0.307577701733481,0,0.27704617961436,0,0.169711899195858,0.129435785730584,0,0,0.0149538235719805,0,0,0,0,0.203571582376385,0,0,0,0,0
BCH,0,0.0440017008922541,0,0,0.391512085713522,0,0.0112579897661206,0.0466805747251255,0,0,0.269751614511483,0,0,0,0,0,0,0,0,0
BNB,0,0,-0.145855472086542,0.42924212717542,0,0,0,0,0.413093440416871,0,0,0.0451109878129077,0,0,0.000869775640210202,0,0,0,0,-0.0408202051487105
XLM,0,0,0.137132142656513,0.00922635152805729,0,0.114909557164544,0,0,0,0.304312801758603,0.0762233363480942,0,0.0866783270136226,0,0,0,0,0,0,0
TRX,0,0.0990773213525232,0,0,0.0740915186012474,0,0.164347998964136,0.109387315903906,0,0.0896235572884341,0,0,0,0,0,0,0,0,0,0.309750874628407
ADA,0,0.104976964313175,0,0.123236821992401,0.128419441041865,0.22273773691145,0.0773526956916176,0,0.0583570226956647,0,0,0,0.203130308805145,0,0,0,0,0,0,0
BSV,0,0.0437561402207135,0,0,0,0.515642115192252,0,0.11003505583391,0.0457691667346427,-0.00000000000000000173472347597681,0,0,0,0,0.0809756436090904,0,0,0,0,0
XMR,0,0.359391510426644,0,0,0,0.00000000000000000346944695195361,0,0,0,0.0474766849357142,0.110184361899831,0,0.152836087384021,0.129309487616059,0.0136285550201113,0,0,0,0,0.0311059663237379
MIOTA,0,0.262605204825583,0,0.000000000000000000216840434497101,0,0.0680850699289546,0,0,0,0.350054402696325,0,0.102635810264057,0,0.0169970898908204,0,0,0,0,0,-0.0425278428353659
DASH,0,0,0,0,0,-0.0000000000000000138777878078145,0,0,-0.0299652559485539,0.39208840735019,0,0.133227693053877,0.318840214928593,0,0,0,0,0,0,0
MKR,0,0.681401230384452,-0.435046032140943,0,0,0,-0.0289887422771402,0,0,0,0.366785463632278,0.419055354069934,-0.180841666584383,0,0,0,0,0,0,0
BV010082.INDEX,-0.258189457407656,0,0.166869024272155,0,-0.0738681696093543,-0.111049253489215,0.00842032134479063,0,0.0868189552383101,0,0,0,0,0.0629800030146605,0.106473122225107,0,-0.283901763354014,0,0,0.0496886172361399
CVIX.INDEX,0,0,0.144876289151141,0.0215114767809289,0,0,0,0.147421209993296,-0.320846818832428,0.00690118215364948,-0.0638113956908451,0,0,0,0,-0.0346959721509123,0,0,0,-0.0959169497551855
DXY.INDEX,0,0,0.0117455102213508,0,0,-0.00715617315283086,0,0.0174971843001356,-0.0392503732505146,-0.0183307533038297,0.00951433876125699,0.0285048367276478,0,0.0196480338246634,0.00562058403665239,0.0860769673058875,0.0474789548706549,0,0,0.0204020977968349
SPX.INDEX,0,0,0,-0.00169379648660155,0,0,0.00604091590994969,0,0.00659596867695122,-0.0166398677683149,-0.0161808207000924,0,0,0,0.00610759792250665,0,-0.0412463745979755,0,0,-0.0707910564989536
VIX.INDEX,0,0,0.581883084697023,-0.444009860814316,0,0,0.202017770321239,0.209629106237159,-0.000000000000000000867361737988404,0.130245146240949,-0.213040469141587,0.254808417958748,0.0647969210468848,-0.744870884392338,0,0,0,0,-3.79888238745102,0
