,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0269086692378886,0,0,0.0699065385372471,0,0.174007542749439,0.0253998060373851,0.0404239336684256,0,0.142989031794393,0,0,0.012988919294796,0.0689923967256279,0,0,0,0,0
ETH,0,0,0.189639946079582,0,0.203699277322622,0.0296507182686587,0.111546672046516,0.0191726400582462,0.0521810235278811,0.200125431740483,0.0228159673763723,0,0,0,-0.00000000000000000173472347597681,0,0,0,0,0
XRP,0,0.460531043959095,0,0,-0.0401991348796443,0.0362742430631731,0,0.10688335713668,0,0.0875787128443491,0,0,0,0.00660352239517348,0.0362400185598269,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0473784613303686,0.110331406009337,0.12621413700284,0,0.371620631858577,0,0,0.063729710119231,0,0,0,0,0,0
LTC,0.0481507496096311,0,0.178598319438285,0,0,0,0.164443417205109,0.0130087563911982,0.0107577510600273,0,0.613565985061921,0,0,0,0,0,0,0,0,0
DASH,0.183706120989503,0,0.12892265991706,0.130201391246882,0,0,0.110636493021745,0,0.131874664859713,0.0649880764669446,0,0,0.0274759918138685,0.0073218540548966,0,0,0,0,0,0
XEM,0,0,0,0.113821540140885,0.160944705559632,0,0,0.0966615598890495,0.14791693603625,0.141646404918481,0,0,0,0.0483684817021203,0,0,0,0,0,0
NEO,0,0.0294021889579705,0.125371086881292,0.395731404971683,0,0,0.17127149294811,0,0.0906203799080277,0,0,0,0,0.167329593371411,0.208841792619011,0,0,0,0,-0.412809273969281
XMR,0,0,0.254090908429296,0,0,0.0195209197652594,0.173148758553857,0.102629881926813,0,0,0.123637263928617,0,0.216182290209254,0.0348808448198738,0,0,0,0,0,0
MIOTA,-0.26088208914606,0.118288679225542,0,0,-0.0206566170899467,0,0.209679512594412,-0.170313761759879,0,0,0.0000000000000000138777878078145,0,0.331129756175016,0.107860616291408,0.384364673762307,0,0,0,0,0.222815638271601
ETC,0,0.0133438099816546,-0.00000000000000000173472347597681,0,0.546072874807665,0.0512315830076119,0.150673945590611,0,0,0.0928225746649094,0,0,0.0532206462456133,0.0342460483353559,0,0,0,0,0,0
ADA,0.360864169605211,-0.170444101405619,0.035071561016324,0,0,0,0,0,0.0289524239582126,0.180084591884834,0,0,0.137676880479113,-0.168033045582864,0,0,0.723583758805009,0,0,0
ZEC,0,0,0,0.0609588568134508,0,0.180527841952287,0.145693660940898,0,0.285687297873779,0.148238432142661,-0.00000000000000000693889390390723,0,0,0.0384498753640096,0.185700525908113,0,0,0,0,0
XLM,0,0.132144006517394,0.142968305638586,0,0,0,0,0.186185681174572,0,0.754719091470352,0,-0.0673228746176106,0,0,-0.065330439771905,0,0,0,0,0
EOS,0,0.38463326856332,0,0,0.217926719235754,0,0,0.16892090861375,0,0,0,-0.0441982660852741,0.21852247151013,0.0643776272252733,0,0,0,0,0,0
BV010082.INDEX,0,0,0.027728167685732,0,-0.0182220335208512,-0.0549250178321827,0,0.0218531015446048,-0.061981627312065,0,0.0245482111817675,0,0,0.00869159920205897,0.0547827612802024,0,0,0,0,-0.0891332509739999
CVIX.INDEX,0,0,0,0.0630678285976689,-0.0163001833994634,-0.103859209515662,0.103576559676649,-0.026120797363203,0,-0.010799990050615,0,0,-0.0250130880120801,0.00818198679591125,-0.0244184571999983,0,0,0,0,0.0853370770783301
DXY.INDEX,0,0,0,0.00392212693171839,0.00126109409022187,-0.0329639414028346,-0.00484158833685647,0.00829293869820198,0.00794117887072716,0.00437957854930315,0.00230447393127135,0,0.00583236540563298,0.00281606080169225,0,0.0263304795026768,-0.00633956633834834,0,0,-0.00489724143429573
SPX.INDEX,0,0,0.000452549579316401,0,0,0.00149497232211457,0.00501091747869731,0,-0.00455101077467536,0.00586597097306453,0,-0.000511153451875561,-0.012923124157596,0.000641635531094903,-0.000286232833263713,0,0,0,0,-0.0374483846405953
VIX.INDEX,0,0.146673464400062,0.0174029422151649,0,0,-0.257712216919314,0,0,0,0.153260897361074,-0.048805773270927,0.0758492390376405,0,0,-0.0602904296874297,0,0,0,0,0
